defined_class	defined_class_label	Ib_muscle_cell	Ib_muscle_cell_label	other_Ib_muscle	other_Ib_muscle_label	Is_muscle_cell	Is_muscle_cell_label	other_Is_muscle	other_Is_muscle_label	II_muscle_cell	II_muscle_cell_label	other_II_muscle	other_II_muscle_label	III_muscle_cell	III_muscle_cell_label	other_III_muscle	other_III_muscle_label	neuroblast	neuroblast_label	nerve	nerve_label
FBbt:00001447	aCC neuron	FBbt:00110221	muscle cell of dorsal acute muscle 1															FBbt:00001434	ganglion mother cell GMC1-1a		
FBbt:00001452	RP1 motor neuron	FBbt:00110244	muscle cell of ventral oblique muscle 2															FBbt:00001394	neuroblast NB3-1		
FBbt:00001453	RP2 motor neuron					FBbt:00000475	dorsal acute muscle cell	FBbt:00110221|FBbt:00110222|FBbt:00110232|FBbt:00000481|FBbt:00110226|FBbt:00110229|FBbt:00110239	muscle cell of dorsal acute muscle 1|muscle cell of dorsal acute muscle 2|muscle cell of dorsal acute muscle 3|muscle cell of lateral longitudinal muscle 1|muscle cell of dorsal oblique muscle 1|muscle cell of dorsal oblique muscle 2|muscle cell of dorsal oblique muscle 4									FBbt:00001438	ganglion mother cell GMC4-2a	FBbt:00001997	larval intersegmental nerve
FBbt:00001456	RP4 motor neuron	FBbt:00110249	muscle cell of ventral oblique muscle 1																		
FBbt:00001456	RP4 motor neuron	FBbt:00110249	muscle cell of ventral oblique muscle 1															FBbt:00001394	neuroblast NB3-1		
FBbt:00001457	RP5 motor neuron					FBbt:00000482	ventral longitudinal muscle cell	FBbt:00110301|FBbt:00110293|FBbt:00110246|FBbt:00110247	muscle cell of ventral longitudinal muscle 1|muscle cell of ventral longitudinal muscle 2|muscle cell of ventral longitudinal muscle 3|muscle cell of ventral longitudinal muscle 4									FBbt:00001394	neuroblast NB3-1	FBbt:00001997	larval intersegmental nerve
FBbt:00001567	DA2 motor neuron	FBbt:00110222	muscle cell of dorsal acute muscle 2															FBbt:00006037	ganglion mother cell GMC7-1c		
FBbt:00002199	A1-7 VO2 motor neuron	FBbt:00000618	muscle cell of A1-7 ventral oblique muscle 2																	FBbt:00110210|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval abdominal intersegmental nerve
FBbt:00002207	A1-7 dorsal motor neuron					FBbt:00000590	A1-7 dorsal acute muscle cell	FBbt:00000591|FBbt:00000592|FBbt:00000593|FBbt:00000600|FBbt:00000609|FBbt:00000610|FBbt:00000612|FBbt:00000613|FBbt:00000625	muscle cell of A1-7 dorsal acute muscle 1|muscle cell of A1-7 dorsal acute muscle 2|muscle cell of A1-7 dorsal acute muscle 3|muscle cell of A1-7 lateral longitudinal muscle 1|muscle cell of A1-7 dorsal oblique muscle 1|muscle cell of A1-7 dorsal oblique muscle 2|muscle cell of A1-7 dorsal oblique muscle 4|muscle cell of A1-7 dorsal oblique muscle 5|muscle cell of A1-7 dorsal transverse muscle 1									FBbt:00052445	abdominal neuroblast NB4-2	FBbt:00002319|FBbt:00110211	larval abdominal intersegmental nerve|larval posterior intersegmental nerve root of A1-7
FBbt:00002215	A1-7 VL3/4 motor neuron	FBbt:00000604	muscle cell of A1-7 ventral longitudinal muscle 3	FBbt:00000605	muscle cell of A1-7 ventral longitudinal muscle 4													FBbt:00001394	neuroblast NB3-1	FBbt:00110210|FBbt:00007326|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval intersegmental nerve branch ISNb of A1-7|larval abdominal intersegmental nerve
FBbt:00002223	A1-7 VO1 motor neuron	FBbt:00000617	muscle cell of A1-7 ventral oblique muscle 1																	FBbt:00110210|FBbt:00007326|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval intersegmental nerve branch ISNb of A1-7|larval abdominal intersegmental nerve
FBbt:00002231	A1-7 ventral motor neuron					FBbt:00000601	A1-7 ventral longitudinal muscle cell	FBbt:00000602|FBbt:00000603|FBbt:00000604|FBbt:00000605|FBbt:00110249|FBbt:00110244|FBbt:00000620|FBbt:00000621	muscle cell of A1-7 ventral longitudinal muscle 1|muscle cell of A1-7 ventral longitudinal muscle 2|muscle cell of A1-7 ventral longitudinal muscle 3|muscle cell of A1-7 ventral longitudinal muscle 4|muscle cell of ventral oblique muscle 1|muscle cell of ventral oblique muscle 2|muscle cell of ventral oblique muscle 4|muscle cell of ventral oblique muscle 5											FBbt:00110210|FBbt:00007326|FBbt:00002319	larval anterior intersegmental nerve root of A1-7|larval intersegmental nerve branch ISNb of A1-7|larval abdominal intersegmental nerve
FBbt:00002239	A1-7 dorsal VUM motor neuron									FBbt:00000590	A1-7 dorsal acute muscle cell	FBbt:00000613|FBbt:00000611|FBbt:00000592|FBbt:00000593|FBbt:00000610|FBbt:00000612|FBbt:00000591|FBbt:00000600|FBbt:00000609|FBbt:00000625	muscle cell of A1-7 dorsal oblique muscle 5|muscle cell of A1-7 dorsal oblique muscle 3|muscle cell of A1-7 dorsal acute muscle 2|muscle cell of A1-7 dorsal acute muscle 3|muscle cell of A1-7 dorsal oblique muscle 2|muscle cell of A1-7 dorsal oblique muscle 4|muscle cell of A1-7 dorsal acute muscle 1|muscle cell of A1-7 lateral longitudinal muscle 1|muscle cell of A1-7 dorsal oblique muscle 1|muscle cell of A1-7 dorsal transverse muscle 1							FBbt:00007326|FBbt:00110211	larval intersegmental nerve branch ISNb of A1-7|larval posterior intersegmental nerve root of A1-7
FBbt:00002247	A1-7 ventral VUM motor neuron									FBbt:00000601	A1-7 ventral longitudinal muscle cell	FBbt:00000603|FBbt:00000618|FBbt:00000602|FBbt:00000620|FBbt:00000617|FBbt:00000622|FBbt:00000621	muscle cell of A1-7 ventral longitudinal muscle 2|muscle cell of A1-7 ventral oblique muscle 2|muscle cell of A1-7 ventral longitudinal muscle 1|muscle cell of ventral oblique muscle 4|muscle cell of A1-7 ventral oblique muscle 1|muscle cell of ventral oblique muscle 6|muscle cell of ventral oblique muscle 5							FBbt:00002319|FBbt:00110211	larval abdominal intersegmental nerve|larval posterior intersegmental nerve root of A1-7
FBbt:00002255	A1-7 lateral VUM motor neuron									FBbt:00000626	A1-7 lateral transverse muscle cell	FBbt:00000628|FBbt:00000629|FBbt:00000630|FBbt:00000606|FBbt:00000615|FBbt:00000627	muscle cell of A1-7 lateral transverse muscle 2|muscle cell of A1-7 lateral transverse muscle 3|muscle cell of A1-7 lateral transverse muscle 4|A1-7 segment border muscle cell|muscle cell of A1-7 lateral oblique muscle 1|muscle cell of A1-7 lateral transverse muscle 1							FBbt:00110212|FBbt:00007328|FBbt:00002197	larval segmental nerve root of A1-7|larval segmental nerve branch SNa of A1-7|larval abdominal segmental nerve
