defined_class	defined_class_label	muscle	muscle_label
FBbt:00000410	anterior spiracle retractor muscle cell	FBbt:00058295	anterior spiracle retractor muscle
FBbt:00000433	posterior spiracle retractor muscle cell	FBbt:00058296	posterior spiracle retractor muscle
FBbt:00000464	embryonic/larval somatic muscle cell	FBbt:00058297	embryonic/larval somatic muscle
FBbt:00000465	embryonic/larval hypodermal muscle cell	FBbt:00058298	embryonic/larval hypodermal muscle
FBbt:00000466	oblique muscle cell	FBbt:00058299	oblique muscle
FBbt:00000467	dorsal oblique muscle cell	FBbt:00058300	dorsal oblique muscle
FBbt:00000468	muscle cell of lateral oblique muscle 1	FBbt:00058301	lateral oblique muscle 1
FBbt:00000469	ventral oblique muscle cell	FBbt:00058302	ventral oblique muscle
FBbt:00000470	transverse muscle cell	FBbt:00058303	transverse muscle
FBbt:00000471	dorsal transverse muscle cell	FBbt:00058304	dorsal transverse muscle
FBbt:00000472	lateral transverse muscle cell	FBbt:00058305	lateral transverse muscle
FBbt:00000473	ventral transverse muscle cell	FBbt:00058306	ventral transverse muscle
FBbt:00000474	acute muscle cell	FBbt:00058307	acute muscle
FBbt:00000475	dorsal acute muscle cell	FBbt:00058308	dorsal acute muscle
FBbt:00000477	ventral acute muscle cell	FBbt:00058310	ventral acute muscle
FBbt:00000478	intersegmental muscle cell	FBbt:00058311	intersegmental muscle
FBbt:00000480	longitudinal muscle cell	FBbt:00058313	longitudinal muscle
FBbt:00000481	muscle cell of lateral longitudinal muscle 1	FBbt:00058314	lateral longitudinal muscle 1
FBbt:00000482	ventral longitudinal muscle cell	FBbt:00058315	ventral longitudinal muscle
FBbt:00000483	segment border muscle cell	FBbt:00058316	segment border muscle
FBbt:00000486	hypodermal muscle cell of head	FBbt:00058317	hypodermal muscle of head
FBbt:00000487	pharyngeal muscle cell	FBbt:00058318	pharyngeal muscle
FBbt:00000488	prothoracic pharyngeal muscle cell	FBbt:00058319	prothoracic pharyngeal muscle
FBbt:00000489	dorsal pharyngeal muscle cell	FBbt:00058320	dorsal pharyngeal muscle
FBbt:00000490	ventral pharyngeal muscle cell	FBbt:00058321	ventral pharyngeal muscle
FBbt:00000491	muscle cell of ventral pharyngeal muscle 1	FBbt:00058322	ventral pharyngeal muscle 1
FBbt:00000492	muscle cell of ventral pharyngeal muscle 2	FBbt:00058323	ventral pharyngeal muscle 2
FBbt:00000493	muscle cell of ventral pharyngeal muscle 3	FBbt:00058324	ventral pharyngeal muscle 3
FBbt:00000494	pericommissural muscle cell	FBbt:00058325	pericommissural muscle
FBbt:00000495	hypodermal muscle cell of prothorax	FBbt:00058326	hypodermal muscle of prothorax
FBbt:00000496	mouthpart muscle cell	FBbt:00058327	mouthpart muscle
FBbt:00000497	dorsal mouthpart muscle cell	FBbt:00058328	dorsal mouthpart muscle
FBbt:00000498	muscle cell of dorsal mouthpart muscle 1	FBbt:00058329	dorsal mouthpart muscle 1
FBbt:00000499	muscle cell of dorsal mouthpart muscle 2	FBbt:00058330	dorsal mouthpart muscle 2
FBbt:00000500	muscle cell of ventral mouthpart muscle 1	FBbt:00058331	ventral mouthpart muscle 1
FBbt:00000501	prothoracic oblique muscle cell	FBbt:00058332	prothoracic oblique muscle
FBbt:00000502	prothoracic dorsal oblique muscle cell	FBbt:00058333	prothoracic dorsal oblique muscle
