defined_class	defined_class_label	birth_notch	birth_notch_label	neuroblast	neuroblast_label	stage	stage_label	neurotransmitter	neurotransmitter_label	clone	clone_label	other_types	other_types_label
FBbt:00001592	larval VUM neuron	FBbt:00005106	neuron	FBbt:00001428	VUM precursor	FBbt:00001727	larva					FBbt:00047097	primary neuron
FBbt:00001599	larval MP1 neuron	FBbt:00005106	neuron	FBbt:00001427	MP1 precursor	FBbt:00001727	larva					FBbt:00111673|FBbt:00052517	larval medial midline neuron|primary interneuron
FBbt:00001604	larval MP3 neuron	FBbt:00005106	neuron	FBbt:00001432	MP3 precursor	FBbt:00001727	larva					FBbt:00052517	primary interneuron
FBbt:00016016	larval midline neuron	FBbt:00047097	primary neuron	FBbt:00049579	midline neuroblast of ventral nervous system	FBbt:00001727	larva						
FBbt:00048515	DM1 lineage neuron	FBbt:00005106	neuron	FBbt:00050018	neuroblast DM1								
FBbt:00048864	lineage MNB primary neuron	FBbt:00047097	primary neuron	FBbt:00001419	neuroblast MNB							FBbt:00111673	larval medial midline neuron
FBbt:00048865	lineage NB1-1 primary neuron	FBbt:00047097	primary neuron	FBbt:00001371	neuroblast NB1-1								
FBbt:00048866	lineage NB1-2 primary neuron	FBbt:00047097	primary neuron	FBbt:00001384	neuroblast NB1-2								
FBbt:00048867	lineage NB2-1 primary neuron	FBbt:00047097	primary neuron	FBbt:00001410	neuroblast NB2-1								
FBbt:00048868	lineage NB2-2 primary neuron	FBbt:00047097	primary neuron	FBbt:00001385	neuroblast NB2-2								
FBbt:00048869	lineage NB2-3 primary neuron	FBbt:00047097	primary neuron	FBbt:00001421	neuroblast NB2-3								
FBbt:00048870	lineage NB2-4 primary neuron	FBbt:00047097	primary neuron	FBbt:00001411	neuroblast NB2-4								
FBbt:00048871	lineage NB2-5 primary neuron	FBbt:00047097	primary neuron	FBbt:00001374	neuroblast NB2-5								
FBbt:00048872	lineage NB3-1 primary neuron	FBbt:00047097	primary neuron	FBbt:00001394	neuroblast NB3-1								
FBbt:00048873	lineage NB3-2 primary neuron	FBbt:00047097	primary neuron	FBbt:00001388	neuroblast NB3-2								
FBbt:00048874	lineage NB3-3 primary neuron	FBbt:00047097	primary neuron	FBbt:00001422	neuroblast NB3-3							FBbt:00049540	Notch OFF hemilineage neuron
FBbt:00048875	lineage NB3-4 primary neuron	FBbt:00047097	primary neuron	FBbt:00001414	neuroblast NB3-4								
FBbt:00048876	lineage NB3-5 primary neuron	FBbt:00047097	primary neuron	FBbt:00001375	neuroblast NB3-5								
FBbt:00048877	lineage NB4-1 primary neuron	FBbt:00047097	primary neuron	FBbt:00001397	neuroblast NB4-1								
FBbt:00048878	lineage NB4-2 primary neuron	FBbt:00047097	primary neuron	FBbt:00001389	neuroblast NB4-2								
FBbt:00048879	lineage NB4-3 primary neuron	FBbt:00047097	primary neuron	FBbt:00001423	neuroblast NB4-3								
FBbt:00048880	lineage NB4-4 primary neuron	FBbt:00047097	primary neuron	FBbt:00001415	neuroblast NB4-4								
FBbt:00048881	lineage NB5-1 neuron	FBbt:00005106	neuron	FBbt:00001424	neuroblast NB5-1							FBbt:00047097	primary neuron
FBbt:00048882	lineage NB5-2 primary neuron	FBbt:00047097	primary neuron	FBbt:00001376	neuroblast NB5-2								
FBbt:00048883	lineage NB5-3 primary neuron	FBbt:00047097	primary neuron	FBbt:00001390	neuroblast NB5-3								
FBbt:00048884	lineage NB5-4 primary neuron	FBbt:00047097	primary neuron	FBbt:00001416	neuroblast NB5-4								
FBbt:00048885	lineage NB5-5 neuron	FBbt:00005106	neuron	FBbt:00001425	neuroblast NB5-5							FBbt:00047097	primary neuron
FBbt:00048886	lineage NB5-6 primary neuron	FBbt:00047097	primary neuron	FBbt:00001377	neuroblast NB5-6								
FBbt:00048887	lineage NB5-7 primary neuron	FBbt:00047097	primary neuron	FBbt:00111737	neuroblast NB5-7								
FBbt:00048888	lineage NB6-1 primary neuron	FBbt:00047097	primary neuron	FBbt:00001398	neuroblast NB6-1								
FBbt:00048889	lineage NB6-2 primary neuron	FBbt:00047097	primary neuron	FBbt:00001391	neuroblast NB6-2								
FBbt:00048890	lineage NB6-4 neuron	FBbt:00005106	neuron	FBbt:00001399	neuroblast NB6-4							FBbt:00047097	primary neuron
FBbt:00048891	lineage NB7-1 primary neuron	FBbt:00047097	primary neuron	FBbt:00001380	neuroblast NB7-1								
FBbt:00048892	lineage NB7-2 primary neuron	FBbt:00047097	primary neuron	FBbt:00001392	neuroblast NB7-2								
FBbt:00048893	lineage NB7-3 neuron	FBbt:00005106	neuron	FBbt:00001426	neuroblast NB7-3							FBbt:00047097	primary neuron
FBbt:00048894	lineage NB7-4 primary neuron	FBbt:00047097	primary neuron	FBbt:00001381	neuroblast NB7-4							FBbt:00049540	Notch OFF hemilineage neuron
FBbt:00048895	lineage 0 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001419	neuroblast MNB							FBbt:00049539	Notch ON hemilineage neuron
FBbt:00048896	lineage 16 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001371	neuroblast NB1-1			GO:0061535	glutamate secretion, neurotransmission			FBbt:00049540	Notch OFF hemilineage neuron
FBbt:00048897	lineage 1 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001384	neuroblast NB1-2								
FBbt:00048898	lineage 2 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001410	neuroblast NB2-1			GO:0061535	glutamate secretion, neurotransmission			FBbt:00049539	Notch ON hemilineage neuron
FBbt:00048899	lineage 10 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001385	neuroblast NB2-2			GO:0014055	acetylcholine secretion, neurotransmission			FBbt:00049540	Notch OFF hemilineage neuron
FBbt:00048900	lineage 15 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001421	neuroblast NB2-3			GO:0061535	glutamate secretion, neurotransmission			FBbt:00049540|FBbt:00005123	Notch OFF hemilineage neuron|motor neuron
FBbt:00048901	lineage 18 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001411	neuroblast NB2-4			GO:0014055	acetylcholine secretion, neurotransmission			FBbt:00049540	Notch OFF hemilineage neuron
FBbt:00048902	lineage 17 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001374	neuroblast NB2-5			GO:0014055	acetylcholine secretion, neurotransmission			FBbt:00049539	Notch ON hemilineage neuron
FBbt:00048903	lineage 4 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001394	neuroblast NB3-1			GO:0014055	acetylcholine secretion, neurotransmission			FBbt:00049540	Notch OFF hemilineage neuron
FBbt:00048904	lineage 7 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001388	neuroblast NB3-2			GO:0014055	acetylcholine secretion, neurotransmission			FBbt:00049540	Notch OFF hemilineage neuron
FBbt:00048905	lineage 8 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001422	neuroblast NB3-3								
FBbt:00048906	lineage 25 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001414	neuroblast NB3-4								
FBbt:00048907	lineage 9 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001375	neuroblast NB3-5								
FBbt:00048908	lineage 14 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001397	neuroblast NB4-1			GO:0061535	glutamate secretion, neurotransmission			FBbt:00049539	Notch ON hemilineage neuron
FBbt:00048909	lineage 13 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001389	neuroblast NB4-2			GO:0061534	gamma-aminobutyric acid secretion, neurotransmission				
FBbt:00048910	lineage 21 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001423	neuroblast NB4-3			GO:0061535	glutamate secretion, neurotransmission				
FBbt:00048911	lineage 24 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001415	neuroblast NB4-4			GO:0061535	glutamate secretion, neurotransmission			FBbt:00049540|FBbt:00005123	Notch OFF hemilineage neuron|motor neuron
FBbt:00048912	lineage 6 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001376	neuroblast NB5-2			GO:0061534	gamma-aminobutyric acid secretion, neurotransmission				
FBbt:00048913	lineage 5 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001390	neuroblast NB5-3			GO:0061534	gamma-aminobutyric acid secretion, neurotransmission			FBbt:00049540	Notch OFF hemilineage neuron
FBbt:00048914	lineage 22 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001416	neuroblast NB5-4								
FBbt:00048915	lineage 20 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00111737	neuroblast NB5-7								
FBbt:00048916	lineage 12 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001398	neuroblast NB6-1								
FBbt:00048917	lineage 19 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001391	neuroblast NB6-2								
FBbt:00048918	lineage 3 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001380	neuroblast NB7-1								
FBbt:00048919	lineage 11 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001392	neuroblast NB7-2								
FBbt:00048920	lineage 23 secondary neuron	FBbt:00047096	secondary neuron	FBbt:00001381	neuroblast NB7-4			GO:0014055	acetylcholine secretion, neurotransmission			FBbt:00049540	Notch OFF hemilineage neuron
FBbt:00048921	lineage MNB neuron	FBbt:00005106	neuron	FBbt:00001419	neuroblast MNB								
FBbt:00048922	lineage NB1-1 neuron	FBbt:00005106	neuron	FBbt:00001371	neuroblast NB1-1								
FBbt:00048923	lineage NB1-2 neuron	FBbt:00005106	neuron	FBbt:00001384	neuroblast NB1-2								
FBbt:00048924	lineage NB2-1 neuron	FBbt:00005106	neuron	FBbt:00001410	neuroblast NB2-1								
FBbt:00048925	lineage NB2-2 neuron	FBbt:00005106	neuron	FBbt:00001385	neuroblast NB2-2								
FBbt:00048926	lineage NB2-3 neuron	FBbt:00005106	neuron	FBbt:00001421	neuroblast NB2-3								
FBbt:00048927	lineage NB2-4 neuron	FBbt:00005106	neuron	FBbt:00001411	neuroblast NB2-4								
FBbt:00048928	lineage NB2-5 neuron	FBbt:00005106	neuron	FBbt:00001374	neuroblast NB2-5								
FBbt:00048929	lineage NB3-1 neuron	FBbt:00005106	neuron	FBbt:00001394	neuroblast NB3-1								
FBbt:00048930	lineage NB3-2 neuron	FBbt:00005106	neuron	FBbt:00001388	neuroblast NB3-2								
FBbt:00048931	lineage NB3-3 neuron	FBbt:00005106	neuron	FBbt:00001422	neuroblast NB3-3								
FBbt:00048932	lineage NB3-4 neuron	FBbt:00005106	neuron	FBbt:00001414	neuroblast NB3-4								
