defined_class	defined_class_label	parent	parent_label	soma_loc	soma_loc_label
FBbt:00001366	supraesophageal ganglion neuron	FBbt:00005106	neuron	FBbt:00003626	supraesophageal ganglion
FBbt:00001972	subesophageal zone neuron	FBbt:00005106	neuron	FBbt:00051068	subesophageal zone
FBbt:00001984	prothoracic neuron	FBbt:00005106	neuron	FBbt:00000017	prothoracic segment
FBbt:00001985	mesothoracic neuron	FBbt:00005106	neuron	FBbt:00000018	mesothoracic segment
FBbt:00001986	metathoracic neuron	FBbt:00005106	neuron	FBbt:00000019	metathoracic segment
FBbt:00001987	abdominal neuron	FBbt:00005106	neuron	FBbt:00000020	abdomen
FBbt:00001988	larval abdominal 1 neuron	FBbt:00005106	neuron	FBbt:00001748	larval abdominal segment 1
FBbt:00001989	larval abdominal 2 neuron	FBbt:00005106	neuron	FBbt:00001749	larval abdominal segment 2
FBbt:00001990	larval abdominal 3 neuron	FBbt:00005106	neuron	FBbt:00001750	larval abdominal segment 3
FBbt:00001991	larval abdominal 4 neuron	FBbt:00005106	neuron	FBbt:00001751	larval abdominal segment 4
FBbt:00001992	larval abdominal 5 neuron	FBbt:00005106	neuron	FBbt:00001752	larval abdominal segment 5
FBbt:00001993	larval abdominal 6 neuron	FBbt:00005106	neuron	FBbt:00001753	larval abdominal segment 6
FBbt:00001994	larval abdominal 7 neuron	FBbt:00005106	neuron	FBbt:00001754	larval abdominal segment 7
FBbt:00001995	larval abdominal 8 neuron	FBbt:00005106	neuron	FBbt:00001755	larval abdominal segment 8
FBbt:00002024	larval dorsal multidendritic neuron	FBbt:00005209	multidendritic neuron	FBbt:00007296	larval dorsal sensory cluster
FBbt:00002030	larval lateral multidendritic neuron	FBbt:00005209	multidendritic neuron	FBbt:00007297	larval lateral sensory cluster
FBbt:00002054	larval ventral cluster group multidendritic neuron	FBbt:00005209	multidendritic neuron	FBbt:00007295	larval ventral sensory cluster group
FBbt:00002271	abdominal V neuron	FBbt:00001590	V neuron	FBbt:00111264	cell body rind of larval abdominal neuromere
FBbt:00002272	abdominal 1 V neuron	FBbt:00001590	V neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00002273	abdominal 2 V neuron	FBbt:00001590	V neuron	FBbt:00051991	cell body rind of larval abdominal 2 neuromere
FBbt:00002274	abdominal 3 V neuron	FBbt:00001590	V neuron	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00002275	abdominal 4 V neuron	FBbt:00001590	V neuron	FBbt:00051993	cell body rind of larval abdominal 4 neuromere
FBbt:00002276	abdominal 5 V neuron	FBbt:00001590	V neuron	FBbt:00051994	cell body rind of larval abdominal 5 neuromere
FBbt:00002277	abdominal 6 V neuron	FBbt:00001590	V neuron	FBbt:00051995	cell body rind of larval abdominal 6 neuromere
FBbt:00002278	abdominal 7 V neuron	FBbt:00001590	V neuron	FBbt:00051996	cell body rind of larval abdominal 7 neuromere
FBbt:00002288	abdominal 1 lateral ipsisegmental neuron	FBbt:00002287	abdominal lateral ipsisegmental neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00002289	abdominal 2 lateral ipsisegmental neuron	FBbt:00002287	abdominal lateral ipsisegmental neuron	FBbt:00051991	cell body rind of larval abdominal 2 neuromere
FBbt:00002290	abdominal 3 lateral ipsisegmental neuron	FBbt:00002287	abdominal lateral ipsisegmental neuron	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00002291	abdominal 4 lateral ipsisegmental neuron	FBbt:00002287	abdominal lateral ipsisegmental neuron	FBbt:00051993	cell body rind of larval abdominal 4 neuromere
FBbt:00002292	abdominal 5 lateral ipsisegmental neuron	FBbt:00002287	abdominal lateral ipsisegmental neuron	FBbt:00051994	cell body rind of larval abdominal 5 neuromere
FBbt:00002293	abdominal 6 lateral ipsisegmental neuron	FBbt:00002287	abdominal lateral ipsisegmental neuron	FBbt:00051995	cell body rind of larval abdominal 6 neuromere
FBbt:00002294	abdominal 7 lateral ipsisegmental neuron	FBbt:00002287	abdominal lateral ipsisegmental neuron	FBbt:00051996	cell body rind of larval abdominal 7 neuromere
FBbt:00002296	abdominal 1 ventral intersegmental neuron	FBbt:00002295	abdominal ventral intersegmental neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00002297	abdominal 2 ventral intersegmental neuron	FBbt:00002295	abdominal ventral intersegmental neuron	FBbt:00051991	cell body rind of larval abdominal 2 neuromere
FBbt:00002298	abdominal 3 ventral intersegmental neuron	FBbt:00002295	abdominal ventral intersegmental neuron	FBbt:00051992	cell body rind of larval abdominal 3 neuromere
FBbt:00002299	abdominal 4 ventral intersegmental neuron	FBbt:00002295	abdominal ventral intersegmental neuron	FBbt:00051993	cell body rind of larval abdominal 4 neuromere
FBbt:00002300	abdominal 5 ventral intersegmental neuron	FBbt:00002295	abdominal ventral intersegmental neuron	FBbt:00051994	cell body rind of larval abdominal 5 neuromere
FBbt:00002301	abdominal 6 ventral intersegmental neuron	FBbt:00002295	abdominal ventral intersegmental neuron	FBbt:00051995	cell body rind of larval abdominal 6 neuromere
FBbt:00002302	abdominal 7 ventral intersegmental neuron	FBbt:00002295	abdominal ventral intersegmental neuron	FBbt:00051996	cell body rind of larval abdominal 7 neuromere
FBbt:00003702	adult optic lobe neuron	FBbt:00005106	neuron	FBbt:00003701	adult optic lobe
FBbt:00005134	larval serotonergic VNC neuron	FBbt:00005133	serotonergic neuron	FBbt:00111225	cell body rind of larval ventral nerve cord
FBbt:00005665	embryonic central brain neuron	FBbt:00005106	neuron	FBbt:00005662	embryonic central brain
FBbt:00047002	larval abdominal 1 A01j neuron	FBbt:00047001	larval A01j neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00047004	larval abdominal 1 A05a neuron	FBbt:00047003	larval A05a neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00047005	larval abdominal 2 A10e neuron	FBbt:00048702	larval A10e neuron	FBbt:00051991	cell body rind of larval abdominal 2 neuromere
FBbt:00047006	larval abdominal 1 A08e1 local neuron	FBbt:00111653	larval A08e1 local neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00047007	larval abdominal 1 A08e2 local neuron	FBbt:00111654	larval A08e2 local neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00047016	larval abdominal 1 A01x2 neuron	FBbt:00047015	larval A01x2 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00047018	larval abdominal 1 A14e neuron	FBbt:00047017	larval A14e neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00047020	larval abdominal 1 A07f2 neuron	FBbt:00047019	larval A07f2 neuron	FBbt:00051990	cell body rind of larval abdominal 1 neuromere
FBbt:00047022	larval metathoracic T01d1 neuron	FBbt:00047021	larval T01d1 neuron	FBbt:00051989	cell body rind of larval metathoracic neuromere
FBbt:00047024	larval metathoracic T01d2 neuron	FBbt:00047023	larval T01d2 neuron	FBbt:00051989	cell body rind of larval metathoracic neuromere
FBbt:00047027	larval metathoracic eIN-3 neuron	FBbt:00111732	larval excitatory interneuron eIN-3	FBbt:00051989	cell body rind of larval metathoracic neuromere
FBbt:00047028	larval metathoracic T01d4 neuron	FBbt:00047026	larval T01d4 neuron	FBbt:00051989	cell body rind of larval metathoracic neuromere
FBbt:00047319	adult serotonergic SE neuron	FBbt:00005133	serotonergic neuron	FBbt:00049781	cell body rind of adult subesophageal zone
FBbt:00047320	larval serotonergic SE neuron	FBbt:00005133	serotonergic neuron	FBbt:00047751	cell body rind of larval gnathal ganglion
FBbt:00047345	larval serotonergic thoracic neuron	FBbt:00005133	serotonergic neuron	FBbt:00111265	cell body rind of larval thoracic neuromere
