defined_class	defined_class_label	neuroblast	neuroblast_label	cluster	cluster_label	sex	sex_label	neuron	neuron_label	fruitless	soma_location	soma_location_label
FBbt:00047221	adult fruitless mSG neuron							FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051025	cell body rind of adult ventral gnathal ganglion
FBbt:00047249	adult fruitless pSG3 neuron							FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100210	cell body rind of adult gnathal ganglion
FBbt:00049909	adult fruitless aSP-g neuron			FBbt:00049715	adult fruitless aSP-g lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151|FBbt:00052048	adult anterior brain cell body rind|cell body rind of adult protocerebrum
FBbt:00051305	adult fruitless aSP-f neuron			FBbt:00051306	adult fruitless aSP-f lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00048470	cell body rind of adult anterior optic tubercle
FBbt:00052690								FBbt:00110483	adult fruitless pIP-c neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100201	adult lateral brain cell body rind
FBbt:00052691		FBbt:00100612	neuroblast BLAv1					FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00100209	cell body rind of adult anterior ventrolateral protocerebrum
FBbt:00052692		FBbt:00067347	neuroblast ALl1					FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110415	adult fruitless aDT-a neuron	FBbt:00067346	neuroblast ALad1	FBbt:00110414	adult fruitless aDT-a lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051000	cell body rind of adult anterodorsal antennal lobe
FBbt:00110417	adult fruitless aDT-b (female) neuron	FBbt:00050148	neuroblast CREa1 (female)	FBbt:00110416	adult fruitless aDT-b (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051000	cell body rind of adult anterodorsal antennal lobe
FBbt:00110419	adult fruitless aDT-c neuron			FBbt:00110418	adult fruitless aDT-c lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110421	adult fruitless aDT-d (female) neuron			FBbt:00110420	adult fruitless aDT-d (female) lineage clone	FBbt:00007011	female organism	FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110423	adult fruitless aDT-e (female) neuron	FBbt:00067347	neuroblast ALl1	FBbt:00110422	adult fruitless aDT-e (female) lineage clone	FBbt:00007011	female organism	FBbt:00052692		http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110425	adult fruitless aDT-f neuron	FBbt:00067348	neuroblast ALv1	FBbt:00110424	adult fruitless aDT-f lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00111151	adult anterior brain cell body rind
FBbt:00110427	adult fruitless aDT-g neuron	FBbt:00100563	neuroblast BAlp1	FBbt:00110426	adult fruitless aDT-g lineage clone			FBbt:00047095	adult neuron	http://flybase.org/reports/FBgn0004652	FBbt:00051003	cell body rind of adult ventral antennal lobe
