defined_class	defined_class_label	parent	parent_label	defining_detection	defining_detection_label	defining_perception	defining_perception_label	location	location_label	other_detection	other_detection_label	other_perception	other_perception_label	other_detection_copo	other_detection_copo_label	other_perception_copo	other_perception_copo_label
FBbt:00002573	larval abdominal ventral multidendritic neuron v'td1									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00002581	larval abdominal ventral multidendritic neuron v'td2									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00002655	dorsal organ									GO:0009593	detection of chemical stimulus	GO:0007608	sensory perception of smell				
FBbt:00002655	dorsal organ									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00002711	ventral organ sensillum 3									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00002715	knob in pit sensillum									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00002715	knob in pit sensillum									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00003762	LN Pdf neuron									GO:0009583	detection of light stimulus	GO:0007600	sensory perception				
FBbt:00004147	mechanosensory labral sensillum									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004148	mechanosensory labral sensillum 1									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004149	mechanosensory labral sensillum 2									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004150	mechanosensory labral sensillum 3									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004151	mechanosensory labral sensillum 4									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004152	mechanosensory labral sensillum 5									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004153	mechanosensory labral sensillum 6									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004154	chemosensory labral sensillum 7									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00004155	mechano-chemo-sensory labral sensillum									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00004155	mechano-chemo-sensory labral sensillum									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004156	mechano-chemo-sensory labral sensillum 8									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00004156	mechano-chemo-sensory labral sensillum 8									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004157	mechano-chemo-sensory labral sensillum 9									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00004157	mechano-chemo-sensory labral sensillum 9									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004159	maxillary palp basiconic sensillum									GO:0009593	detection of chemical stimulus	GO:0007608	sensory perception of smell				
FBbt:00004160	maxillary palp bristle									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004162	labellar taste bristle	FBbt:00005177	chaeta	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste	FBbt:00004531	labellum	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004163	labellar taste peg									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00004173	trichoid sensillum of antennal segment 3									GO:0009593	detection of chemical stimulus	GO:0007608	sensory perception of smell				
FBbt:00004175	large basiconic sensillum of antennal segment 3									GO:0009593	detection of chemical stimulus	GO:0007608	sensory perception of smell				
FBbt:00004176	small basiconic sensillum of antennal segment 3									GO:0009593	detection of chemical stimulus	GO:0007608	sensory perception of smell				
FBbt:00004177	coeloconic sensillum of antennal segment 3									GO:0009593	detection of chemical stimulus	GO:0007608	sensory perception of smell				
FBbt:00004178	Johnston organ									GO:0050982	detection of mechanical stimulus	GO:0007605	sensory perception of sound				
FBbt:00004178	Johnston organ									GO:0050982	detection of mechanical stimulus	GO:0050957	equilibrioception				
FBbt:00004178	Johnston organ									GO:0050982	detection of mechanical stimulus	GO:0071063	sensory perception of wind				
FBbt:00004183	sensillum of sacculus chamber II									GO:0098513	detection of humidity	GO:0098509	sensory perception of humidity				
FBbt:00004184	sensillum of sacculus chamber I									GO:0098513	detection of humidity	GO:0098509	sensory perception of humidity				
FBbt:00004211	light-sensitive neuron	FBbt:00005106	neuron	GO:0009583	detection of light stimulus	GO:0007600	sensory perception										
FBbt:00004253	prothoracic leg taste bristle	FBbt:00005177	chaeta	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste	FBbt:00004663	prothoracic leg								
FBbt:00004335	chemosensory ventral triple row bristle									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00004335	chemosensory ventral triple row bristle									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004336	mechanosensory ventral triple row bristle									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00004363	mesothoracic leg taste bristle	FBbt:00005177	chaeta	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste	FBbt:00004685	mesothoracic leg								
FBbt:00004421	metathoracic leg taste bristle	FBbt:00005177	chaeta	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste	FBbt:00004707	metathoracic leg								
FBbt:00004505	ocellus									GO:0009583	detection of light stimulus	GO:0007601	visual perception				
FBbt:00004508	eye									GO:0009583	detection of light stimulus	GO:0007601	visual perception				
FBbt:00004510	ommatidium									GO:0009583	detection of light stimulus	GO:0007601	visual perception				
FBbt:00005155	sense organ	FBbt:00100313	multicellular structure	GO:0051606	detection of stimulus	GO:0007600	sensory perception										
FBbt:00005162	photoreceptor	FBbt:00005155	sense organ	GO:0009583	detection of light stimulus	GO:0007600	sensory perception										
FBbt:00005178	taste bristle	FBbt:00005177	chaeta	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste										
FBbt:00005179	macrochaeta									GO:0050982	detection of mechanical stimulus	GO:0050975	sensory perception of touch				
FBbt:00005181	mechanosensory chaeta	FBbt:00005177	chaeta	GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception										
FBbt:00005182	microchaeta									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00005190	coeloconic sensillum									GO:0009593	detection of chemical stimulus	GO:0007600	sensory perception				
FBbt:00005209	multidendritic neuron									GO:0051606	detection of stimulus	GO:0007600	sensory perception				
FBbt:00005215	chordotonal organ									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00005217	scolopidium									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00005739	eyelet									GO:0009583	detection of light stimulus	GO:0007601	visual perception				
FBbt:00005805	Bolwig organ									GO:0009583	detection of light stimulus	GO:0007601	visual perception				
FBbt:00006009	eye photoreceptor cell									GO:0009583	detection of light stimulus	GO:0007601	visual perception				
FBbt:00007152	sensillum	FBbt:00007229	cell cluster organ	GO:0051606	detection of stimulus	GO:0007600	sensory perception										
FBbt:00007275	larval multidendritic class IV neuron									GO:0051606	detection of stimulus	GO:0019233	sensory perception of pain				
FBbt:00007316	sensory cluster									GO:0051606	detection of stimulus	GO:0007600	sensory perception				
FBbt:00007333	AC thermosensory neuron									GO:0016048	detection of temperature stimulus	GO:0062036	sensory perception of hot stimulus				
FBbt:00007334	antennal segment 3 thermosensory organ	FBbt:00005155	sense organ	GO:0016048	detection of temperature stimulus	GO:0050955	thermoception	FBbt:00004515	third segment of antenna								
FBbt:00007359	intermediate sensillum of antennal segment 3									GO:0009593	detection of chemical stimulus	GO:0007608	sensory perception of smell				
FBbt:00007409	leg taste bristle	FBbt:00005177	chaeta	GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste	FBbt:00004640	leg								
FBbt:00007411	large labellar taste bristle									GO:0009593	detection of chemical stimulus	GO:0050914	sensory perception of salty taste				
FBbt:00007411	large labellar taste bristle									GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste				
FBbt:00007411	large labellar taste bristle									GO:0043575	detection of osmotic stimulus	GO:0007600	sensory perception				
FBbt:00007412	intermediate labellar taste bristle									GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste				
FBbt:00007412	intermediate labellar taste bristle									GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste				
FBbt:00007413	short labellar taste bristle									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00007655	prosternal sense organ									GO:0051606	detection of stimulus	GO:0007600	sensory perception				
FBbt:00047127	adult Dh44 neuron of pars intercerebralis									GO:0009593	detection of chemical stimulus	GO:0007600	sensory perception				
FBbt:00047145	dorsal organ cool cell									GO:0016048	detection of temperature stimulus	GO:0062035	sensory perception of cold stimulus				
FBbt:00047258	larval TrpA1 BLA neuron									GO:0016048	detection of temperature stimulus	GO:0062036	sensory perception of hot stimulus				
FBbt:00047260	larval TrpA1 BLP neuron									GO:0016048	detection of temperature stimulus	GO:0062036	sensory perception of hot stimulus				
FBbt:00047313	labellar multidendritic neuron									GO:0050982	detection of mechanical stimulus	GO:0007600	sensory perception				
FBbt:00047453	gustatory receptor neuron B1 of the terminal organ dorsolateral group									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00047454	gustatory receptor neuron B2 of the terminal organ dorsolateral group									GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste				
FBbt:00047455	gustatory receptor neuron C1 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050913	sensory perception of bitter taste				
FBbt:00047456	gustatory receptor neuron C2 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050914	sensory perception of salty taste				
FBbt:00047456	gustatory receptor neuron C2 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050916	sensory perception of sweet taste				
FBbt:00047456	gustatory receptor neuron C2 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050917	sensory perception of umami taste				
FBbt:00047457	gustatory receptor neuron C3 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
FBbt:00047458	gustatory receptor neuron C4 of the terminal organ distal group									GO:0009593	detection of chemical stimulus	GO:0050909	sensory perception of taste				
