defined_class	defined_class_label	defining_modality	defining_modality_label	other_modality	other_modality_label	dendrite_location	dendrite_location_label	soma_location	soma_location_label	nerve	nerve_label
FBbt:00002018	larval prothoracic lch3 neuron					FBbt:00002738	prothoracic lateral triscolopidial chordotonal organ lch3	FBbt:00007302	larval prothoracic lateral sensory cluster	FBbt:00002125	larval mesothoracic segmental nerve
FBbt:00002019	larval abdominal lch5 neuron			GO:0050974	detection of mechanical stimulus involved in sensory perception	FBbt:00002831	abdominal lateral pentascolopidial chordotonal organ lch5	FBbt:00001747	larval abdominal segment	FBbt:00002319	larval abdominal intersegmental nerve
FBbt:00002468	abdominal vesA neuron					FBbt:00002863	abdominal ventral campaniform sensillum vc1	FBbt:00052121	larval ventral sensory cluster of A1-7	FBbt:00002197|FBbt:00007329	larval abdominal segmental nerve|larval segmental nerve branch SNc of A1-7
FBbt:00002476	abdominal vesB neuron					FBbt:00002871	abdominal ventral campaniform sensillum vc2	FBbt:00052121	larval ventral sensory cluster of A1-7	FBbt:00002197|FBbt:00007329	larval abdominal segmental nerve|larval segmental nerve branch SNc of A1-7
FBbt:00002492	abdominal v'esA neuron					FBbt:00002895	abdominal ventral campaniform sensillum vc4b	FBbt:00052122	larval ventral' sensory cluster of A1-7	FBbt:00002197	larval abdominal segmental nerve
FBbt:00002500	abdominal v'esB neuron					FBbt:00002887	abdominal ventral campaniform sensillum vc4a	FBbt:00052122	larval ventral' sensory cluster of A1-7	FBbt:00002197	larval abdominal segmental nerve
FBbt:00002608	larval ALSOh neuron					FBbt:00002931	abdominal 9 dorsal trichoid sensillum ALSOh	FBbt:00001756	larval abdominal segment 9	FBbt:00002618	larval abdominal 9 nerve
FBbt:00002609	larval ALSOp neuron					FBbt:00002932	abdominal 8 dorsomedial basiconic sensillum ALSOp	FBbt:00001755	larval abdominal segment 8	FBbt:00002606	larval abdominal 8 nerve
FBbt:00002610	larval DMSOp neuron					FBbt:00002930	abdominal 8 dorsal basiconic sensillum DMSOp	FBbt:00001755	larval abdominal segment 8	FBbt:00002606	larval abdominal 8 nerve
FBbt:00002627	larval ASOp neuron					FBbt:00002949	larval basiconic sensillum of anal sense organ	FBbt:00001757	larval abdominal segment 10	FBbt:00002618	larval abdominal 9 nerve
FBbt:00004022	dorsal cibarial sense organ neuron	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00004140	dorsal cibarial sense organ			FBbt:00004021	adult pharyngeal nerve
FBbt:00004025	ventral cibarial sense organ neuron of proximal sensillum	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00100156	proximal sensillum of ventral cibarial sense organ			FBbt:00004024	accessory pharyngeal nerve
FBbt:00004186	neuron of aristal sensillum			GO:0050960	detection of temperature stimulus involved in thermoception	FBbt:00004185	aristal sensillum	FBbt:00004519	arista	FBbt:00003978|FBbt:00003980	aristal nerve|adult antennal nerve
FBbt:00005174	eo neuron					FBbt:00007232	eo-type sensillum				
FBbt:00005222	chordotonal neuron			GO:0050974	detection of mechanical stimulus involved in sensory perception	FBbt:00005215	chordotonal organ				
FBbt:00007190	olfactory receptor neuron of dorsal organ	GO:0050911	detection of chemical stimulus involved in sensory perception of smell			FBbt:00007189	dorsal organ dome sensillum	FBbt:00007227	dorsal organ ganglion	FBbt:00001965	embryonic/larval antennal nerve
FBbt:00007292	sensory neuron of trichoid sensillum					FBbt:00005184	trichoid sensillum				
FBbt:00007352	adult antennal olfactory receptor neuron	GO:0050911	detection of chemical stimulus involved in sensory perception of smell			FBbt:00004511	antenna			FBbt:00003980	adult antennal nerve
FBbt:00007353	maxillary palp olfactory receptor neuron	GO:0050911	detection of chemical stimulus involved in sensory perception of smell			FBbt:00004159	maxillary palp basiconic sensillum	FBbt:00004546	maxillary palp	FBbt:00004028	adult labial nerve
FBbt:00047346	mechanosensory neuron of interommatidial bristle	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004133	interommatidial bristle			FBbt:00052786	adult eye nerve
FBbt:00047767	leg taste bristle chemosensory neuron	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00007409	leg taste bristle	FBbt:00004640	leg		
FBbt:00048027	labellar taste peg mechanosensory neuron	GO:0050974	detection of mechanical stimulus involved in sensory perception			FBbt:00004163	labellar taste peg				
FBbt:00048028	labellar taste peg chemosensory neuron	GO:0050912	detection of chemical stimulus involved in sensory perception of taste			FBbt:00004163	labellar taste peg				
FBbt:00048029	labellar taste bristle sensory neuron					FBbt:00004162	labellar taste bristle				
