defined_class	class_label	muscle
FBbt:00005073	somatic muscle cell	FBbt:00058111
FBbt:00003259	adult somatic muscle cell	FBbt:00058784
FBbt:00016665	temporary eclosion muscle cell	FBbt:00059067
FBbt:00003286	muscle cell of fronto-tentorial muscle 19a	FBbt:00058810
FBbt:00003291	ocular-antennal muscle cell	FBbt:00058815
FBbt:00010732	muscle cell of abdominal 3 temporary eclosion muscle DA3	FBbt:00059057
FBbt:00003284	muscle cell of ptilino-pharyngeal muscle 18a	FBbt:00058808
FBbt:00010777	muscle cell of abdominal 4 temporary eclosion muscle DA3	FBbt:00059059
FBbt:00010655	muscle cell of abdominal 1 temporary eclosion muscle SBM	FBbt:00059048
FBbt:00010896	muscle cell of abdominal 6 temporary eclosion muscle SBM	FBbt:00059063
FBbt:00003288	transverse vertex muscle cell	FBbt:00058812
FBbt:00007669	prothoracic ventral eclosion muscle cell	FBbt:00059037
FBbt:00010851	muscle cell of abdominal 5 temporary eclosion muscle SBM	FBbt:00059062
FBbt:00003283	muscle cell of fronto-pharyngeal muscle 17	FBbt:00058807
FBbt:00010686	muscle cell of abdominal 2 temporary eclosion muscle DA2	FBbt:00059050
FBbt:00010650	muscle cell of abdominal 1 temporary eclosion muscle VL1	FBbt:00059046
FBbt:00010649	muscle cell abdominal 1 temporary eclosion muscle LL1	FBbt:00059045
FBbt:00003287	muscle cell of geno-tentorial muscle 19b	FBbt:00058811
FBbt:00010712	muscle cell of abdominal 2 temporary eclosion muscle VL1	FBbt:00059053
FBbt:00003285	muscle cell of transverse-ptilinal muscle 18b	FBbt:00058809
FBbt:00010710	muscle cell of abdominal 2 temporary eclosion muscle LL1	FBbt:00059052
FBbt:00007671	muscle cell of abdominal temporary eclosion muscle DA	FBbt:00059038
FBbt:00010652	muscle cell of abdominal 1 temporary eclosion muscle VL2	FBbt:00059047
FBbt:00010716	muscle cell of abdominal 2 temporary eclosion muscle SBM	FBbt:00059055
FBbt:00010806	muscle cell of abdominal 4 temporary eclosion muscle SBM	FBbt:00059060
FBbt:00010642	muscle cell of abdominal 1 temporary eclosion muscle DA3	FBbt:00059044
FBbt:00010640	muscle cell of abdominal 1 temporary eclosion muscle DA1	FBbt:00059042
FBbt:00010687	muscle cell of abdominal 2 temporary eclosion muscle DA3	FBbt:00059051
FBbt:00007673	muscle cell of abdominal temporary eclosion muscle VL	FBbt:00059040
FBbt:00010685	muscle cell of abdominal 2 temporary eclosion muscle DA1	FBbt:00059049
FBbt:00003289	ptilino-tentorial muscle cell	FBbt:00058813
FBbt:00020761	muscle cell of abdominal 3 temporary eclosion muscle SBM	FBbt:00059068
FBbt:00010713	muscle cell of abdominal 2 temporary eclosion muscle VL2	FBbt:00059054
FBbt:00007674	muscle cell of abdominal temporary eclosion muscle SBM	FBbt:00059041
FBbt:00007672	muscle cell of abdominal temporary eclosion muscle LL1	FBbt:00059039
FBbt:00010820	muscle cell of abdominal 5 temporary eclosion muscle DA1	FBbt:00059061
FBbt:00010641	muscle cell of abdominal 1 temporary eclosion muscle DA2	FBbt:00059043
FBbt:00010775	muscle cell of abdominal 4 temporary eclosion muscle DA1	FBbt:00059058
FBbt:00010730	muscle cell of abdominal 3 temporary eclosion muscle DA1	FBbt:00059056
FBbt:00003551	ejaculatory bulb muscle cell	FBbt:00059027
FBbt:00003447	somatic muscle cell of abdomen	FBbt:00058966
FBbt:00003505	male abdominal muscle cell	FBbt:00059016
FBbt:00048407	male genital muscle cell	FBbt:00059080
FBbt:00110926	muscle cell of male genital muscle II	FBbt:00059153
FBbt:00048402	muscle cell of male genital muscle VI	FBbt:00059079
FBbt:00048401	muscle cell of male genital muscle V	FBbt:00059078
FBbt:00048400	muscle cell of male genital muscle IV	FBbt:00059077
FBbt:00048399	muscle cell of male genital muscle III	FBbt:00059076
FBbt:00003552	muscle cell of male genital muscle I	FBbt:00059028
FBbt:00003506	muscle cell of male abdominal 5 muscle	FBbt:00059017
FBbt:00003448	muscle cell of abdominal 1 dorsal longitudinal muscle	FBbt:00058967
FBbt:00003454	muscle cell of abdominal 1 oblique lateral dorsal longitudinal muscle 102	FBbt:00058972
FBbt:00003453	muscle cell of abdominal 1 oblique lateral dorsal longitudinal muscle 101	FBbt:00058971
FBbt:00003452	muscle cell of abdominal 1 lateral dorsal longitudinal muscle 100	FBbt:00058970
FBbt:00003451	muscle cell of abdominal 1 lateral dorsal longitudinal muscle 99	FBbt:00058969
FBbt:00003450	muscle cell of abdominal 1 medial dorsal longitudinal muscle 98	FBbt:00058968
FBbt:00003507	female abdominal somatic muscle cell	FBbt:00059018
FBbt:00003469	muscle cell of abdominal 8 female dorsal muscle 145	FBbt:00058986
FBbt:00003485	muscle cell of abdominal 7 female ventral muscle 142	FBbt:00059002
FBbt:00003511	muscle cell of abdominal 8 female lateral ventral muscle 150	FBbt:00059022
FBbt:00003508	muscle cell of abdominal 7 female lateral muscle 140	FBbt:00059019
FBbt:00003510	muscle cell of abdominal 7 female sternal muscle 144	FBbt:00059021
FBbt:00003472	muscle cell of abdominal 8 female dorsal muscle 148	FBbt:00058989
FBbt:00003470	muscle cell abdominal 8 female dorsal muscle 146	FBbt:00058987
FBbt:00003468	muscle cell of abdominal 7 female dorsal muscle 139	FBbt:00058985
FBbt:00003486	muscle cell of abdominal 8 female ventral muscle 149	FBbt:00059003
FBbt:00003512	muscle cell of abdominal 8 female transverse ventral muscle 151	FBbt:00059023
FBbt:00003509	muscle cell of abdominal 7 female lateral muscle 141	FBbt:00059020
FBbt:00003471	muscle cell of abdominal 8 female dorsal muscle 147	FBbt:00058988
FBbt:00003493	muscle cell of abdominal 7 female spiracular muscle 143	FBbt:00059009
FBbt:00003513	female rectal somatic muscle cell	FBbt:00059024
FBbt:00003515	muscle cell of female ventral rectal muscle 153	FBbt:00059026
FBbt:00003514	muscle cell of female dorsal rectal muscle 152	FBbt:00059025
FBbt:00003473	abdominal lateral tergosternal muscle cell	FBbt:00058990
FBbt:00003478	muscle cell of abdominal 6 lateral tergosternal muscle 134	FBbt:00058995
FBbt:00003477	muscle cell of abdominal 5 lateral tergosternal muscle 128	FBbt:00058994
FBbt:00003476	muscle cell of abdominal 4 lateral tergosternal muscle 122	FBbt:00058993
FBbt:00003475	muscle cell of abdominal 3 lateral tergosternal muscle 116	FBbt:00058992
FBbt:00003474	muscle cell of abdominal 2 lateral tergosternal muscle 110	FBbt:00058991
FBbt:00013334	occlusor muscle cell of adult abdominal spiracle	FBbt:00059065
FBbt:00003492	muscle cell of abdominal 6 spiracular muscle 136	FBbt:00059008
FBbt:00003491	muscle cell of abdominal 5 spiracular muscle 130	FBbt:00059007
FBbt:00003490	muscle cell of abdominal 4 spiracular muscle 124	FBbt:00059006
FBbt:00003489	muscle cell of abdominal 3 spiracular muscle 118	FBbt:00059005
FBbt:00003488	muscle cell of abdominal 2 spiracular muscle 112	FBbt:00059004
FBbt:00003457	muscle cell of abdominal 1 spiracular muscle 105	FBbt:00058975
