defined_class	defined_class_label	muscle	muscle_label	cell_attachment	cell_attachment_label	body_attachment	body_attachment_label	tendon	tendon_label
FBbt:00003351	prothoracic long tendon	FBbt:00059125|FBbt:00059122	prothoracic femoral pretarsal depressor muscle|prothoracic tibial pretarsal depressor muscle	FBbt:00058133|FBbt:00058130	prothoracic femoral pretarsal depressor muscle cell|prothoracic tibial pretarsal depressor muscle cell			FBbt:00005090	tendon cell
FBbt:00003410	mesothoracic long tendon	FBbt:00059126|FBbt:00059123	mesothoracic femoral pretarsal depressor muscle|mesothoracic tibial pretarsal depressor muscle	FBbt:00058134|FBbt:00058131	mesothoracic femoral pretarsal depressor muscle cell|mesothoracic tibial pretarsal depressor muscle cell			FBbt:00005090	tendon cell
FBbt:00003440	metathoracic long tendon	FBbt:00059127|FBbt:00059124	metathoracic femoral pretarsal depressor muscle|metathoracic tibial pretarsal depressor muscle	FBbt:00058135|FBbt:00058132	metathoracic femoral pretarsal depressor muscle cell|metathoracic tibial pretarsal depressor muscle cell			FBbt:00005090	tendon cell
FBbt:00005090	tendon cell	FBbt:00058111	somatic muscle	FBbt:00005073	somatic muscle cell	FBbt:00005089	muscle attachment site		
FBbt:00052586	tibial levator tendon cell	FBbt:00058852	tibial levator muscle	FBbt:00003329	tibial levator muscle cell			FBbt:00005090	tendon cell
FBbt:00052587	tibial depressor tendon cell	FBbt:00058845	tibial depressor muscle	FBbt:00003322	tibial depressor muscle cell			FBbt:00005090	tendon cell
FBbt:00052682	adult MOS retinal muscle tendon cell	FBbt:00052674	adult MOS retinal muscle	FBbt:00052677	adult MOS retinal muscle cell	FBbt:00052684	antennal cup	FBbt:00005090	tendon cell
FBbt:00052683	adult MOT retinal muscle tendon cell	FBbt:00052673	adult MOT retinal muscle	FBbt:00052676	adult MOT retinal muscle cell	FBbt:00004504	posterior tentorial bar	FBbt:00005090	tendon cell
FBbt:00053089	prothoracic trochanter levator tendon cell	FBbt:00053088	prothoracic trochanter levator muscle	FBbt:00053095	muscle cell of prothoracic trochanter levator muscle			FBbt:00005090	tendon cell
FBbt:00053090	prothoracic trochanter extensor tendon cell	FBbt:00053084|FBbt:00053085|FBbt:00058868	prothoracic tergotrochanter extensor muscle|prothoracic sternotrochanter extensor muscle|prothoracic intracoxal trochanter depressor muscle 35	FBbt:00053086|FBbt:00053087|FBbt:00058868	muscle cell of prothoracic tergotrochanter extensor muscle|muscle cell of prothoracic sternotrochanter extensor muscle|prothoracic intracoxal trochanter depressor muscle 35			FBbt:00005090	tendon cell
FBbt:00053098	tarsal depressor tendon cell	FBbt:00059105|FBbt:00058846	tarsal retro depressor muscle|tarsal depressor muscle	FBbt:00003323|FBbt:00058113	tarsal depressor muscle cell|muscle cell of tarsal retro depressor muscle			FBbt:00005090	tendon cell
FBbt:00053099	tarsal levator tendon cell	FBbt:00058853	tarsal levator muscle	FBbt:00003330	tarsal levator muscle cell			FBbt:00005090	tendon cell
FBbt:00053180	adult transverse horizontal neck muscle tendon cell	FBbt:00053178|FBbt:00053179	adult transverse horizontal neck muscle 1|adult transverse horizontal neck muscle 2	FBbt:00053192|FBbt:00053193	muscle cell of adult transverse horizontal neck muscle 1|muscle cell of adult transverse horizontal neck muscle 2			FBbt:00005090	tendon cell
FBbt:00058016	adult tendon cell	FBbt:00058784	adult somatic muscle	FBbt:00003259	adult somatic muscle cell			FBbt:00005090	tendon cell
FBbt:00058021	embryonic/larval tendon cell	FBbt:00058297	embryonic/larval somatic muscle	FBbt:00000464	embryonic/larval somatic muscle cell			FBbt:00005090	tendon cell
FBbt:00058136	thoracic long tendon cell	FBbt:00059117|FBbt:00059118	femoral pretarsal depressor muscle|tibial pretarsal depressor muscle	FBbt:00058125|FBbt:00058126	femoral pretarsal depressor muscle cell|tibial pretarsal depressor muscle cell			FBbt:00005090	tendon cell
