defined_class	abbreviation	position	neuropil_name	neuropil_id	superrind_id	other_partonomy_name	other_partonomy_id	def_dbxref
FBbt:00051000	rALad	anterodorsal	antennal lobe	FBbt:00007401	FBbt:00100211	anterior brain cell body rind	FBbt:00111151	FlyBase:FBrf0224194
FBbt:00051001	rALl	lateral	antennal lobe	FBbt:00007401	FBbt:00100211	anterior brain cell body rind	FBbt:00111151	FlyBase:FBrf0224194
FBbt:00051002	rALld	laterodorsal	antennal lobe	FBbt:00007401	FBbt:00100211	anterior brain cell body rind	FBbt:00111151	FlyBase:FBrf0224194
FBbt:00051003	rALv	ventral	antennal lobe	FBbt:00007401	FBbt:00100211	anterior brain cell body rind	FBbt:00111151	FlyBase:FBrf0224194
FBbt:00051004	rAOTUa	anterior	anterior optic tubercle	FBbt:00007059	FBbt:00048470	anterior brain cell body rind	FBbt:00111151	FlyBase:FBrf0224194
FBbt:00051005	rAOTUl	lateral	anterior optic tubercle	FBbt:00007059	FBbt:00048470	lateral brain cell body rind	FBbt:00100201	FlyBase:FBrf0224194
FBbt:00051006	rAOTUv	ventral	anterior optic tubercle	FBbt:00007059	FBbt:00048470	anterior brain cell body rind	FBbt:00111151	FlyBase:FBrf0224194
FBbt:00051007	rAVLPa	anterior	anterior ventrolateral protocerebrum	FBbt:00040043	FBbt:00100209	anterior brain cell body rind	FBbt:00111151	FlyBase:FBrf0224194
FBbt:00051008	rAVLPl	lateral	anterior ventrolateral protocerebrum	FBbt:00040043	FBbt:00100209	lateral brain cell body rind	FBbt:00100201	FlyBase:FBrf0224194
FBbt:00051009	rCREa	anterior	crepine	FBbt:00045037	FBbt:00100288	anterior brain cell body rind	FBbt:00111151	FlyBase:FBrf0224194
FBbt:00051010	rCREm	medial	crepine	FBbt:00045037	FBbt:00100288	cell body rind along the midline of the adult brain	FBbt:00111154	FlyBase:FBrf0224194
FBbt:00051011	rLHd	dorsal	lateral horn	FBbt:00007053	FBbt:00007647	superior brain cell body rind	FBbt:00100308	FlyBase:FBrf0224194
FBbt:00051012	rLHl	lateral	lateral horn	FBbt:00007053	FBbt:00007647	lateral brain cell body rind	FBbt:00100201	FlyBase:FBrf0224194
FBbt:00051013	rLHp	posterior	lateral horn	FBbt:00007053	FBbt:00007647	posterior brain cell body rind	FBbt:00111153	FlyBase:FBrf0224194
FBbt:00051014	rPLPl	lateral	posterior lateral protocerebrum	FBbt:00040044	FBbt:00100203	lateral brain cell body rind	FBbt:00100201	FlyBase:FBrf0224194
FBbt:00051015	rPLPp	posterior	posterior lateral protocerebrum	FBbt:00040044	FBbt:00100203	posterior brain cell body rind	FBbt:00111153	FlyBase:FBrf0224194
FBbt:00051016	rSADl	lateral	saddle	FBbt:00045048	FBbt:00049152	lateral brain cell body rind	FBbt:00100201	FlyBase:FBrf0224194
FBbt:00051017	rSADmv	medioventral	saddle	FBbt:00045048	FBbt:00049152	anterior brain cell body rind	FBbt:00111151	FlyBase:FBrf0224194
FBbt:00051018	rSIPa	anterior	superior intermediate protocerebrum	FBbt:00045032	FBbt:00049550	anterior brain cell body rind	FBbt:00111151	FlyBase:FBrf0224194
FBbt:00051019	rSIPd	dorsal	superior intermediate protocerebrum	FBbt:00045032	FBbt:00049550	superior brain cell body rind	FBbt:00100308	FlyBase:FBrf0224194
FBbt:00051020	rSLPa	anterior	superior lateral protocerebrum	FBbt:00040045	FBbt:00100202	anterior brain cell body rind	FBbt:00111151	FlyBase:FBrf0224194
FBbt:00051021	rSLPd	dorsal	superior lateral protocerebrum	FBbt:00007054	FBbt:00100202	superior brain cell body rind	FBbt:00100308	FlyBase:FBrf0224194
FBbt:00051022	rSLPp	posterior	superior lateral protocerebrum	FBbt:00040046	FBbt:00100202	posterior brain cell body rind	FBbt:00111153	FlyBase:FBrf0224194
FBbt:00051023	rSMPd	dorsal	superior medial protocerebrum	FBbt:00007055	FBbt:00100204	superior brain cell body rind	FBbt:00100308	FlyBase:FBrf0224194
