defined_class	abbreviation	position	neuropil_name	neuropil_id	superrind_id	def_dbxref
FBbt:00051024	rGNGl	lateral	gnathal ganglion	FBbt:00014013	FBbt:00100210	FlyBase:FBrf0224194
FBbt:00051025	rGNGv	ventral	gnathal ganglion	FBbt:00014013	FBbt:00100210	FlyBase:FBrf0224194
FBbt:00051026	rLAa	anterior	lamina	FBbt:00003708	FBbt:00100206	FlyBase:FBrf0224194
FBbt:00051027	rLAd	dorsal	lamina	FBbt:00003708	FBbt:00100206	FlyBase:FBrf0224194
FBbt:00051028	rLAl	lateral	lamina	FBbt:00003708	FBbt:00100206	FlyBase:FBrf0224194
FBbt:00051029	rLAm	medial	lamina	FBbt:00003708	FBbt:00100206	FlyBase:FBrf0224194
FBbt:00051030	rLAp	posterior	lamina	FBbt:00003708	FBbt:00100206	FlyBase:FBrf0224194
FBbt:00051031	rLAv	ventral	lamina	FBbt:00003708	FBbt:00100206	FlyBase:FBrf0224194
FBbt:00051032	rLOa	anterior	lobula	FBbt:00003852	FBbt:00100207	FlyBase:FBrf0224194
FBbt:00051033	rLOd	dorsal	lobula	FBbt:00003852	FBbt:00100207	FlyBase:FBrf0224194
FBbt:00051034	rLOp	posterior	lobula	FBbt:00003852	FBbt:00100207	FlyBase:FBrf0224194
FBbt:00051035	rLOPd	dorsal	lobula plate	FBbt:00003885	FBbt:00001948	FlyBase:FBrf0224194
FBbt:00051036	rLOPp	posterior	lobula plate	FBbt:00003885	FBbt:00001948	FlyBase:FBrf0224194
FBbt:00051037	rLOPv	ventral	lobula plate	FBbt:00003885	FBbt:00001948	FlyBase:FBrf0224194
FBbt:00051038	rLOv	ventral	lobula	FBbt:00003852	FBbt:00100207	FlyBase:FBrf0224194
FBbt:00051039	rMEa	anterior	medulla	FBbt:00003748	FBbt:00100205	FlyBase:FBrf0224194
FBbt:00051040	rMEd	dorsal	medulla	FBbt:00003748	FBbt:00100205	FlyBase:FBrf0224194
FBbt:00051041	rMEl	lateral	medulla	FBbt:00003748	FBbt:00100205	FlyBase:FBrf0224194
FBbt:00051042	rMEp	posterior	medulla	FBbt:00003748	FBbt:00100205	FlyBase:FBrf0224194
FBbt:00051043	rMEv	ventral	medulla	FBbt:00003748	FBbt:00100205	FlyBase:FBrf0224194
