defined_class	lobe_name	lobe_short	slice_ID	slice_no	layer_ID	layer_short	layer_name	def_dbxref
FBbt:00047055	alpha	a	FBbt:00100285	1	FBbt:00100258	c	core	FlyBase:FBrf0227179
FBbt:00047056	alpha	a	FBbt:00100285	1	FBbt:00100256	p	posterior	FlyBase:FBrf0227179
FBbt:00047057	alpha	a	FBbt:00100285	1	FBbt:00100257	s	surface	FlyBase:FBrf0227179
FBbt:00047058	alpha	a	FBbt:00100286	2	FBbt:00100258	c	core	FlyBase:FBrf0227179
FBbt:00047059	alpha	a	FBbt:00100286	2	FBbt:00100256	p	posterior	FlyBase:FBrf0227179
FBbt:00047060	alpha	a	FBbt:00100286	2	FBbt:00100257	s	surface	FlyBase:FBrf0227179
FBbt:00047061	alpha	a	FBbt:00100287	3	FBbt:00100258	c	core	FlyBase:FBrf0227179
FBbt:00047062	alpha	a	FBbt:00100287	3	FBbt:00100256	p	posterior	FlyBase:FBrf0227179
FBbt:00047063	alpha	a	FBbt:00100287	3	FBbt:00100257	s	surface	FlyBase:FBrf0227179
FBbt:00047064	alpha’	a’	FBbt:00100282	1	FBbt:00100266	ap	anterior-posterior	FlyBase:FBrf0227179
FBbt:00047065	alpha’	a’	FBbt:00100282	1	FBbt:00100267	m	middle	FlyBase:FBrf0227179
FBbt:00047066	alpha’	a’	FBbt:00100283	2	FBbt:00100266	ap	anterior-posterior	FlyBase:FBrf0227179
FBbt:00047067	alpha’	a’	FBbt:00100283	2	FBbt:00100267	m	middle	FlyBase:FBrf0227179
FBbt:00047068	alpha’	a’	FBbt:00100284	3	FBbt:00100266	ap	anterior-posterior	FlyBase:FBrf0227179
FBbt:00047069	alpha’	a’	FBbt:00100284	3	FBbt:00100267	m	middle	FlyBase:FBrf0227179
FBbt:00047070	beta	b	FBbt:00100280	1	FBbt:00100263	c	core	FlyBase:FBrf0227179
FBbt:00047071	beta	b	FBbt:00100280	1	FBbt:00100261	p	posterior	FlyBase:FBrf0227179
FBbt:00047072	beta	b	FBbt:00100280	1	FBbt:00100262	s	surface	FlyBase:FBrf0227179
FBbt:00047073	beta	b	FBbt:00100281	2	FBbt:00100263	c	core	FlyBase:FBrf0227179
FBbt:00047074	beta	b	FBbt:00100281	2	FBbt:00100261	p	posterior	FlyBase:FBrf0227179
FBbt:00047075	beta	b	FBbt:00100281	2	FBbt:00100262	s	surface	FlyBase:FBrf0227179
FBbt:00047076	beta’	b’	FBbt:00100278	1	FBbt:00100269	ap	anterior-posterior	FlyBase:FBrf0227179
FBbt:00047077	beta’	b’	FBbt:00100278	1	FBbt:00100270	m	middle	FlyBase:FBrf0227179
FBbt:00047078	beta’	b’	FBbt:00100279	2	FBbt:00100269	ap	anterior-posterior	FlyBase:FBrf0227179
FBbt:00047079	beta’	b’	FBbt:00100279	2	FBbt:00100270	m	middle	FlyBase:FBrf0227179
FBbt:00047080	gamma	g	FBbt:00100273	1	FBbt:00047091	main	main	FlyBase:FBrf0227179
FBbt:00047081	gamma	g	FBbt:00100273	1	FBbt:00047092	d	dorsal	FlyBase:FBrf0227179
FBbt:00047082	gamma	g	FBbt:00100274	2	FBbt:00047091	main	main	FlyBase:FBrf0227179
FBbt:00047083	gamma	g	FBbt:00100274	2	FBbt:00047092	d	dorsal	FlyBase:FBrf0227179
FBbt:00047084	gamma	g	FBbt:00100275	3	FBbt:00047091	main	main	FlyBase:FBrf0227179
FBbt:00047085	gamma	g	FBbt:00100275	3	FBbt:00047092	d	dorsal	FlyBase:FBrf0227179
FBbt:00047086	gamma	g	FBbt:00100276	4	FBbt:00047091	main	main	FlyBase:FBrf0227179
FBbt:00047087	gamma	g	FBbt:00100276	4	FBbt:00047092	d	dorsal	FlyBase:FBrf0227179
FBbt:00047088	gamma	g	FBbt:00100277	5	FBbt:00047091	main	main	FlyBase:FBrf0227179
FBbt:00047089	gamma	g	FBbt:00100277	5	FBbt:00047092	d	dorsal	FlyBase:FBrf0227179
