defined_class	neuron	neur_name	neuromere	mere_short	mere_mid	mere_name	def_dbxref
FBbt:00048718	FBbt:00110281	A2-7 VT1 motor neuron	FBbt:00111034	a2	abdominal 2	larval abdominal 2 neuromere	doi:10.1101/617977
FBbt:00048719	FBbt:00110281	A2-7 VT1 motor neuron	FBbt:00111035	a3	abdominal 3	larval abdominal 3 neuromere	doi:10.1101/617977
FBbt:00048720	FBbt:00110281	A2-7 VT1 motor neuron	FBbt:00111036	a4	abdominal 4	larval abdominal 4 neuromere	doi:10.1101/617977
FBbt:00048721	FBbt:00110281	A2-7 VT1 motor neuron	FBbt:00111037	a5	abdominal 5	larval abdominal 5 neuromere	doi:10.1101/617977
FBbt:00048722	FBbt:00110281	A2-7 VT1 motor neuron	FBbt:00111038	a6	abdominal 6	larval abdominal 6 neuromere	doi:10.1101/617977
FBbt:00048723	FBbt:00110281	A2-7 VT1 motor neuron	FBbt:00111039	a7	abdominal 7	larval abdominal 7 neuromere	doi:10.1101/617977
FBbt:00048724							
FBbt:00048725							
FBbt:00048726							
FBbt:00048727							
FBbt:00048728							
FBbt:00048729							
FBbt:00048730							
FBbt:00048731							
FBbt:00048732							
FBbt:00048733							
FBbt:00048734							
FBbt:00048735							
FBbt:00048736							
FBbt:00048737							
FBbt:00048738							
FBbt:00048739							
FBbt:00048740							
