defined_class	nb_class	lineage_short	alt_lineage_name	def_dbxref
FBbt:00051467	FBbt:00001384	NB1-2	1	FlyBase:FBrf0242251
FBbt:00051468	FBbt:00001422	NB3-3	8	FlyBase:FBrf0242251
FBbt:00051469	FBbt:00001375	NB3-5	9	FlyBase:FBrf0242251
FBbt:00051470	FBbt:00001389	NB4-2	13	FlyBase:FBrf0242251
FBbt:00051471	FBbt:00001423	NB4-3	21	FlyBase:FBrf0242251
FBbt:00051472	FBbt:00001376	NB5-2	6	FlyBase:FBrf0242251
FBbt:00051473	FBbt:00001416	NB5-4	22	FlyBase:FBrf0242251
FBbt:00051474	FBbt:00111737	NB5-7	20	FlyBase:FBrf0242251
FBbt:00051475	FBbt:00001398	NB6-1	12	FlyBase:FBrf0242251
FBbt:00051476	FBbt:00001391	NB6-2	19	FlyBase:FBrf0242251
FBbt:00051477	FBbt:00001380	NB7-1	3	FlyBase:FBrf0242251
FBbt:00051478	FBbt:00001392	NB7-2	11	FlyBase:FBrf0242251
