defined_class	nb_class	lineage_short	alt_lineage_name	def_dbxref
FBbt:00048864	FBbt:00001419	MNB	0	FlyBase:FBrf0231327
FBbt:00048865	FBbt:00001371	NB1-1	16	FlyBase:FBrf0231327
FBbt:00048866	FBbt:00001384	NB1-2	1	FlyBase:FBrf0231327
FBbt:00048867	FBbt:00001410	NB2-1	2	FlyBase:FBrf0231327
FBbt:00048868	FBbt:00001385	NB2-2	10	FlyBase:FBrf0231327
FBbt:00048869	FBbt:00001421	NB2-3	15	FlyBase:FBrf0231327
FBbt:00048870	FBbt:00001411	NB2-4	18	FlyBase:FBrf0231327
FBbt:00048871	FBbt:00001374	NB2-5	17	FlyBase:FBrf0231327
FBbt:00048872	FBbt:00001394	NB3-1	4	FlyBase:FBrf0231327
FBbt:00048873	FBbt:00001388	NB3-2	7	FlyBase:FBrf0231327
FBbt:00048874	FBbt:00001422	NB3-3	8	FlyBase:FBrf0231327
FBbt:00048875	FBbt:00001414	NB3-4	25	FlyBase:FBrf0231327
FBbt:00048876	FBbt:00001375	NB3-5	9	FlyBase:FBrf0231327
FBbt:00048877	FBbt:00001397	NB4-1	14	FlyBase:FBrf0231327
FBbt:00048878	FBbt:00001389	NB4-2	13	FlyBase:FBrf0231327
FBbt:00048879	FBbt:00001423	NB4-3	21	FlyBase:FBrf0231327
FBbt:00048880	FBbt:00001415	NB4-4	24	FlyBase:FBrf0231327
FBbt:00048881	FBbt:00001424	NB5-1	NA	FlyBase:FBrf0231327
FBbt:00048882	FBbt:00001376	NB5-2	6	FlyBase:FBrf0231327
FBbt:00048883	FBbt:00001390	NB5-3	5	FlyBase:FBrf0231327
FBbt:00048884	FBbt:00001416	NB5-4	22	FlyBase:FBrf0231327
FBbt:00048885	FBbt:00001425	NB5-5	NA	FlyBase:FBrf0231327
FBbt:00048886	FBbt:00001377	NB5-6	NA	FlyBase:FBrf0231327
FBbt:00048887	FBbt:00111737	NB5-7	20	FlyBase:FBrf0231327
FBbt:00048888	FBbt:00001398	NB6-1	12	FlyBase:FBrf0231327
FBbt:00048889	FBbt:00001391	NB6-2	19	FlyBase:FBrf0231327
FBbt:00048890	FBbt:00001399	NB6-4	NA	FlyBase:FBrf0231327
FBbt:00048891	FBbt:00001380	NB7-1	3	FlyBase:FBrf0231327
FBbt:00048892	FBbt:00001392	NB7-2	11	FlyBase:FBrf0231327
FBbt:00048893	FBbt:00001426	NB7-3	NA	FlyBase:FBrf0231327
FBbt:00048894	FBbt:00001381	NB7-4	23	FlyBase:FBrf0231327
