defined_class	neuron	organ_name	subtype	def_dbxref
FBbt:00047430	FBbt:00100147	epiphysis	DP1	FlyBase:FBrf0233050
FBbt:00047431	FBbt:00100147	epiphysis	DP2	FlyBase:FBrf0233050
FBbt:00047432	FBbt:00100147	epiphysis	DP3	FlyBase:FBrf0233050
FBbt:00047433	FBbt:00100147	epiphysis	DP4	FlyBase:FBrf0233050
FBbt:00047434	FBbt:00100147	epiphysis	DP5	FlyBase:FBrf0233050
FBbt:00047435	FBbt:00100148	hypophysis	VP1	FlyBase:FBrf0233050
FBbt:00047436	FBbt:00100148	hypophysis	VP2	FlyBase:FBrf0233050
FBbt:00047437	FBbt:00100148	hypophysis	VP3	FlyBase:FBrf0233050
FBbt:00047438	FBbt:00100148	hypophysis	VP4	FlyBase:FBrf0233050
FBbt:00047439	FBbt:00100148	hypophysis	VP5	FlyBase:FBrf0233050
FBbt:00047440	FBbt:00100149	hypopharyngeal organ	PP1	FlyBase:FBrf0233050
FBbt:00047441	FBbt:00100149	hypopharyngeal organ	PP2	FlyBase:FBrf0233050
FBbt:00047442	FBbt:00100149	hypopharyngeal organ	PP3	FlyBase:FBrf0233050
FBbt:00047443	FBbt:00100149	hypopharyngeal organ	PP4	FlyBase:FBrf0233050
FBbt:00047444	FBbt:00100149	hypopharyngeal organ	PP5	FlyBase:FBrf0233050
FBbt:00047445	FBbt:00100149	hypopharyngeal organ	PP6	FlyBase:FBrf0233050
