banc_region	source	region_type	segment_id	FBbt_id	FBbt_name	notes
CX	BANC		8	FBbt:00003632	adult central complex	
MB	BANC		7	FBbt:00005801	adult mushroom body	
brain_neuropil	BANC		3			
optic	BANC		6			
vnc_neuropil	BANC		4			
ABDNM	COURT	vnc	201	FBbt:00110173	adult abdominal neuromere	
AMNP	COURT	vnc	202	FBbt:00004091	adult accessory mesothoracic neuropil	
DLT_L	COURT	vnc	238	FBbt:00047540	dorsal lateral tract	
DLT_R	COURT	vnc	239	FBbt:00047540	dorsal lateral tract	
DLV_L	COURT	vnc	240	FBbt:00047541	dorsal lateral tract of ventral cervical fasciculus	
DLV_R	COURT	vnc	241	FBbt:00047541	dorsal lateral tract of ventral cervical fasciculus	
DMT	COURT	vnc	242	FBbt:00047539	dorsal median tract	
HTct	COURT	vnc	203	FBbt:00047138	haltere neuropil	
ITD-CFF_L	COURT	vnc	245	FBbt:00047536	commissure of fine fibers of the ITD	
ITD-CFF_R	COURT	vnc	246	FBbt:00047536	commissure of fine fibers of the ITD	
ITD-HC_L	COURT	vnc	247	FBbt:00047838	intermediate tract of dorsal cervical fasciculus - haltere commissure	
ITD-HC_R	COURT	vnc	248	FBbt:00047838	intermediate tract of dorsal cervical fasciculus - haltere commissure	
ITD-HT_L	COURT	vnc	249	FBbt:00049638	haltere tract	
ITD-HT_R	COURT	vnc	250	FBbt:00049638	haltere tract	
ITD_L	COURT	vnc	243	FBbt:00047534	intermediate tract of dorsal cervical fasciculus	
ITD_R	COURT	vnc	244	FBbt:00047534	intermediate tract of dorsal cervical fasciculus	
IntTct	COURT	vnc	204	FBbt:00047519	intermediate tectulum	
LTct	COURT	vnc	205	FBbt:00047174	lower tectulum	
MDT	COURT	vnc	251	FBbt:00047544	median dorsal abdominal tract	
MesoNM-T2	COURT	vnc	206	FBbt:00110175	adult mesothoracic neuromere	
MetaNM-T3	COURT	vnc	207	FBbt:00110176	adult metathoracic neuromere	
NTct	COURT	vnc	209	FBbt:00047173	neck neuropil	
ProNM-T1	COURT	vnc	210	FBbt:00110174	adult prothoracic neuromere	
VLT_L	COURT	vnc	252	FBbt:00047543	ventral lateral tract of ventral cervical fasciculus	
VLT_R	COURT	vnc	253	FBbt:00047543	ventral lateral tract of ventral cervical fasciculus	
VTV	COURT	vnc	254	FBbt:00047542	ventral median tract of ventral cervical fasciculus	
WTct	COURT	vnc	211	FBbt:00047137	wing neuropil	
mVAC	COURT	vnc	208	FBbt:00047176	medial ventral association center	
AL_L	ITO	midbrain	101	FBbt:00007401	adult antennal lobe	
AL_R	ITO	midbrain	102	FBbt:00007401	adult antennal lobe	
AMMC_L	ITO	midbrain	103	FBbt:00003982	antennal mechanosensory and motor center	
AMMC_R	ITO	midbrain	104	FBbt:00003982	antennal mechanosensory and motor center	
AOTU_L	ITO	midbrain	105	FBbt:00007059	anterior optic tubercle	
AOTU_R	ITO	midbrain	106	FBbt:00007059	anterior optic tubercle	
ATL_L	ITO	midbrain	107	FBbt:00045039	antler	
ATL_R	ITO	midbrain	108	FBbt:00045039	antler	
AVLP_L	ITO	midbrain	109	FBbt:00040043	anterior ventrolateral protocerebrum	
AVLP_R	ITO	midbrain	110	FBbt:00040043	anterior ventrolateral protocerebrum	
BU_L	ITO	midbrain	111	FBbt:00003682	bulb	
BU_R	ITO	midbrain	112	FBbt:00003682	bulb	
CAN_L	ITO	midbrain	113	FBbt:00045051	cantle	
CAN_R	ITO	midbrain	114	FBbt:00045051	cantle	
CRE_L	ITO	midbrain	115	FBbt:00045037	adult crepine	
CRE_R	ITO	midbrain	116	FBbt:00045037	adult crepine	
EB	ITO	midbrain	117	FBbt:00003678	ellipsoid body	
EPA_L	ITO	midbrain	118	FBbt:00040040	epaulette	
EPA_R	ITO	midbrain	119	FBbt:00040040	epaulette	
FB	ITO	midbrain	120	FBbt:00003679	fan-shaped body	
FLA_L	ITO	midbrain	121	FBbt:00045050	flange	
FLA_R	ITO	midbrain	122	FBbt:00045050	flange	
GA_L	ITO	midbrain	123	FBbt:00040060	gall	
GA_R	ITO	midbrain	124	FBbt:00040060	gall	
GNG	ITO	midbrain	125	FBbt:00004013	gnathal ganglion	
GOR_L	ITO	midbrain	126	FBbt:00040039	gorget	
GOR_R	ITO	midbrain	127	FBbt:00040039	gorget	
IB_L	ITO	midbrain	128	FBbt:00040050	inferior bridge	
IB_R	ITO	midbrain	129	FBbt:00040050	inferior bridge	
ICL_L	ITO	midbrain	130	FBbt:00040049	inferior clamp	
ICL_R	ITO	midbrain	131	FBbt:00040049	inferior clamp	
IPS_L	ITO	midbrain	132	FBbt:00045046	inferior posterior slope	
IPS_R	ITO	midbrain	133	FBbt:00045046	inferior posterior slope	
LAL_L	ITO	midbrain	134	FBbt:00003681	adult lateral accessory lobe	
LAL_R	ITO	midbrain	135	FBbt:00003681	adult lateral accessory lobe	
LH_L	ITO	midbrain	136	FBbt:00007053	adult lateral horn	
LH_R	ITO	midbrain	137	FBbt:00007053	adult lateral horn	
MB_CA_L	ITO	midbrain	138	FBbt:00007385	calyx of adult mushroom body	
MB_CA_R	ITO	midbrain	139	FBbt:00007385	calyx of adult mushroom body	
MB_ML_L	ITO	midbrain	140	FBbt:00007677	medial lobe of adult mushroom body	
