flywire_region	FBbt_id	FBbt_name	notes
AL_L	FBbt:00007401	adult antennal lobe	
AL_R	FBbt:00007401	adult antennal lobe	
AME_L	FBbt:00045003	accessory medulla	
AME_R	FBbt:00045003	accessory medulla	
AMMC_L	FBbt:00003982	antennal mechanosensory and motor center	
AMMC_R	FBbt:00003982	antennal mechanosensory and motor center	
AOTU_L	FBbt:00007059	anterior optic tubercle	
AOTU_R	FBbt:00007059	anterior optic tubercle	
ATL_L	FBbt:00045039	antler	
ATL_R	FBbt:00045039	antler	
AVLP_L	FBbt:00040043	anterior ventrolateral protocerebrum	
AVLP_R	FBbt:00040043	anterior ventrolateral protocerebrum	
BU_L	FBbt:00003682	bulb	
BU_R	FBbt:00003682	bulb	
CAN_L	FBbt:00045051	cantle	
CAN_R	FBbt:00045051	cantle	
CRE_L	FBbt:00045037	adult crepine	
CRE_R	FBbt:00045037	adult crepine	
EB	FBbt:00003678	ellipsoid body	
EPA_L	FBbt:00040040	epaulette	
EPA_R	FBbt:00040040	epaulette	
FB	FBbt:00003679	fan-shaped body	
FLA_L	FBbt:00045050	flange	
FLA_R	FBbt:00045050	flange	
GA_L	FBbt:00040060	gall	
GA_R	FBbt:00040060	gall	
GNG	FBbt:00004013	gnathal ganglion	
GOR_L	FBbt:00040039	gorget	
GOR_R	FBbt:00040039	gorget	
IB_L	FBbt:00040050	inferior bridge	
IB_R	FBbt:00040050	inferior bridge	
ICL_L	FBbt:00040049	inferior clamp	
ICL_R	FBbt:00040049	inferior clamp	
IPS_L	FBbt:00045046	inferior posterior slope	
IPS_R	FBbt:00045046	inferior posterior slope	
LA_L	FBbt:00003708	lamina	
LA_R	FBbt:00003708	lamina	
LAL_L	FBbt:00003681	adult lateral accessory lobe	
LAL_R	FBbt:00003681	adult lateral accessory lobe	
LH_L	FBbt:00007053	adult lateral horn	
LH_R	FBbt:00007053	adult lateral horn	
LO_L	FBbt:00003852	lobula	
LO_R	FBbt:00003852	lobula	
LOP_L	FBbt:00003885	lobula plate	
LOP_R	FBbt:00003885	lobula plate	
MB_CA_L	FBbt:00007385	calyx of adult mushroom body	
MB_CA_R	FBbt:00007385	calyx of adult mushroom body	
MB_ML_L	FBbt:00007677	medial lobe of adult mushroom body	
MB_ML_R	FBbt:00007677	medial lobe of adult mushroom body	
MB_PED_L	FBbt:00007453	pedunculus of adult mushroom body	
MB_PED_R	FBbt:00007453	pedunculus of adult mushroom body	
MB_VL_L	FBbt:00015407	vertical lobe of adult mushroom body	
MB_VL_R	FBbt:00015407	vertical lobe of adult mushroom body	
ME_L	FBbt:00003748	medulla	
ME_R	FBbt:00003748	medulla	
NO	FBbt:00003680	nodulus	
OCG	FBbt:00049817	ocellar ganglion	
PB	FBbt:00003668	protocerebral bridge	
PLP_L	FBbt:00040044	posterior lateral protocerebrum	
PLP_R	FBbt:00040044	posterior lateral protocerebrum	
PRW	FBbt:00040051	prow	
PVLP_L	FBbt:00040042	posterior ventrolateral protocerebrum	
PVLP_R	FBbt:00040042	posterior ventrolateral protocerebrum	
SAD	FBbt:00045048	saddle	
SCL_L	FBbt:00040048	superior clamp	
SCL_R	FBbt:00040048	superior clamp	
SIP_L	FBbt:00045032	superior intermediate protocerebrum	
SIP_R	FBbt:00045032	superior intermediate protocerebrum	
SLP_L	FBbt:00007054	superior lateral protocerebrum	
SLP_R	FBbt:00007054	superior lateral protocerebrum	
SMP_L	FBbt:00007055	superior medial protocerebrum	
SMP_R	FBbt:00007055	superior medial protocerebrum	
SPS_L	FBbt:00045040	superior posterior slope	
SPS_R	FBbt:00045040	superior posterior slope	
VES_L	FBbt:00040041	vest	
VES_R	FBbt:00040041	vest	
WED_L	FBbt:00045027	wedge	
WED_R	FBbt:00045027	wedge	
