male-cns_region	FBbt_id	FBbt_name	notes
AB(L)	FBbt:00110172	asymmetrical body	
AB(R)	FBbt:00110172	asymmetrical body	
ADMN(L)	FBbt:00004060	adult anterior dorsal mesothoracic nerve	
ADMN(R)	FBbt:00004060	adult anterior dorsal mesothoracic nerve	
AL(L)	FBbt:00007401	adult antennal lobe	
AL(R)	FBbt:00007401	adult antennal lobe	
AL-D(L)	FBbt:00003960	antennal lobe glomerulus D	
AL-D(R)	FBbt:00003960	antennal lobe glomerulus D	
AL-DA1(L)	FBbt:00003932	antennal lobe glomerulus DA1	
AL-DA1(R)	FBbt:00003932	antennal lobe glomerulus DA1	
AL-DA2(L)	FBbt:00003933	antennal lobe glomerulus DA2	
AL-DA2(R)	FBbt:00003933	antennal lobe glomerulus DA2	
AL-DA3(L)	FBbt:00003934	antennal lobe glomerulus DA3	
AL-DA3(R)	FBbt:00003934	antennal lobe glomerulus DA3	
AL-DA4l(L)	FBbt:00007360	antennal lobe glomerulus DA4l	
AL-DA4l(R)	FBbt:00007360	antennal lobe glomerulus DA4l	
AL-DA4m(L)	FBbt:00007361	antennal lobe glomerulus DA4m	
AL-DA4m(R)	FBbt:00007361	antennal lobe glomerulus DA4m	
AL-DC1(L)	FBbt:00003961	antennal lobe glomerulus DC1	
AL-DC1(R)	FBbt:00003961	antennal lobe glomerulus DC1	
AL-DC2(L)	FBbt:00003962	antennal lobe glomerulus DC2	
AL-DC2(R)	FBbt:00003962	antennal lobe glomerulus DC2	
AL-DC3(L)	FBbt:00003963	antennal lobe glomerulus DC3	
AL-DC3(R)	FBbt:00003963	antennal lobe glomerulus DC3	
AL-DC4(L)	FBbt:00100531	antennal lobe glomerulus DC4	
AL-DC4(R)	FBbt:00100531	antennal lobe glomerulus DC4	
AL-DL1(L)	FBbt:00003968	antennal lobe glomerulus DL1	
AL-DL1(R)	FBbt:00003968	antennal lobe glomerulus DL1	
AL-DL2d(L)	FBbt:00100377	antennal lobe glomerulus DL2d	
AL-DL2d(R)	FBbt:00100377	antennal lobe glomerulus DL2d	
AL-DL2v(L)	FBbt:00100376	antennal lobe glomerulus DL2v	
AL-DL2v(R)	FBbt:00100376	antennal lobe glomerulus DL2v	
AL-DL3(L)	FBbt:00003964	antennal lobe glomerulus DL3	
AL-DL3(R)	FBbt:00003964	antennal lobe glomerulus DL3	
