manc_region	FBbt_id	FBbt_name	notes
ADMN(L)	FBbt:00004060	adult anterior dorsal mesothoracic nerve	
ADMN(R)	FBbt:00004060	adult anterior dorsal mesothoracic nerve	
ANm	FBbt:00110173	adult abdominal neuromere	
AbN1(L)	FBbt:00004105	adult first abdominal nerve	
AbN1(R)	FBbt:00004105	adult first abdominal nerve	
AbN2(L)	FBbt:00004106	adult second abdominal nerve	
AbN2(R)	FBbt:00004106	adult second abdominal nerve	
AbN3(L)	FBbt:00004107	adult third abdominal nerve	
AbN3(R)	FBbt:00004107	adult third abdominal nerve	
AbN4(L)	FBbt:00004108	adult fourth abdominal nerve	
AbN4(R)	FBbt:00004108	adult fourth abdominal nerve	
AbNT	FBbt:00004099	adult abdominal nerve trunk	
CV	FBbt:00004019	adult cervical connective	
CvN(L)	FBbt:00004053	adult cervical nerve	
CvN(R)	FBbt:00004053	adult cervical nerve	
DMetaN(L)	FBbt:00004094	adult dorsal metathoracic nerve	
DMetaN(R)	FBbt:00004094	adult dorsal metathoracic nerve	
DProN(L)	FBbt:00004055	adult dorsal prothoracic nerve	
DProN(R)	FBbt:00004055	adult dorsal prothoracic nerve	
HTct(UTct-T3)(L)	FBbt:00047138	haltere neuropil	
HTct(UTct-T3)(R)	FBbt:00047138	haltere neuropil	
IntTct	FBbt:00047519	intermediate tectulum	
LTct	FBbt:00047174	lower tectulum	
LegNp(T1)(L)	FBbt:00047140	adult T1 leg neuropil	
LegNp(T1)(R)	FBbt:00047140	adult T1 leg neuropil	
LegNp(T2)(L)	FBbt:00047141	adult T2 leg neuropil	
LegNp(T2)(R)	FBbt:00047141	adult T2 leg neuropil	
LegNp(T3)(L)	FBbt:00047142	adult T3 leg neuropil	
LegNp(T3)(R)	FBbt:00047142	adult T3 leg neuropil	
MesoAN(L)	FBbt:00004062	adult mesothoracic accessory nerve	
MesoAN(R)	FBbt:00004062	adult mesothoracic accessory nerve	
MesoLN(L)	FBbt:00004063	adult mesothoracic leg nerve	
MesoLN(R)	FBbt:00004063	adult mesothoracic leg nerve	
MetaLN(L)	FBbt:00004096	adult metathoracic leg nerve	
MetaLN(R)	FBbt:00004096	adult metathoracic leg nerve	
NTct(UTct-T1)(L)	FBbt:00047173	neck neuropil	
NTct(UTct-T1)(R)	FBbt:00047173	neck neuropil	
Ov(L)	FBbt:00004091	adult accessory mesothoracic neuropil	
Ov(R)	FBbt:00004091	adult accessory mesothoracic neuropil	
PDMN(L)	FBbt:00004061	adult posterior dorsal mesothoracic nerve	
PDMN(R)	FBbt:00004061	adult posterior dorsal mesothoracic nerve	
PrN(L)	FBbt:00007654	adult prosternal nerve	
PrN(R)	FBbt:00007654	adult prosternal nerve	
ProAN(L)	FBbt:00004056	adult prothoracic accessory nerve	
ProAN(R)	FBbt:00004056	adult prothoracic accessory nerve	
ProCN(L)	FBbt:00049893	adult prothoracic chordotonal nerve	
ProCN(R)	FBbt:00049893	adult prothoracic chordotonal nerve	
ProLN(L)	FBbt:00007657	adult prothoracic leg nerve	
ProLN(R)	FBbt:00007657	adult prothoracic leg nerve	
VProN(L)	FBbt:00004057	adult ventral prothoracic nerve	
VProN(R)	FBbt:00004057	adult ventral prothoracic nerve	
WTct(UTct-T2)(L)	FBbt:00047137	wing neuropil	
WTct(UTct-T2)(R)	FBbt:00047137	wing neuropil	
mVAC(T1)(L)	FBbt:00047176	medial ventral association center	
mVAC(T1)(R)	FBbt:00047176	medial ventral association center	
mVAC(T2)(L)	FBbt:00047176	medial ventral association center	
mVAC(T2)(R)	FBbt:00047176	medial ventral association center	
mVAC(T3)(L)	FBbt:00047176	medial ventral association center	
mVAC(T3)(R)	FBbt:00047176	medial ventral association center	
