optic-lobe_region	FBbt_id	FBbt_name	notes
AL(L)	FBbt:00007401	adult antennal lobe	
AL(R)	FBbt:00007401	adult antennal lobe	
AME(L)	FBbt:00045003	accessory medulla	
AME(R)	FBbt:00045003	accessory medulla	
AMMC(L)	FBbt:00003982	antennal mechanosensory and motor center	
AMMC(R)	FBbt:00003982	antennal mechanosensory and motor center	
AOTU(L)	FBbt:00007059	anterior optic tubercle	
AOTU(R)	FBbt:00007059	anterior optic tubercle	
ATL(L)	FBbt:00045039	antler	
ATL(R)	FBbt:00045039	antler	
AVLP(L)	FBbt:00040043	anterior ventrolateral protocerebrum	
AVLP(R)	FBbt:00040043	anterior ventrolateral protocerebrum	
BU(L)	FBbt:00003682	bulb	
BU(R)	FBbt:00003682	bulb	
CA(L)	FBbt:00003685	mushroom body calyx	
CA(R)	FBbt:00003685	mushroom body calyx	
CAN(L)	FBbt:00045051	cantle	
CAN(R)	FBbt:00045051	cantle	
CRE(L)	FBbt:00045037	adult crepine	
CRE(R)	FBbt:00045037	adult crepine	
EB	FBbt:00003678	ellipsoid body	
EPA(L)	FBbt:00040040	epaulette	
EPA(R)	FBbt:00040040	epaulette	
FB	FBbt:00003679	fan-shaped body	
FLA(L)	FBbt:00045050	flange	
FLA(R)	FBbt:00045050	flange	
GA(L)	FBbt:00040060	gall	
GA(R)	FBbt:00040060	gall	
GNG	FBbt:00004013	gnathal ganglion	
GOR(L)	FBbt:00040039	gorget	
GOR(R)	FBbt:00040039	gorget	
IB	FBbt:00040050	inferior bridge	
ICL(L)	FBbt:00040049	inferior clamp	
ICL(R)	FBbt:00040049	inferior clamp	
IPS(L)	FBbt:00045046	inferior posterior slope	
IPS(R)	FBbt:00045046	inferior posterior slope	
LA(R)	FBbt:00003708	lamina	
LAL(L)	FBbt:00003681	adult lateral accessory lobe	
LAL(R)	FBbt:00003681	adult lateral accessory lobe	
LH(L)	FBbt:00007053	adult lateral horn	
LH(R)	FBbt:00007053	adult lateral horn	
LO(L)	FBbt:00003852	lobula	
LO(R)	FBbt:00003852	lobula	
LOP(L)	FBbt:00003885	lobula plate	
LOP(R)	FBbt:00003885	lobula plate	
LOP_R_layer_1	FBbt:00003886	lobula plate layer 1	
LOP_R_layer_2	FBbt:00003887	lobula plate layer 2	
LOP_R_layer_3	FBbt:00003888	lobula plate layer 3	
LOP_R_layer_4	FBbt:00003889	lobula plate layer 4	
LO_R_layer_1	FBbt:00003853	lobula layer 1	
LO_R_layer_2	FBbt:00003854	lobula layer 2	
LO_R_layer_3	FBbt:00003855	lobula layer 3	
LO_R_layer_4	FBbt:00003856	lobula layer 4	
LO_R_layer_5	FBbt:00111743	lobula layer 5A	
LO_R_layer_6	FBbt:00111744	lobula layer 5B	
LO_R_layer_7	FBbt:00040017	lobula layer 6	
ME(L)	FBbt:00003748	medulla	
ME(R)	FBbt:00003748	medulla	
ME_R_layer_01	FBbt:00003750	medulla layer M1	
ME_R_layer_02	FBbt:00003751	medulla layer M2	
ME_R_layer_03	FBbt:00003752	medulla layer M3	
ME_R_layer_04	FBbt:00003753	medulla layer M4	
ME_R_layer_05	FBbt:00003754	medulla layer M5	
ME_R_layer_06	FBbt:00003755	medulla layer M6	
ME_R_layer_07	FBbt:00003756	medulla serpentine layer	
ME_R_layer_08	FBbt:00003758	medulla layer M8	
ME_R_layer_09	FBbt:00003759	medulla layer M9	
ME_R_layer_10	FBbt:00003760	medulla layer M10	
NO	FBbt:00003680	nodulus	
OL(R)	FBbt:00003701	adult optic lobe	
PB	FBbt:00003668	protocerebral bridge	
PED(L)	FBbt:00003687	mushroom body pedunculus	
PED(R)	FBbt:00003687	mushroom body pedunculus	
PLP(L)	FBbt:00040044	posterior lateral protocerebrum	
PLP(R)	FBbt:00040044	posterior lateral protocerebrum	
PRW	FBbt:00040051	prow	
PVLP(L)	FBbt:00040042	posterior ventrolateral protocerebrum	
PVLP(R)	FBbt:00040042	posterior ventrolateral protocerebrum	
ROB(R)	FBbt:00048509	adult round body	
RUB(R)	FBbt:00040038	rubus	
SAD	FBbt:00045048	saddle	
SCL(L)	FBbt:00040048	superior clamp	
SCL(R)	FBbt:00040048	superior clamp	
SIP(L)	FBbt:00045032	superior intermediate protocerebrum	
SIP(R)	FBbt:00045032	superior intermediate protocerebrum	
SLP(L)	FBbt:00007054	superior lateral protocerebrum	
SLP(R)	FBbt:00007054	superior lateral protocerebrum	
SMP(L)	FBbt:00007055	superior medial protocerebrum	
SMP(R)	FBbt:00007055	superior medial protocerebrum	
SPS(L)	FBbt:00045040	superior posterior slope	
SPS(R)	FBbt:00045040	superior posterior slope	
VES(L)	FBbt:00040041	vest	
VES(R)	FBbt:00040041	vest	
WED(L)	FBbt:00045027	wedge	
WED(R)	FBbt:00045027	wedge	
a'L(L)	FBbt:00110652	mushroom body alpha' lobe	
a'L(R)	FBbt:00110652	mushroom body alpha' lobe	
aL(L)	FBbt:00110651	mushroom body alpha lobe	
aL(R)	FBbt:00110651	mushroom body alpha lobe	
b'L(L)	FBbt:00110654	mushroom body beta' lobe	
b'L(R)	FBbt:00110654	mushroom body beta' lobe	
bL(L)	FBbt:00110653	mushroom body beta lobe	
bL(R)	FBbt:00110653	mushroom body beta lobe	
gL(L)	FBbt:00007686	mushroom body gamma lobe	
gL(R)	FBbt:00007686	mushroom body gamma lobe	
vnc-shell	FBbt:00004052	adult ventral nerve cord	
