group	OL_type	Matsliah_type	Schlegel_type	hemibrain_type	OL	Matsliah	Schlegel_L	Schlegel_R	matched as	Notes	specificity	FBbt_id	FBbt_name
OL_connecting	Am1	Am1	Am1		1	1	1	1	1-to-1			FBbt:00052538	optic lobe amacrine neuron Am1
OL_connecting	aMe6c				1				unmatched	FlyWire v783 ids are 720575940615928386,720575940620225585,720575940632527683. The first two are now joined together as a single object: 720575940617876054. NT pred also matches.		FBbt:00053490	accessory medulla neuron aMe6c
OL_connecting	C2	C2	C2		874	743	723	733	1-to-1			FBbt:00003743	centrifugal neuron C2
OL_connecting	C3	C3	C3		892	768	699	761	1-to-1			FBbt:00003744	centrifugal neuron C3
OL_connecting	CT1	CT1	CT1	CT1	1	1	1	1	1-to-1			FBbt:00048245	tangential neuron CT1
OL_connecting	L1	L1	L1		892	793	789	791	1-to-1			FBbt:00003719	lamina monopolar neuron L1
OL_connecting	L2	L2	L2		893	792	766	790	1-to-1			FBbt:00003720	lamina monopolar neuron L2
OL_connecting	L3	L3	L3		892	737	680	727	1-to-1			FBbt:00003721	lamina monopolar neuron L3
OL_connecting	L4	L4	L4		891	724	659	739	1-to-1			FBbt:00003722	lamina monopolar neuron L4
OL_connecting	L5	L5	L5		898	783	820	786	1-to-1			FBbt:00003725	lamina monopolar neuron L5
OL_connecting	Lat3		5-HT-IR Tan		4			5	2-to-1			FBbt:00053498	lamina tangential neuron Lat3
OL_connecting	Lat4		5-HT-IR Tan		1			5	2-to-1			FBbt:00053499	lamina tangential neuron Lat4
OL_connecting	Lawf1	Lawf1	Lawf1		184	151	199	156	1-to-1			FBbt:00003741	lamina wide-field 1 neuron
OL_connecting	Lawf2	Lawf2	Lawf2		188	167	145	168	1-to-1			FBbt:00110065	lamina wide-field 2 neuron
OL_connecting	LOLP1	LLPt	CB3822		32	36	32	36	1-to-1			FBbt:20007237	adult LOLP1 neuron
OL_connecting	LT58		LT58	LT58	1		1	1	1-to-1			FBbt:20011454	adult lobula tangential neuron LT58
OL_connecting	LT88		cM10		1		1	1	1-to-1			FBbt:20007303	adult medulla visual centrifugal neuron 10
OL_connecting	MeLo1	MLt1	CB3833		63	44	48	44	1-to-1			FBbt:00052137	medulla-lobula neuron 1
OL_connecting	MeLo10	LMt2	CB3834		30	27	30	27	1-to-1			FBbt:20007249	adult MeLo10 neuron
OL_connecting	MeLo11	LMt4	CB3820		27	20	62	64	1-to-1		parent_term	FBbt:20007235	adult CB3820 neuron
