accession	type	class	superclass	subclass	fruDsx	synonyms	hemibrainType	flywireType	mancType	somaNeuromere	specificity	FBbt_id	FBbt_name	references
111191	ITP		cb_endocrine					ITP				FBbt:00048313	ITP neuron	
512736	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
11052	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
17521	ITP		cb_endocrine					ITP				FBbt:00048313	ITP neuron	
18063	ITP		cb_endocrine					ITP				FBbt:00048313	ITP neuron	
10812	DH44		cb_endocrine				PI1,PI2,PI3	DH44				FBbt:00047132	Dh44 neuron of pars intercerebralis	doi:10.1101/2025.10.09.680999
10665	DH44		cb_endocrine				PI1,PI2,PI3	DH44				FBbt:00047132	Dh44 neuron of pars intercerebralis	doi:10.1101/2025.10.09.680999
11162	DH44		cb_endocrine				PI1,PI2,PI3	DH44				FBbt:00047132	Dh44 neuron of pars intercerebralis	doi:10.1101/2025.10.09.680999
11767	DH44		cb_endocrine				PI1,PI2,PI3	DH44				FBbt:00047132	Dh44 neuron of pars intercerebralis	doi:10.1101/2025.10.09.680999
555767	DH44		cb_endocrine				PI1,PI2,PI3	DH44				FBbt:00047132	Dh44 neuron of pars intercerebralis	doi:10.1101/2025.10.09.680999
10911	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
11209	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
567407	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
10758	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
12330	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
12867	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
13216	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
11585	CAPA		cb_endocrine					CAPA		LB		FBbt:00052777	adult subesophageal Capability neuron	doi:10.1101/2025.10.09.680999
17819	Hugin-RG		cb_endocrine					Hugin-RG				FBbt:00052009	adult Hugin neuron of the corpus allatum	
124747	Hugin-RG		cb_endocrine					Hugin-RG				FBbt:00052009	adult Hugin neuron of the corpus allatum	
10086	DH44		cb_endocrine				PI1,PI2,PI3	DH44				FBbt:00047132	Dh44 neuron of pars intercerebralis	doi:10.1101/2025.10.09.680999
20146	ITP		cb_endocrine					ITP				FBbt:00048313	ITP neuron	
104438	ITP		cb_endocrine					ITP				FBbt:00048313	ITP neuron	
11284	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
11946	IPC		cb_endocrine		fru_high		PI1,PI2,PI3	IPC				FBbt:00110107	adult insulin secreting cell of pars intercerebralis	doi:10.1101/2025.10.09.680999
