primary_type	specificity	FBbt_id	FBbt_name	references
4A0	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4A1	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4A10	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4A2	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4A21	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4A3	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4A9	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4D0	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4D1	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4D2	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4D3	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4D4	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4I0	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4I1	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4I2	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4I3	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4I4	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4I5	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4I6	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4I7	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4I8	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4I9	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4L0	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
4L1	general_term	FBbt:00007543	adult fan-shaped body layer 4 tangential neuron	
5-HTPLP01	parent_term	FBbt:00110945	adult serotonergic PLP neuron	
5-HTPMPD01	parent_term	FBbt:00110955	adult serotonergic PMPD neuron	
5-HTPMPV01	parent_term	FBbt:00110937	adult serotonergic IP neuron	
5-HTPMPV03	parent_term	FBbt:00110937	adult serotonergic IP neuron	
5th-LNv		FBbt:00007433	adult Pdf negative s-LNv neuron	
AC_neuron		FBbt:00007333	AC thermosensory neuron	
AL-AST1		FBbt:00047928	antennal lobe AST-associated neuron 1	
AL-MBDL1		FBbt:00047933	antennal lobe median bundle neuron 1	
ALBN1	general_term	FBbt:00007390	adult antennal lobe local neuron	
ALIN1	parent_term	FBbt:00053281	adult antennal lobe input interneuron	
ALIN2	parent_term	FBbt:00053281	adult antennal lobe input interneuron	
ALIN3	parent_term	FBbt:00053281	adult antennal lobe input interneuron	
ALIN4		FBbt:20003741	adult antennal lobe local neuron lLN7	
ALIN5	parent_term	FBbt:00053281	adult antennal lobe input interneuron	
ALIN6	parent_term	FBbt:00053281	adult antennal lobe input interneuron	
ALIN7	parent_term	FBbt:00053281	adult antennal lobe input interneuron	
ALIN8	parent_term	FBbt:00053281	adult antennal lobe input interneuron	
ALON1	parent_term	FBbt:00053493	adult antennal lobe output interneuron	
ALON2	parent_term	FBbt:00053493	adult antennal lobe output interneuron	
ALON3	parent_term	FBbt:00053493	adult antennal lobe output interneuron	
Am1		FBbt:00052538	optic lobe amacrine neuron Am1	
aMe1		FBbt:00053473	accessory medulla neuron aMe1	
aMe10		FBbt:00053474	accessory medulla neuron aMe10	
aMe12		FBbt:00049823	accessory medulla neuron aMe12	
