flow	super_class	cell_class	cell_sub_class	cell_type	hemibrain_type	specificity	FBbt_id	FBbt_name
intrinsic	central			(AVLP346,AVLP348)a	AVLP346,AVLP348	parent_term	FBbt:20000455	adult anterior ventrolateral protocerebrum neuron 346
intrinsic	central			(AVLP346,AVLP348)b	AVLP346,AVLP348	parent_term	FBbt:20000455	adult anterior ventrolateral protocerebrum neuron 346
intrinsic	central	ALPN	multiglomerular	(M_adPNm4,M_adPNm5)a	M_adPNm4,M_adPNm5	parent_term	FBbt:20003790	adult multiglomerular antennal lobe projection neuron type 4 adPN
intrinsic	central	ALPN	multiglomerular	(M_adPNm4,M_adPNm5)b	M_adPNm4,M_adPNm5	parent_term	FBbt:20003790	adult multiglomerular antennal lobe projection neuron type 4 adPN
intrinsic	central	ALPN	multiglomerular	(M_adPNm4,M_adPNm5)c	M_adPNm4,M_adPNm5	parent_term	FBbt:20003790	adult multiglomerular antennal lobe projection neuron type 4 adPN
intrinsic	central	ALPN	multiglomerular	(M_adPNm4,M_adPNm5)d	M_adPNm4,M_adPNm5	parent_term	FBbt:20003790	adult multiglomerular antennal lobe projection neuron type 4 adPN
intrinsic	central	ALPN	multiglomerular	(M_lPNm12,M_lPNm13)a	M_lPNm12,M_lPNm13	parent_term	FBbt:20003803	adult multiglomerular antennal lobe projection neuron type 12 lPN
intrinsic	central	ALPN	multiglomerular	(M_lPNm12,M_lPNm13)b	M_lPNm12,M_lPNm13	parent_term	FBbt:20003803	adult multiglomerular antennal lobe projection neuron type 12 lPN
intrinsic	central			(PLP191,PLP192)a	PLP191,PLP192	parent_term	FBbt:20001691	adult posterior lateral protocerebrum neuron 191
intrinsic	central			(PLP191,PLP192)b	PLP191,PLP192	parent_term	FBbt:20001691	adult posterior lateral protocerebrum neuron 191
intrinsic	central			(PS023,PS024)a	PS023,PS024	parent_term	FBbt:20001778	adult posterior slope neuron 023
intrinsic	central			(PS023,PS024)b	PS023,PS024	parent_term	FBbt:20001778	adult posterior slope neuron 023
intrinsic	central			(PS082,PS084)a	PS082,PS084	parent_term	FBbt:20001837	adult posterior slope neuron 082
intrinsic	central			(PS082,PS084)b	PS082,PS084	parent_term	FBbt:20001837	adult posterior slope neuron 082
intrinsic	central			(PS142,PS148)a	PS142,PS148	parent_term	FBbt:20001897	adult posterior slope neuron 142
intrinsic	central			(PS142,PS148)b	PS142,PS148	parent_term	FBbt:20001897	adult posterior slope neuron 142
intrinsic	central			(SLP402,SMP426)a	SLP402,SMP426	parent_term	FBbt:20002796	adult superior lateral protocerebrum neuron 402
intrinsic	central			(SLP402,SMP426)b	SLP402,SMP426	parent_term	FBbt:20002796	adult superior lateral protocerebrum neuron 402
intrinsic	central			(SLP402,SMP426)c	SLP402,SMP426	parent_term	FBbt:20002796	adult superior lateral protocerebrum neuron 402
intrinsic	central			(SMP206,SLP327)a	SMP206,SLP327	parent_term	FBbt:20003068	adult superior medial protocerebrum neuron 206
intrinsic	central			(SMP206,SLP327)b	SMP206,SLP327	parent_term	FBbt:20003068	adult superior medial protocerebrum neuron 206
intrinsic	optic	ME>LA		5-HT-IR Tan		general_term	FBbt:00003702	adult optic lobe neuron
intrinsic	central			AC neuron	aDT4		FBbt:00007333	AC thermosensory neuron
intrinsic	central	ALIN		ALIN4	lLN7		FBbt:20003741	adult antennal lobe local neuron lLN7
intrinsic	central	ALIN		ALIN5		general_term	FBbt:00052046	adult interneuron
intrinsic	central	ALIN		ALIN6		general_term	FBbt:00052046	adult interneuron
intrinsic	central	ALIN		ALIN7		general_term	FBbt:00052046	adult interneuron
intrinsic	central	ALIN		ALIN8		general_term	FBbt:00052046	adult interneuron
intrinsic	central	ALON		ALON1		general_term	FBbt:00052046	adult interneuron
intrinsic	central	ALON		ALON2		general_term	FBbt:00052046	adult interneuron
intrinsic	central	ALON		ALON3		general_term	FBbt:00052046	adult interneuron
intrinsic	optic	LA		Am		general_term	FBbt:00005127	optic lobe amacrine neuron
intrinsic	optic	LOP>ME.LO	tangential	Am1			FBbt:00052538	optic lobe amacrine neuron Am1
intrinsic	visual_centrifugal			aMe17a1	aMe17a	general_term	FBbt:00059244	adult visual centrifugal neuron
intrinsic	visual_centrifugal			aMe17a2	aMe17a	general_term	FBbt:00059244	adult visual centrifugal neuron
afferent	ascending	AN	AN_AMMC_SAD	AN_AMMC_SAD_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AMMC_SAD_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AMMC_SAD_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_1		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_10		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_11		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_12		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_13		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_14		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_15		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_16		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_17		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_18		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_19		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_2		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_20		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_21		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_22		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_23		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_24		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_25		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_26		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_27		general_term	FBbt:00048301	adult ascending neuron
afferent	ascending	AN	AN_AVLP	AN_AVLP_28		general_term	FBbt:00048301	adult ascending neuron
