np_type	FBbt_id	FBbt_name	pub	comment	specificity	notes	notes_2
5-HTPLP01	FBbt:00110945	adult serotonergic PLP neuron			parent_term		
5-HTPMPD01	FBbt:00110955	adult serotonergic PMPD neuron			parent_term		
5-HTPMPV01	FBbt:00110937	adult serotonergic IP neuron			parent_term		
5-HTPMPV03	FBbt:00110937	adult serotonergic IP neuron			parent_term		
aDT4	FBbt:00110539	adult fruitless aDT4 neuron					
aIPg1	FBbt:00053361	adult fruitless aIP-g type 1 (female) neuron	FlyBase:FBrf0247707				
aIPg2	FBbt:00053362	adult fruitless aIP-g type 2 (female) neuron	FlyBase:FBrf0247707				
aIPg3	FBbt:00053363	adult fruitless aIP-g type 3 (female) neuron	FlyBase:FBrf0247707				
aIPg4	FBbt:00110443	adult fruitless aIP-g (female) neuron	FlyBase:FBrf0246888		parent_term		
AL-AST1	FBbt:00047928	antennal lobe AST-associated neuron 1					
AL-MBDL1	FBbt:00047933	antennal lobe median bundle neuron 1					
ALBN1						?	
ALIN1						AL but not intrinsic?	
ALIN2						AL but not intrinsic?	
ALIN3						AL but not intrinsic?	
aMe1						?	
aMe10						?	
aMe12	FBbt:00049823	accessory medulla neuron 12					
aMe13						?	
aMe14a						?	
aMe14b						?	
aMe15						?	
aMe17a						?	
aMe17b						?	
aMe17c						?	
aMe19a						?	
aMe19b						?	
aMe2						?	
aMe20						?	
aMe22						?	
aMe23	FBbt:00049789	DN1-like neuron	doi:10.1101/2020.08.29.273276				
aMe24						?	
aMe25						?	
aMe26						?	
aMe3						?	
aMe4						?	
aMe5						?	
aMe6a						?	
aMe6b						?	
aMe6c						?	
aMe8						?	
aMe9						?	
AMMC-A1	FBbt:00110183	antennal mechanosensory and motor center A1 projection neuron					
AOTU001	FBbt:20000000	adult anterior optic tubercle neuron 001					
AOTU002_a	FBbt:20000001	adult anterior optic tubercle neuron 002					
AOTU002_b	FBbt:20000001	adult anterior optic tubercle neuron 002					
AOTU003	FBbt:20000002	adult anterior optic tubercle neuron 003					
AOTU004	FBbt:20000003	adult anterior optic tubercle neuron 004					
AOTU005	FBbt:20000004	adult anterior optic tubercle neuron 005					
AOTU006	FBbt:20000005	adult anterior optic tubercle neuron 006					
AOTU007	FBbt:20000006	adult anterior optic tubercle neuron 007					
AOTU008_a	FBbt:20000007	adult anterior optic tubercle neuron 008					
AOTU008_b	FBbt:20000007	adult anterior optic tubercle neuron 008					
AOTU009	FBbt:20000008	adult anterior optic tubercle neuron 009					
AOTU010	FBbt:20000009	adult anterior optic tubercle neuron 010					
AOTU011	FBbt:20000010	adult anterior optic tubercle neuron 011					
AOTU012	FBbt:20000011	adult anterior optic tubercle neuron 012					
AOTU013	FBbt:20000012	adult anterior optic tubercle neuron 013					
AOTU014	FBbt:20000013	adult anterior optic tubercle neuron 014					
AOTU015	FBbt:20000014	adult anterior optic tubercle neuron 015					
AOTU016	FBbt:20000015	adult anterior optic tubercle neuron 016					
AOTU017	FBbt:20000016	adult anterior optic tubercle neuron 017					
AOTU018	FBbt:20000017	adult anterior optic tubercle neuron 018					
AOTU019	FBbt:20000018	adult anterior optic tubercle neuron 019					
AOTU020	FBbt:20000019	adult anterior optic tubercle neuron 020					
AOTU021	FBbt:20000020	adult anterior optic tubercle neuron 021					
AOTU022	FBbt:20000021	adult anterior optic tubercle neuron 022					
AOTU023	FBbt:20000022	adult anterior optic tubercle neuron 023					
AOTU024	FBbt:20000023	adult anterior optic tubercle neuron 024					
AOTU025	FBbt:20000024	adult anterior optic tubercle neuron 025					
AOTU026	FBbt:20000025	adult anterior optic tubercle neuron 026					
AOTU027	FBbt:20000026	adult anterior optic tubercle neuron 027					
AOTU028	FBbt:20000027	adult anterior optic tubercle neuron 028					
AOTU029	FBbt:20000028	adult anterior optic tubercle neuron 029					
AOTU030	FBbt:20000029	adult anterior optic tubercle neuron 030					
AOTU031	FBbt:20000030	adult anterior optic tubercle neuron 031					
AOTU032	FBbt:20000031	adult anterior optic tubercle neuron 032					
AOTU033	FBbt:20000032	adult anterior optic tubercle neuron 033					
AOTU034	FBbt:20000033	adult anterior optic tubercle neuron 034					
AOTU035	FBbt:20000034	adult anterior optic tubercle neuron 035					
AOTU036	FBbt:20000035	adult anterior optic tubercle neuron 036					
AOTU037	FBbt:20000036	adult anterior optic tubercle neuron 037					
AOTU038	FBbt:20000037	adult anterior optic tubercle neuron 038					
AOTU039	FBbt:20000038	adult anterior optic tubercle neuron 039					
AOTU040	FBbt:20000039	adult anterior optic tubercle neuron 040					
AOTU041	FBbt:20000040	adult anterior optic tubercle neuron 041					
AOTU042	FBbt:20000041	adult anterior optic tubercle neuron 042					
AOTU043	FBbt:20000042	adult anterior optic tubercle neuron 043					
AOTU044	FBbt:20000043	adult anterior optic tubercle neuron 044					
AOTU045	FBbt:20000044	adult anterior optic tubercle neuron 045					
AOTU046	FBbt:20000045	adult superior posterior slope-bulb-tubercle neuron					
AOTU047	FBbt:20000046	adult anterior optic tubercle neuron 047					
AOTU048	FBbt:20000047	adult anterior optic tubercle neuron 048					
AOTU049	FBbt:20000048	adult anterior optic tubercle neuron 049					
AOTU050	FBbt:20000049	adult anterior optic tubercle neuron 050					
AOTU051	FBbt:20000050	adult anterior optic tubercle neuron 051					
AOTU052	FBbt:20000051	adult anterior optic tubercle neuron 052					
AOTU053	FBbt:20000052	adult anterior optic tubercle neuron 053					
AOTU054	FBbt:20000053	adult anterior optic tubercle neuron 054					
AOTU055	FBbt:20000054	adult anterior optic tubercle neuron 055					
AOTU056	FBbt:20000055	adult anterior optic tubercle neuron 056					
AOTU057	FBbt:20000056	adult anterior optic tubercle neuron 057					
AOTU058	FBbt:20000057	adult anterior optic tubercle neuron 058					
AOTU059	FBbt:20000058	adult anterior optic tubercle neuron 059					
AOTU060	FBbt:20000059	adult anterior optic tubercle neuron 060					
AOTU061	FBbt:20000060	adult anterior optic tubercle neuron 061					
AOTU062	FBbt:20000061	adult anterior optic tubercle neuron 062					
AOTU063	FBbt:20000062	adult anterior optic tubercle neuron 063					
AOTU064	FBbt:20000063	adult anterior optic tubercle neuron 064					
AOTU065	FBbt:20000064	adult anterior optic tubercle neuron 065					
APL	FBbt:00100222	adult mushroom body anterior paired lateral cell					
aSP-f1A	FBbt:00110459	adult fruitless aSP-f (female) neuron			parent_term		
aSP-f1B	FBbt:00110459	adult fruitless aSP-f (female) neuron			parent_term		
aSP-f2	FBbt:00110459	adult fruitless aSP-f (female) neuron			parent_term		
aSP-f3	FBbt:00049327	adult lateral horn AD2a1 neuron					
aSP-f4	FBbt:00110459	adult fruitless aSP-f (female) neuron			parent_term		
aSP-g1	FBbt:00049330	adult fruitless aSP-g1 (female) neuron					
aSP-g2	FBbt:00051555	adult fruitless aSP-g2 (female) neuron					
aSP-g3A	FBbt:00110461	adult fruitless aSP-g (female) neuron			parent_term		
aSP-g3B	FBbt:00110461	adult fruitless aSP-g (female) neuron			parent_term		
aSP10A	FBbt:00111194	adult fruitless aSP10 neuron			parent_term		
aSP10B	FBbt:00111194	adult fruitless aSP10 neuron			parent_term		
aSP10C_a	FBbt:00111194	adult fruitless aSP10 neuron			parent_term		
aSP10C_b	FBbt:00111194	adult fruitless aSP10 neuron			parent_term		
aSP8	FBbt:00110469	adult fruitless aSP-k (female) neuron			parent_term		
AstA1	FBbt:00048142	allatostatin A neuron			parent_term		
ATL001	FBbt:20000065	adult antler neuron 001					
ATL002	FBbt:20000066	adult antler neuron 002					
ATL003	FBbt:20000067	adult antler neuron 003					
ATL004	FBbt:20000068	adult antler neuron 004					
ATL005	FBbt:20000069	adult antler neuron 005					
ATL006	FBbt:20000070	adult antler neuron 006					
ATL007	FBbt:20000071	adult antler neuron 007					
ATL008	FBbt:20000072	adult antler neuron 008					
ATL009	FBbt:20000073	adult antler neuron 009					
ATL010	FBbt:20000074	adult antler neuron 010					
ATL011	FBbt:20000075	adult antler neuron 011					
ATL012	FBbt:20000076	adult antler neuron 012					
ATL013	FBbt:20000077	adult antler neuron 013					
ATL014	FBbt:20000078	adult antler neuron 014					
ATL015	FBbt:20000079	adult antler neuron 015					
ATL016	FBbt:20000080	adult antler neuron 016					
ATL017	FBbt:20000081	adult antler neuron 017					
ATL018	FBbt:20000082	adult antler neuron 018					
ATL019	FBbt:20000083	adult antler neuron 019					
ATL020	FBbt:20000084	adult antler neuron 020					
ATL021	FBbt:20000085	adult antler neuron 021					
ATL022	FBbt:20000086	adult antler neuron 022					
ATL023	FBbt:20000087	adult antler neuron 023					
ATL024	FBbt:20000088	adult antler neuron 024					
ATL025	FBbt:20000089	adult antler neuron 025					
