systematicType	type	FBbt_id	FBbt_name	notes	mapping_ref	specificity
AN00A002	AN00A002	FBbt:20007683	adult AN00A002 neuron			
AN00A006	AN00A006	FBbt:20007684	adult AN00A006 neuron			
AN00A009	AN00A009	FBbt:20007685	adult AN00A009 neuron			
AN01A001	AN01A001	FBbt:20007686	adult AN01A001 neuron			
AN01A006	AN01A006	FBbt:20007687	adult AN01A006 neuron			
AN01A014	AN01A014	FBbt:20007688	adult AN01A014 neuron			
AN01A021	AN01A021	FBbt:20007689	adult AN01A021 neuron			
AN01A033	AN01A033	FBbt:20007690	adult AN01A033 neuron			
AN01A049	AN01A049	FBbt:20007691	adult AN01A049 neuron			
AN01A055	AN01A055	FBbt:20007692	adult AN01A055 neuron			
AN01A086	AN01A086	FBbt:20007693	adult AN01A086 neuron			
AN01B002	AN01B002	FBbt:20007694	adult AN01B002 neuron			
AN01B004	AN01B004	FBbt:20007695	adult AN01B004 neuron			
AN01B005	AN01B005	FBbt:20007696	adult AN01B005 neuron			
AN01B011	AN01B011	FBbt:20007697	adult AN01B011 neuron			
AN01B014	AN01B014	FBbt:20007698	adult AN01B014 neuron			
AN01B018	AN01B018	FBbt:20007699	adult AN01B018 neuron			
AN02A001	AN02A001	FBbt:20007700	adult AN02A001 neuron			
AN02A002	AN02A002	FBbt:20007701	adult AN02A002 neuron			
AN02A005	AN02A005	FBbt:20007702	adult AN02A005 neuron			
AN02A009	AN02A009	FBbt:20007703	adult AN02A009 neuron			
AN02A016	AN02A016	FBbt:20007704	adult AN02A016 neuron			
AN02A017	AN02A017	FBbt:20007705	adult AN02A017 neuron			
AN02A022	AN02A022	FBbt:20007706	adult AN02A022 neuron			
AN02A025	AN02A025	FBbt:20007707	adult AN02A025 neuron			
AN02A046	AN02A046	FBbt:20007708	adult AN02A046 neuron			
AN03A002	AN03A002	FBbt:20007709	adult AN03A002 neuron			
AN03A008	AN03A008	FBbt:20007710	adult AN03A008 neuron			
AN03B009	AN03B009	FBbt:20007711	adult AN03B009 neuron			
AN03B011	AN03B011	FBbt:20007712	adult AN03B011 neuron			
AN03B039	AN03B039	FBbt:20007713	adult AN03B039 neuron			
AN03B050	AN03B050	FBbt:20007714	adult AN03B050 neuron			
AN03B094	AN03B094	FBbt:20007715	adult AN03B094 neuron			
AN03B095	AN03B095	FBbt:20007716	adult AN03B095 neuron			
AN04A001	AN04A001	FBbt:20007717	adult AN04A001 neuron			
AN04B001	AN04B001	FBbt:20007718	adult AN04B001 neuron			
AN04B003	AN04B003	FBbt:20007719	adult AN04B003 neuron			
AN04B004	AN04B004	FBbt:20007720	adult AN04B004 neuron			
AN04B023	AN04B023	FBbt:20007721	adult AN04B023 neuron			
AN04B051	AN04B051	FBbt:20007722	adult AN04B051 neuron			
AN05B004	AN05B004	FBbt:20007723	adult AN05B004 neuron			
AN05B005	AN05B005	FBbt:20007724	adult AN05B005 neuron			
AN05B006	AN05B006	FBbt:20007725	adult AN05B006 neuron			
AN05B007	AN05B007	FBbt:20007726	adult AN05B007 neuron			
AN05B009	AN05B009	FBbt:20007727	adult AN05B009 neuron			
AN05B010	AN05B010	FBbt:20007728	adult AN05B010 neuron			
AN05B015	AN05B015	FBbt:20007729	adult AN05B015 neuron			
AN05B017	AN05B017	FBbt:20007730	adult AN05B017 neuron			
AN05B021	AN05B021	FBbt:20007731	adult AN05B021 neuron			
AN05B023	AN05B023	FBbt:00111517	adult pheromone projection neuron 1			
AN05B024	AN05B024	FBbt:20007732	adult AN05B024 neuron			
AN05B025	AN05B025	FBbt:20007733	adult AN05B025 neuron			
AN05B026	AN05B026	FBbt:20007734	adult AN05B026 neuron			
AN05B027	AN05B027	FBbt:20007735	adult AN05B027 neuron			
AN05B029	AN05B029	FBbt:20007736	adult AN05B029 neuron			
AN05B035	AN05B035	FBbt:20007737	adult AN05B035 neuron			
AN05B036	AN05B036	FBbt:20007738	adult AN05B036 neuron			
