, A09a a1l Basin-2, A09a a1r Basin-2, A09b a1l Basin-1, A09b a1r Basin-1, A09c a1l Basin-4, A09c a1r Basin-4, A09g a1l Basin-3, A09g a1r Basin-3, Drunken-1 a1l, Drunken-1 a1r, Griddle-1 a1l, Griddle-1 a1r, Griddle-1 t3l, Griddle-1 t3r, Griddle-2 a1l, Griddle-2 a1r, Griddle-2 t3l, Griddle-2 t3r, Handle-A a1, Handle-B a1, Ladder-a a1, Ladder-a t3, Ladder-b a1, Ladder-c a1, Ladder-d a1, Ladder-e a1, Ladder-f a1, Ladder-f a2, lch5-1 a1l, lch5-1 a1r, lch5-2/4 a1l, lch5-2/4 a1l, lch5-2/4 a1r, lch5-2/4 a1r, lch5-3 a1l, lch5-3 a1r, lch5-5 a1l, lch5-5 a1r, v'ch a1l, v'ch a1r, vchA/B a1l, vchA/B a1l, vchA/B a1r, vchA/B a1r
A09a a1l Basin-2, 0, 0, 5, 0, 0, 0, 0, 0, 1, 0, 1, 0, 6, 0, 1, 0, 11, 6, 0, 0, 1, 1, 0, 3, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 0
A09a a1r Basin-2, 0, 0, 0, 12, 0, 1, 0, 0, 0, 7, 0, 5, 0, 8, 0, 4, 5, 16, 0, 0, 3, 3, 1, 0, 0, 4, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 13, 0, 0, 0, 0
A09b a1l Basin-1, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 0, 0, 1, 0, 2, 0, 0, 4, 0, 0, 5, 3, 2, 0, 1, 3, 0, 0, 4, 0, 3, 4, 0, 0, 1, 0, 0, 0, 11, 0, 5, 1, 0, 0
A09b a1r Basin-1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 2, 0, 0, 1, 4, 2, 0, 0, 0, 4, 1, 1, 0, 0, 1, 0, 1, 0, 9, 0, 0, 5, 9, 0, 5, 0, 0, 0, 11, 0, 0, 4, 6
A09c a1l Basin-4, 1, 0, 12, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 0, 0
A09c a1r Basin-4, 0, 0, 0, 9, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
A09g a1l Basin-3, 0, 0, 11, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 2, 0, 0, 4, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 10, 11, 0, 0
A09g a1r Basin-3, 0, 0, 0, 9, 0, 3, 0, 0, 0, 2, 0, 2, 0, 0, 0, 8, 0, 0, 0, 0, 1, 1, 2, 0, 0, 2, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 9, 11
Drunken-1 a1l, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 8, 16, 7, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 0, 13, 0, 0
Drunken-1 a1r, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 8, 2, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 0, 0, 0, 9, 0, 0, 4, 8
