short,Group,NT,synapsed_by,synapsed_to
FBN-1,FBN,,FAN-2 FAN-3 FBN-28 MBON-d1 MBON-j1,
FBN-2,FBN,,FBN,MBIN-l1 FBN-24 FBN-25 FBN-27 FB2N-13 FB2N-14
FBN-3,FBN,ACh,,FBN-4 FBN-23 FAN-1
FBN-4,FBN,,FBN-3 FBN-14 FFN MBON-e1,
FBN-5,FBN,,FAN-11 FB2N FFN,
FBN-6,FBN,,FBN FFN,FB2N-17
FBN-7,FBN,ACh,FBN FB2N,FBN-14 FBN-16 FB2N-7 FB2N-16
FBN-8,FBN,,FBN-15 FFN,FB2N-17
FBN-9,FBN,,FBN FB2N FFN MBON-d3,
FBN-10,FBN,,FBN MBON-e1,
FBN-11,FBN,,,
FBN-12,FBN,,FB2N FFN MBON-e1,
FBN-13,FBN,,FBN MBON-e1,FAN-11 FB2N-9
FBN-14,FBN,,FBN-7 FB2N FFN,FBN-4 FB2N-8
FBN-15,FBN,,,FBN-8
FBN-16,FBN,,FBN-7 FB2N FFN MBON-d3 MBON-o1,
FBN-17,FBN,,FBN FB2N FFN MBON-e1,FB2N-7 FB2N-16
FBN-18,FBN,,MBON-b2,
FBN-19,FBN,,FBN FB2N MBON-m1,
FBN-20,FBN,ACh,FBN MBON-g1,
FBN-21,FBN,,FBN FB2N MBON-m1,
FBN-22,FBN,,FBN MBON-m1,FAN-10 FB2N-20
FBN-23,FBN,GABA,FBN-3 FB2N FFN,FAN-10
FBN-24,FBN,,FBN MBON-p1 FBN-2,MBIN-l1 FBN-25
FBN-25,FBN,ACh,FBN-24 FBN-27 MBON-p1 FBN-2,MBIN-l1
FBN-26,FBN,,,FB2N-20
FBN-27,FBN,,FBN MBON-p1 FBN-2,MBIN-l1 FBN-25
FBN-28,FBN,,FFN,FBN-1
FAN-1,FAN,,FBN-3 FFN MBON-k1 MBON-n1,
FAN-2,FAN,,FBN,OAN-g1 FBN-1 FB2N-1
FAN-3,FAN,,FBN FFN MBON-p1,FBN-1
FAN-4,FAN,,FBN FB2N MBON-e1,
FAN-5,FAN,,FAN-11 FB2N FFN,
FAN-6,FAN,,FBN FB2N FFN MBON-d3,
FAN-7,FAN,GABA,FAN-8 FB2N FFN MBON-e1 MBON-i1,FB2N-5 FB2N-21
FAN-8,FAN,,FAN-8 FFN MBON-a1 MBON-h1 MBON-h2,FAN-7 FAN-8
FAN-9,FAN,GABA,MBON-c1 MBON-k1,
FAN-10,FAN,Glu,FBN-22 FBN-23 FFN,DAN-g1
FAN-11,FAN,,FBN-13 MBON-e1 MBON-k1,DAN-g1 FAN-5 FBN-5
FAN-12,FAN,,FBN FB2N FFN,
FAN-13,FAN,,,
FB2N-1,FB2N,,FB2N FFN FAN-2,
FB2N-2,FB2N,,FB2N FFN,OAN-a1 OAN-a2
FB2N-3,FB2N,,FB2N-12 FB2N-15 FFN,
FB2N-4,FB2N,,,
FB2N-5,FB2N,,FB2N-21 FFN FAN-7,
FB2N-6,FB2N,,,
FB2N-7,FB2N,,FB2N-12 FB2N-19 FFN FBN-12 FBN-17,
FB2N-8,FB2N,,FFN FBN-14,
FB2N-9,FB2N,,FBN-13,
FB2N-10,FB2N,,FB2N-10,FB2N-10
FB2N-11,FB2N,Glu,FFN,
FB2N-12,FB2N,,FB2N FFN,MBIN-e2 DAN-f1 DAN-g1 FB2N-3 FB2N-7 FB2N-16 FB2N-21
FB2N-13,FB2N,,FBN-2,
FB2N-14,FB2N,,FBN-2,
FB2N-15,FB2N,,FFN,FB2N-3 FB2N-21
FB2N-16,FB2N,,FB2N-12 FB2N-19 FFN FBN-7 FBN-17,
FB2N-17,FB2N,,FB2N FBN-6 FBN-8,
FB2N-18,FB2N,Glu,FFN,DAN-f1
FB2N-19,FB2N,ACh,FB2N,MBIN-e2 FB2N-7 FB2N-16
FB2N-20,FB2N,,FBN-22 FBN-26,OAN-g1
FB2N-21,FB2N,,FB2N-12 FB2N-15 FFN FAN-7,FB2N-5
FFN-1,FFN,,,
FFN-2,FFN,,,DAN-c1
FFN-3,FFN,,,
FFN-4,FFN,,,
FFN-5,FFN,,,
FFN-6,FFN,,,
FFN-7,FFN,,,
FFN-8,FFN,,,
FFN-9,FFN,,,
FFN-10,FFN,,,
FFN-11,FFN,,,
FFN-12,FFN,,,
FFN-13,FFN,,,DAN-i1
FFN-14,FFN,,,
FFN-15,FFN,,,DAN-c1
FFN-16,FFN,,,
FFN-17,FFN,,,
FFN-18,FFN,,,
FFN-19,FFN,,,
FFN-20,FFN,,,
FFN-21,FFN,,,
FFN-22,FFN,,,
FFN-23,FFN,,,
FFN-24,FFN,,,
FFN-25,FFN,,,
FFN-26,FFN,,,
FFN-27,FFN,,,
FFN-28,FFN,,,
FFN-29,FFN,,,
FFN-30,FFN,,,
FFN-31,FFN,,,MBIN-b1 MBIN-b2
FFN-32,FFN,,,
FFN-33,FFN,,,
FFN-34,FFN,,,MBIN-b2
FFN-35,FFN,,,OAN-a1 OAN-a2 OAN-g1
FFN-36,FFN,,,
FFN-37,FFN,,,
FFN-38,FFN,,,
FFN-39,FFN,,,
FFN-40,FFN,,,
FFN-41,FFN,,,
