FBbt_ID,Name,short,synapsed_by,synapsed_to
FBbt:00110979,larval mushroom body anterior paired lateral cell,APL,,
FBbt:00110342,larval dopaminergic DL1-5 neuron,DAN-c1,FFN-2 FFN-15,
FBbt:00110341,larval dopaminergic DL1-4 neuron,DAN-d1,,
FBbt:00110339,larval dopaminergic DL1-2 neuron,DAN-f1,FB2N-12 FB2N-18,
FBbt:00110340,larval dopaminergic DL1-3 neuron,DAN-g1,FB2N-12 FAN-10 FAN-11,
FBbt:00111634,larval dopaminergic pPAM1 neuron,DAN-h1,,
FBbt:00111636,larval dopaminergic pPAM3 neuron,DAN-i1,FFN-13,
FBbt:00111637,larval dopaminergic pPAM4 neuron,DAN-j1,,
FBbt:00111635,larval dopaminergic pPAM2 neuron,DAN-k1,,
FBbt:00047956,larval mushroom body input neuron,MBIN,,
FBbt:00047958,larval mushroom body input neuron b1,MBIN-b1,FFN-31,
FBbt:00047959,larval mushroom body input neuron b2,MBIN-b2,FFN-31 FFN-34,
FBbt:00047963,larval mushroom body input neuron c1,MBIN-c1,,
FBbt:00048242,larval mushroom body input neuron e1,MBIN-e1,,
FBbt:00110338,larval dopaminergic DL1-1 neuron,MBIN-e2,FB2N-19 FB2N-12,
FBbt:00047968,larval mushroom body input neuron l1,MBIN-l1,FBN-2 FBN-24 FBN-25 FBN-27,
FBbt:00047986,larval mushroom body input neuron m1,MBIN-m1,,
FBbt:00047954,larval mushroom body output neuron,MBON,,
FBbt:00047965,larval mushroom body output neuron a1,MBON-a1,,FAN-8
FBbt:00047966,larval mushroom body output neuron a2,MBON-a2,,
FBbt:00047960,larval mushroom body output neuron b1,MBON-b1,,
FBbt:00047961,larval mushroom body output neuron b2,MBON-b2,,FBN-18
FBbt:00047962,larval mushroom body output neuron b3,MBON-b3,,
FBbt:00047967,larval mushroom body output neuron c1,MBON-c1,,FAN-9
FBbt:00047964,larval mushroom body output neuron c2,MBON-c2,,
FBbt:00047969,larval mushroom body output neuron d1,MBON-d1,,FBN-1
FBbt:00047971,larval mushroom body output neuron d2,MBON-d2,,
FBbt:00047990,larval mushroom body output neuron d3,MBON-d3,,FBN-9 FBN-16 FAN-6
FBbt:00047972,larval mushroom body output neuron e1,MBON-e1,,FBN-4 FBN-10 FBN-12 FBN-13 FBN-17 FAN-4 FAN-7 FAN-11
FBbt:00047987,larval mushroom body output neuron e2,MBON-e2,,
FBbt:00047975,larval mushroom body output neuron f1,MBON-f1,,
FBbt:00047974,larval mushroom body output neuron f2,MBON-f2,,
FBbt:00047976,larval mushroom body output neuron g1,MBON-g1,,FBN-20
FBbt:00047977,larval mushroom body output neuron g2,MBON-g2,,
FBbt:00047980,larval mushroom body output neuron h1,MBON-h1,,FAN-8
FBbt:00047981,larval mushroom body output neuron h2,MBON-h2,,FAN-8
FBbt:00047982,larval mushroom body output neuron i1,MBON-i1,,FAN-7
FBbt:00047983,larval mushroom body output neuron j1,MBON-j1,,FBN-1
FBbt:00047984,larval mushroom body output neuron j2,MBON-j2,,
FBbt:00047985,larval mushroom body output neuron k1,MBON-k1,,FAN-1 FAN-9 FAN-11
FBbt:00047988,larval mushroom body output neuron m1,MBON-m1,,FBN-19 FBN-21 FBN-22
FBbt:00047989,larval mushroom body output neuron n1,MBON-n1,,FAN-1
FBbt:00048243,larval mushroom body output neuron o1,MBON-o1,,FBN-16
FBbt:00047970,larval mushroom body output neuron p1,MBON-p1,,FBN-24 FBN-25 FBN-27 FAN-3
FBbt:00048244,larval mushroom body output neuron q1,MBON-q1,,
FBbt:00047758,larval maxillary VUM neuron 1,OAN-a1,FFN-35 FB2N-2,
FBbt:00047759,larval mandibular VUM neuron 1,OAN-a2,FFN-35 FB2N-2,
FBbt:00047973,larval mushroom body octopaminergic neuron e1,OAN-e1,,
FBbt:00047749,larval maxillary VPM neuron,OAN-g1,FFN-35 FAN-2 FB2N-20,
