Keys,Values
FBN,FBbt:00049003
FAN,FBbt:00049006
FB2N,FBbt:00049004
FFN,FBbt:00049005
MBIN,FBbt:00047956
DAN-f1,FBbt:00110339
MBIN-e2,FBbt:00110338
OAN-g1,FBbt:00047749
DAN-d1,FBbt:00110341
DAN-c1,FBbt:00110342
DAN-g1,FBbt:00110340
MBIN-b2,FBbt:00047959
MBIN-b1,FBbt:00047958
OAN-a2,FBbt:00047759
OAN-a1,FBbt:00047758
MBIN-l1,FBbt:00047968
MBIN-c1,FBbt:00047963
OAN-e1,FBbt:00047973
MBIN-e1,FBbt:00048242
MBIN-m1,FBbt:00047986
DAN-j1,FBbt:00111637
DAN-k1,FBbt:00111635
DAN-i1,FBbt:00111636
DAN-h1,FBbt:00111634
MBON,FBbt:00047954
MBON-d3,FBbt:00047990
MBON-q1,FBbt:00048244
MBON-o1,FBbt:00048243
MBON-d1,FBbt:00047969
MBON-c1,FBbt:00047967
MBON-a2,FBbt:00047966
MBON-a1,FBbt:00047965
MBON-c2,FBbt:00047964
MBON-b3,FBbt:00047962
MBON-b2,FBbt:00047961
MBON-b1,FBbt:00047960
MBON-g2,FBbt:00047977
MBON-g1,FBbt:00047976
MBON-f2,FBbt:00047974
MBON-f1,FBbt:00047975
MBON-e1,FBbt:00047972
MBON-d2,FBbt:00047971
MBON-p1,FBbt:00047970
MBON-n1,FBbt:00047989
MBON-m1,FBbt:00047988
MBON-e2,FBbt:00047987
MBON-k1,FBbt:00047985
MBON-j2,FBbt:00047984
MBON-j1,FBbt:00047983
MBON-i1,FBbt:00047982
MBON-h2,FBbt:00047981
MBON-h1,FBbt:00047980
APL,FBbt:00110979
ACh,GO:0014055
GABA,GO:0061534
Glu,GO:0061535
