Keys,Values
GABA,GO:0061534
Glutamate,GO:0061535
Acetylcholine,GO:0014055
Dopamine,GO:0061527
adBrain,FBbt:00003624
adLH,FBbt:00007053
LHLN,FBbt:00049285
LHON,FBbt:00049286
LHIN,FBbt:00049427
PNT,FBbt:00049287
LHN,FBbt:00048293
PV1,FBbt:00049288
PV2,FBbt:00049289
PV3,FBbt:00049290
PV4,FBbt:00049291
PV5,FBbt:00049292
PV6,FBbt:00049293
PV7,FBbt:00049294
PV8,FBbt:00049295
PV9,FBbt:00049296
PV10,FBbt:00049297
PV11,FBbt:00049298
AV1,FBbt:00049299
AV2,FBbt:00049300
AV3,FBbt:00049301
AV4,FBbt:00049302
AV5,FBbt:00049303
AV6,FBbt:00049304
AV7,FBbt:00049305
AD1,FBbt:00049306
AD2,FBbt:00049307
AD3,FBbt:00049308
AD4,FBbt:00049309
AD5,FBbt:00049310
PD1,FBbt:00049311
PD2,FBbt:00049312
PD3,FBbt:00049313
PD4,FBbt:00049314
PD5,FBbt:00049315
PD6,FBbt:00049316
PD7,FBbt:00049317
AD1a1,FBbt:00049318
AD1a2,FBbt:00049319
AD1a3,FBbt:00049320
AD1a4,FBbt:00049321
AD1b1,FBbt:00049322
AD1b2,FBbt:00049323
AD1c1,FBbt:00049324
AD1d1,FBbt:00049325
AD1f1,FBbt:00049326
AD2a1,FBbt:00049327
AD2b1,FBbt:00049328
AD3b1,FBbt:00049329
AD1e1,FBbt:00049330
AV1a1,FBbt:00049331
AV1a2,FBbt:00049332
AV1a3,FBbt:00049333
AV1a4,FBbt:00049334
AV1a5,FBbt:00049335
AV1b1,FBbt:00049336
AV2a1,FBbt:00049337
AV2a2,FBbt:00049338
AV2a3,FBbt:00049339
AV2a4,FBbt:00049340
AV2b1,FBbt:00049341
AV2b2,FBbt:00049342
AV2c1,FBbt:00049343
AV3a1,FBbt:00049344
AV4a1,FBbt:00049345
AV4a2,FBbt:00049346
AV4a3,FBbt:00049347
AV4a4,FBbt:00049348
AV4a5,FBbt:00049349
AV4b1,FBbt:00049350
AV4b2,FBbt:00049351
AV4b3,FBbt:00049352
AV4b4,FBbt:00049353
AV4b5,FBbt:00049354
AV4b8,FBbt:00049355
AV4c1,FBbt:00049356
AV4c2,FBbt:00049357
AV4c3,FBbt:00049358
AV4d1,FBbt:00049359
AV5a1,FBbt:00049360
AV5b1,FBbt:00049361
AV6a1,FBbt:00049362
AV6a2,FBbt:00049363
AV6b1,FBbt:00049364
AV6b3,FBbt:00049365
AV6c1,FBbt:00049366
AV7a1,FBbt:00049367
PD2a1,FBbt:00049368
PD2a2,FBbt:00049369
PD2a3,FBbt:00049370
PD2b1,FBbt:00049371
PD2c1,FBbt:00049372
PD2d1,FBbt:00049373
PD2f1,FBbt:00049374
PD3a1,FBbt:00049375
PD3a2,FBbt:00049376
PD4d1,FBbt:00049377
PD4e1,FBbt:00049378
PV2a1,FBbt:00049379
PV2b1,FBbt:00049380
PV2c1,FBbt:00049381
PV2d1,FBbt:00049382
PV3f1,FBbt:00049383
PV4a1,FBbt:00049384
PV4a2,FBbt:00049385
PV4a3,FBbt:00049386
PV4a4,FBbt:00049387
PV4a5,FBbt:00049388
PV4a6,FBbt:00049389
PV4a7,FBbt:00049390
PV4a8,FBbt:00049391
PV4a9,FBbt:00049392
PV4a10,FBbt:00049393
PV4a11,FBbt:00049394
PV4a12,FBbt:00049395
PV4b1,FBbt:00049396
PV4b2,FBbt:00049397
PV4b3,FBbt:00049398
PV4c1,FBbt:00049399
PV4c2,FBbt:00049400
PV4c3,FBbt:00049401
PV4d1,FBbt:00049402
PV4d2,FBbt:00049403
PV4d3,FBbt:00049404
PV4d4,FBbt:00049405
PV4f1,FBbt:00049406
PV5a1,FBbt:00049407
PV5a2,FBbt:00049408
PV5a3,FBbt:00049409
PV5b1,FBbt:00049410
PV5b2,FBbt:00049411
PV5b3,FBbt:00049412
PV5c1,FBbt:00049413
PV5c2,FBbt:00049414
PV5c3,FBbt:00049415
PV5d1,FBbt:00049416
PV5g1,FBbt:00049417
PV5g2,FBbt:00049418
PV5k1,FBbt:00049419
PV6a1,FBbt:00049420
PV6a3,FBbt:00049421
PV6c1,FBbt:00049422
PV9a1,FBbt:00049423
PV10c1,FBbt:00049424
PV4e1,FBbt:00049425
PV4e2,FBbt:00049426
PV12a1,FBbt:00049428
AL-lALT-PN5,FBbt:00049429
AL-lALT-PN6,FBbt:00049430
AL-lALT-PN7,FBbt:00049431
AL-mALT-PN10,FBbt:00049432
AL-mALT-PN11,FBbt:00049433
AL-mALT-PN5,FBbt:00049434
AL-mALT-PN6,FBbt:00049435
AL-mALT-PN7,FBbt:00049436
AL-mALT-PN8,FBbt:00049437
AL-mALT-PN9,FBbt:00049438
AL-t3ALT-PN2,FBbt:00049439
AL-t3ALT-PN3,FBbt:00049440
AL-t3ALT-PN4,FBbt:00049441
AMMC-PN1,FBbt:00049442
AVLP-PN1,FBbt:00049443
GNG-Central-PN1,FBbt:00049444
GNG-lALT-PN1,FBbt:00049445
GNG-mALT-PN1,FBbt:00049446
GNG-PN1,FBbt:00049447
GNG-t3ALT-PN1,FBbt:00049448
LO-PN1,FBbt:00049449
LO-PN2,FBbt:00049450
mAL-PN,FBbt:00049451
PLP-PN1,FBbt:00049452
VNC-PN1,FBbt:00049453
WED-PN1,FBbt:00049454
WED-PN2,FBbt:00049455
WED-PN3,FBbt:00049456
WED-PN4,FBbt:00049457
WED-PN5,FBbt:00049458
WED-PN6,FBbt:00049459
adNS,FBbt:00003559
AL,FBbt:00007401
AMMC,FBbt:00003982
AVLP,FBbt:00040043
GNG,FBbt:00014013
LO,FBbt:00003852
mAL,FBbt:00007401
PLP,FBbt:00040044
VNC,FBbt:00004052
WED,FBbt:00045027
lALT,FBbt:00003983
mALT,FBbt:00003985
t3ALT,FBbt:00111313
PV12,FBbt:00049459
