short,longname,type,neurotransmitter,number,xref,xref_cite,comment
AL-lALT-PN5,lateral antennal lobe tract projection neuron 5,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AL-lALT-PN6,lateral antennal lobe tract projection neuron 6,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AL-lALT-PN7,lateral antennal lobe tract projection neuron 7,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AL-mALT-PN10,medial antennal lobe tract projection neuron 10,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AL-mALT-PN11,medial antennal lobe tract projection neuron 11,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AL-mALT-PN5,medial antennal lobe tract projection neuron 5,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AL-mALT-PN6,medial antennal lobe tract projection neuron 6,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AL-mALT-PN7,medial antennal lobe tract projection neuron 7,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AL-mALT-PN8,medial antennal lobe tract projection neuron 8,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AL-mALT-PN9,medial antennal lobe tract projection neuron 9,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AL-t3ALT-PN2,transverse antennal lobe tract 3 projection neuron 2,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AL-t3ALT-PN3,transverse antennal lobe tract 3 projection neuron 3,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AL-t3ALT-PN4,transverse antennal lobe tract 3 projection neuron 4,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AMMC-PN1,,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AVLP-PN1,,LHIN,Acetylcholine | GABA,10.3333333333333,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
GNG-Central-PN1,,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
GNG-lALT-PN1,,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
GNG-mALT-PN1,,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
GNG-PN1,,LHIN,Acetylcholine,1.33333333333333,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
GNG-t3ALT-PN1,,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
LO-PN1,,LHIN,Acetylcholine,6.66,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
LO-PN2,,LHIN,Acetylcholine,3,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
mAL-PN,,LHIN,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
PLP-PN1,,LHIN,Acetylcholine,2.33333333333333,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
VNC-PN1,,LHIN,Acetylcholine,,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
WED-PN1,,LHIN,GABA,6.33333333333333,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
WED-PN2,,LHIN,Acetylcholine | GABA,5.33333333333333,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
WED-PN3,,LHIN,GABA,5.33333333333333,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
WED-PN4,,LHIN,Acetylcholine | GABA,7.33333333333333,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
WED-PN5,,LHIN,Acetylcholine | GABA,5.33333333333333,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
WED-PN6,,LHIN,GABA,3,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
