short,type,neurotransmitter,Jeanne_synonym,number,xref,xref_cite,comment
AD1a1,LHON,,L1/NA,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 6 neurons that belong to either the AD1a1 or AD1f1 types and some of these are cholinergic (Dolan et al., 2019)."
AD1a2,LHON,Acetylcholine,,5,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
AD1a3,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AD1a4,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AD1b1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AD1b2,LHON,Acetylcholine,ML2/ML3,11,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
AD1c1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AD1d1,LHON,Acetylcholine,,9.33,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
AD1f1,LHON,,L1/NA,,FlyBase:FBrf0242477,"(Dolan et al., 2019)","There are approximately 6 neurons that belong to either the AD1a1 or AD1f1 types and some of these are cholinergic (Dolan et al., 2019)."
AD2a1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AD2b1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AD3b1,LHON,Acetylcholine,,5,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
AD1e1,LHON,Acetylcholine,,5,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
AV1a1,LHON,Acetylcholine,V3,4.33333333333333,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
AV1a2,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV1a3,LHON,Acetylcholine | GABA,,5.66666666666667,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
AV1a4,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV1a5,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV1b1,LHLN,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV2a1,LHON,GABA,,,FlyBase:FBrf0242477,"(Dolan et al., 2019)","There are approximately 4 neurons that belong to either the AV2a1 or AV2a4 types and some of these are cholinergic (as well as GABAergic) (Dolan et al., 2019)."
AV2a2,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV2a3,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV2a4,LHON,GABA,,,FlyBase:FBrf0242477,"(Dolan et al., 2019)","There are approximately 4 neurons that belong to either the AV2a1 or AV2a4 types and some of these are cholinergic (as well as GABAergic) (Dolan et al., 2019)."
AV2b1,LHON,GABA,NA/V2,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 3 neurons that belong to either the AV2b1 or AV2b2 types and some of these are cholinergic (as well as GABAergic) (Dolan et al., 2019)."
AV2b2,LHON,GABA,NA/V2,,FlyBase:FBrf0242477,"(Dolan et al., 2019)","There are approximately 3 neurons that belong to either the AV2b1 or AV2b2 types and some of these are cholinergic (as well as GABAergic) (Dolan et al., 2019)."
AV2c1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV3a1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV4a1,LHLN,GABA,LHLN4,4.33333333333333,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
AV4a2,LHLN,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV4a3,LHLN,GABA,NA/LHLN1,,FlyBase:FBrf0242477,"(Dolan et al., 2019)","There are approximately 11 neurons that belong to either the AV3a3 or AV4a4 type (Dolan et al., 2019)."
AV4a4,LHLN,GABA,NA/LHLN1,,FlyBase:FBrf0242477,"(Dolan et al., 2019)","There are approximately 11 neurons that belong to either the AV3a3 or AV4a4 type (Dolan et al., 2019)."
AV4a5,LHLN,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV4b1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV4b2,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV4b3,LHON,GABA,,3.66666666666667,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
AV4b4,LHON,GABA,,7.33333333333333,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
AV4b5,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV4b8,LHON,GABA,,7.33333333333333,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
AV4c1,LHON,GABA,NA/LHLN7,,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)","There are approximately 9 neurons that belong to either the AV4c1 or AV4c2 types (Dolan et al., 2019)."
AV4c2,LHON,GABA,NA/LHLN7,,FlyBase:FBrf0242477,"(Dolan et al., 2019)","There are approximately 9 neurons that belong to either the AV4c1 or AV4c2 types (Dolan et al., 2019)."
AV4c3,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV4d1,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV5a1,LHON,GABA,,3,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
AV5b1,LHLN,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV6a1,LHON,Acetylcholine,L12,6.66666666666667,FlyBase:FBrf0242628 | FlyBase:FBrf0242477,"(Frechter et al., 2019; Dolan et al., 2019)",
AV6a2,LHON,,,,FlyBase:FBrf0242628,"(Frechter et al., 2019)",
AV6b1,LHON,GABA,,1,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
AV6b3,LHON,GABA,,5.66666666666667,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
AV6c1,LHON,Glutamate,,5,FlyBase:FBrf0242477,"(Dolan et al., 2019)",
