ID	CLASS_TYPE	RDF_Type	Name	Definition	Xref_def	created_by	creation_date	Synonym	syn_ref	PNT
ID	CLASS_TYPE	TYPE	A rdfs:label	A IAO:0000115	>A oboInOwl:hasDbXref	A oboInOwl:created_by	A oboInOwl:creation_date	A oboInOwl:hasExactSynonym	>A oboInOwl:hasDbXref	SC %
FBbt:00049287	subclass	owl:Class	posterior ventral primary neurite tract 1	Primary neurite tract of the posterior ventral brain in the first clockwise position (posterior perspective), from ventrolateral to dorsal to ventromedial, of tracts that enter the lateral horn (Frechter et al., 2019).	FlyBase:FBrf0242628	http://orcid.org/0000-0002-1373-1705	2020-05-01T12:00:00Z	PV1 primary neurite tract	FlyBase:FBrf0242628	FBbt:00048287
FBbt:00049288	subclass	owl:Class	posterior ventral primary neurite tract 2	Primary neurite tract of the posterior ventral brain in the second clockwise position (posterior perspective), from ventrolateral to dorsal to ventromedial, of tracts that enter the lateral horn (Frechter et al., 2019). Lateral horn neurons that enter the neuropil via this tract are predominantly local neurons (Frechter et al., 2019).	FlyBase:FBrf0242628	http://orcid.org/0000-0002-1373-1705	2020-05-01T12:00:00Z	PV2 primary neurite tract	FlyBase:FBrf0242628	FBbt:00048287
FBbt:00049289	subclass	owl:Class	posterior ventral primary neurite tract 3	Primary neurite tract of the posterior ventral brain in the third clockwise position (posterior perspective), from ventrolateral to dorsal to ventromedial, of tracts that enter the lateral horn (Frechter et al., 2019). Lateral horn neurons that enter the neuropil via this tract are predominantly output neurons (Frechter et al., 2019).	FlyBase:FBrf0242628	http://orcid.org/0000-0002-1373-1705	2020-05-01T12:00:00Z	PV3 primary neurite tract	FlyBase:FBrf0242628	FBbt:00048287
FBbt:00049290	subclass	owl:Class	posterior ventral primary neurite tract 4	Primary neurite tract of the posterior ventral brain in the fourth clockwise position (posterior perspective), from ventrolateral to dorsal to ventromedial, of tracts that enter the lateral horn (Frechter et al., 2019). Lateral horn neurons that enter the neuropil via this tract are predominantly local neurons (Frechter et al., 2019).	FlyBase:FBrf0242628	http://orcid.org/0000-0002-1373-1705	2020-05-01T12:00:00Z	PV4 primary neurite tract	FlyBase:FBrf0242628	FBbt:00048287
FBbt:00049291	subclass	owl:Class	posterior ventral primary neurite tract 5	Primary neurite tract of the posterior ventral brain in the fifth clockwise position (posterior perspective), from ventrolateral to dorsal to ventromedial, of tracts that enter the lateral horn (Frechter et al., 2019). Lateral horn neurons that enter the neuropil via this tract are predominantly output neurons (Frechter et al., 2019).	FlyBase:FBrf0242628	http://orcid.org/0000-0002-1373-1705	2020-05-01T12:00:00Z	PV5 primary neurite tract	FlyBase:FBrf0242628	FBbt:00048287
FBbt:00049292	subclass	owl:Class	posterior ventral primary neurite tract 6	Primary neurite tract of the posterior ventral brain in the sixth clockwise position (posterior perspective), from ventrolateral to dorsal to ventromedial, of tracts that enter the lateral horn (Frechter et al., 2019).	FlyBase:FBrf0242628	http://orcid.org/0000-0002-1373-1705	2020-05-01T12:00:00Z	PV6 primary neurite tract	FlyBase:FBrf0242628	FBbt:00048287
FBbt:00049293	subclass	owl:Class	posterior ventral primary neurite tract 7	Primary neurite tract of the posterior ventral brain in the seventh clockwise position (posterior perspective), from ventrolateral to dorsal to ventromedial, of tracts that enter the lateral horn (Frechter et al., 2019).	FlyBase:FBrf0242628	http://orcid.org/0000-0002-1373-1705	2020-05-01T12:00:00Z	PV7 primary neurite tract	FlyBase:FBrf0242628	FBbt:00048287
FBbt:00049294	subclass	owl:Class	posterior ventral primary neurite tract 8	Primary neurite tract of the posterior ventral brain in the eighth clockwise position (posterior perspective), from ventrolateral to dorsal to ventromedial, of tracts that enter the lateral horn (Frechter et al., 2019).	FlyBase:FBrf0242628	http://orcid.org/0000-0002-1373-1705	2020-05-01T12:00:00Z	PV8 primary neurite tract	FlyBase:FBrf0242628	FBbt:00048287
FBbt:00049295	subclass	owl:Class	posterior ventral primary neurite tract 9	Primary neurite tract of the posterior ventral brain in the ninth clockwise position (posterior perspective), from ventrolateral to dorsal to ventromedial, of tracts that enter the lateral horn (Frechter et al., 2019).	FlyBase:FBrf0242628	http://orcid.org/0000-0002-1373-1705	2020-05-01T12:00:00Z	PV9 primary neurite tract	FlyBase:FBrf0242628	FBbt:00048287
