Main_ID	Sub_IDs	Cell Type	MF	MT	Cell number (each hemisphere)	hetero	ascending	Segments covered in Fig. 3	response to MDN	Imaging line (Fig. 3)	2nd Imaging line (Supplementary Fig. 2)	MCFO line (Fig. 3)	SS lines (Fig. 4 and Supplementary Fig. 3)	Additional lines from imaging screen (data not shown)
		LBL40	1	MT315	1			T3	s	VT029570-GAL4		VT029570-GAL4	SS47938, SS46243, SS47921, SS51907, SS46253, SS51843	VT021418-LexA, VT006480-GAL4, VT007752-GAL4, 24A02-LexA, 75B10-LexA, 72A04-GAL4, 70E04-LexA, 36B06-GAL4, VT009849-LexA
		LUL24	2	MT317	1			T1, T2, T3	0, 0, s	28F07-LexA		28F07-GAL4	SS46730, SS51891, SS48376, SS51877, SS58000, SS57977	VT040713-GAL4, 23G01-LexA, VT004987-LexA, VT062633-GAL4 
		LUL55	3	MT316	~10			T1, T2, T3	0, 0, s	VT019902-GAL4		VT019902-GAL4	SS44255, SS44254, SS58006, SS36194	72D01-LexA
		LUL89	4		2			T1, T2, T3	0, 0, i	VT046303-GAL4	VT026669-LexA	VT046303-GAL4	SS47847, SS32496, SS47863	VT030345-GAL4 
		LBL34	5		1			T1, T2, T3	0, 0, w	VT008473-GAL4		VT008473-GAL4	SS59230, SS59229	75H07-LexA
		LBL57	6	MT309	1			T3	w	92G01-GAL4		92G01-GAL4	SS60585, SS66965, SS43697	VT009084-GAL4
		LBL60	7		1			T3	s	VT014974-GAL4		VT014974-GAL4		VT031566-GAL4
		LBL19	8		~10	1		T1, T2, T3	0, 0, i	VT043924-LexA	VT044964-LexA	VT043924-GAL4	SS33343, SS33542	55B08-GAL4, 67E07-GAL4
		LUL130	9	MT107|MT209|MT323	2			T1, T2, T3	n, w, s	VT062245-GAL4		VT062245-GAL4	SS50974, SS50975, SS57941, SS51817	VT024602-GAL4, VT021374-GAL4
		LUL173	10	MT105|MT212|MT320	1			T1, T2, T3	s, s, s	VT002075-GAL4		VT002075-GAL4	SS60234, SS60232	VT006555-LexA, VT007752-GAL4
		LUL141	11		~5			T1, T2, T3	s, s, s	VT021842-LexA		VT021842-GAL4	SS64190	VT009674-GAL4
		LBL9	12	MT104|MT213|MT319	~5			T1, T2, T3	w, w, w	VT038219-LexA		VT038219-GAL4	SS33510, SS50995	
		LBL52	13	MT109|MT208|MT325	~5	1		T1, T2, T3	s, s, w	73B05-LexA		SS27416 (73B05-AD; 42H01-DBD)	SS27416, SS35560	VT058873-GAL4, 19H11-GAL4
		LUL152	14		1			T1, T2, T3	w, w, i	VT002996-GAL4	70B03-LexA	VT002996-GAL4	SS58005, SS46258, SS58002, SS46229	VT008473-GAL4
		LBL22	15		1			T1, T3	i, i	VT019345-GAL4	VT048146-LexA	VT019345-GAL4	SS53903, SS53030, SS53029	
		LUI15	16	MT111|MT207	1			T1, T2	s, s	82F02-GAL4	VT030541-GAL4	82F02-GAL4	SS67324, SS67323, SS67423, SS46669, SS67472	81A06-LexA, VT014336-GAL4
		LBI32	17	MT307	1			T3	s	VT026669-LexA		VT026669-GAL4	SS64234, SS64172	VT044843-GAL4
		LUI14	18	MT208	1			T2	s	VT039419-GAL4		VT039419-GAL4	SS67907	
		LBI35	19	MT301	1			T3	s	VT056582-GAL4		VT056582-GAL4	SS38205, SS67878	
		LBI70	20	MT303	1			T3	s	VT000353-GAL4		VT000353-GAL4	SS67466	
		LBI65	21		~5	1		T1, T2, T3	0, 0, s	29G03-GAL4		29G03-GAL4	SS59225	74B06-LexA, VT031494-LexA 
		LBI60	22	MT201	1			T3	w	VT040713-GAL4		VT040713-GAL4	SS65713, SS67354, SS65706	92G01-GAL4
		LUI21	23	MT102	1			T1	s	19D12-GAL4		19D12-GAL4	SS64188, SS64225	22C03-GAL4
		LUI22	24	MT101|MT204	1			T1, T2	s, s	VT007722-GAL4		VT007722-GAL4	SS57939, SS63843, SS46233, SS57954, SS51895, SS57955	54G08-GAL4, VT029814-GAL4, VT014974-GAL4
		LBA22	25		1 or 2		1	T1, T2, T3	s, w, s	VT000254-GAL4		VT000254-GAL4	SS46300, SS44225, SS46225, SS59209, SS48718	59A01-LexA, 71B05-GAL4, 94E11-GAL4, 24A02-LexA, 75B10-LexA, VT027804-GAL4, 36B06-GAL4
		LBA23	26		1		1	T1	s	VT010555-GAL4		VT010555-GAL4		
		LBA72	27		1		1	T3	s	VT044492-LexA		VT044492-GAL4		
		LUA28	28	MTA05	1		1	T3	s	VT001497-GAL4		VT001497-GAL4	SS67463, SS62148	VT044492-LexA, VT049903-GAL4
		LBA68	29		1		1	T1, T2, T3	0, 0, s	VT056808-GAL4		VT056808-GAL4	SS64179, SS64214, SS64167	24B11-GAL4, 24A02-LexA, VT060202-LexA, 78A04-GAL4
		LUA18	30		1		1	T3	w	22C10-GAL4	VT048580-GAL4	22C10-GAL4		71C03-LexA 
		LBA73	31		1		1	T3	s	VT057467-GAL4		VT057467-GAL4	SS39036, 	VT063741-LexA 
		LUA27	32	MTA03	1		1	T3	s	VT002223-GAL4		VT002223-GAL4	SS64165, SS62883	VT004419-GAL4, 21E02-GAL4
		LUM9	33		~5		1	T1, T2, T3	w, w, s	SS50996		SS50996 (31H05-AD; VT011123-DBD)	SS53050, SS50996	VT065132-LexA, 31H05-LexA, 81A04-LexA, 81A06-LexA, 30B02-LexA, 73F02-GAL4, VT034804-LexA, VT024634-GAL4, 29E02-LexA 
