short_name	FBbt_id	nice_label
AL	FBbt:00007401	antennal lobe
LOB	FBbt:00003852	lobula
ICL	FBbt:00040049	inferior clamp
SCL	FBbt:00040048	superior clamp
CRE	FBbt:00045037	crepine
IB	FBbt:00040050	inferior bridge
BU	FBbt:00003682	bulb
LAL	FBbt:00003681	lateral accessory lobe
LH	FBbt:00007053	lateral horn
AMMC	FBbt:00003982	antennal mechanosensory and motor center
SMP	FBbt:00007055	superior medial protocerebrum
SIP	FBbt:00045032	superior intermediate protocerebrum
SLP	FBbt:00007054	superior lateral protocerbrum
AOTU	FBbt:00007059	anterior optic tubercle
PLP	FBbt:00040044	posterior lateral protocerebrum
AVLP	FBbt:00040043	anterior ventrolateral protocerebrum
WED	FBbt:00045027	wedge
PVLP	FBbt:00040042	posterior ventrolateral protocerebrum
IPS	FBbt:00045046	inferior posterior slope
SPS	FBbt:00045040	superior posterior slope
EPA	FBbt:00040040	epaulette 
CAN	FBbt:00045051	cantle
PRW	FBbt:00040051	prow
SAD	FBbt:00045048	saddle
GOR	FBbt:00040039	gorget
VES	FBbt:00040041	vest
FLA	FBbt:00045050	flange
GNG	FBbt:00014013	gnathal ganglion
Neck_Np	FBbt:00047173	neck neuropil
Wing_Np	FBbt:00047137	wing neuropil
Halt_Np	FBbt:00047138	haltere neuropil
Int_Tct	FBbt:00047519	intermediate tectulum
L_Tct	FBbt:00047174	lower tectulum
T1_Leg	FBbt:00047140	T1 leg neuropil
T2_Leg	FBbt:00047141	T2 leg neuropil
T3_Leg	FBbt:00047142	T3 leg neuropil
Abd	FBbt:00110173	abdominal neuromere
VAC	FBbt:00047175	ventral association center
