type	class	polarity	group	soma	dend	axon	dend_axon	laterality
amulet	p	p	1	aSEZ	CAN|SAD|FLA|GNG	ICL|SCL|SMP|SLP|GOR		b_e
aster	i	m	1	lSEZ			PRW|FLA|GNG	i_m
asteroid	l	m	4	vGG			GNG	b_i
balloon	l	m	2	vGG			GNG	b_c
bamboo	i	b	3	SEZ		PRW|GNG	AL	b_i
basket	p	p	6	lSEZ	GNG		IPS|SPS	b
bluebell	i	p	4	lSEZ			GNG	b_i
bluebird	i	p	5	lGG		VES|FLA|CAN|SPS	GNG	b
bobber	d_c	m	4	lSEZ		VAC	GNG	b_i
box	l	b	5	lSEZ			GNG	b_i
bract	d_i	b	4	vGG		T1_Leg	GNG	i
bridle	e	p	5	SEZ	CAN|PRW			b_e
brontosaraus	p	p	3	SEZ	GNG	AVLP		b_i
broom	i	p	5	lSEZ	IPS|SPS|LAL|EPA|SAD|GNG		VES	b_i
buddy	l	m	4	lSEZ			GNG	b_i
cantaloupe	l	m	2	SEZ			GNG	i_m
clavicle	l	b	3	SEZ			GNG	i_m
cleaver	l	b	3	lGG			GNG	i_m
clubround	i	m	1	lSEZ			PRW|GNG	b_i
clubround2	i	m	3	lSEZ			GNG|AL	i_m
cowboy	p	p	1	lSEZ	PRW	SMP		b_i
coy	i	m	5	vGG			GNG|FLA|VES|SAD	b_i
crab	p	p	3	SEZ	SAD|VES|GNG	ICL|SCL|IB|PLP		b_i
cradle	l	b	4	vGG			GNG	b_c
diatom	s	p	2	lab		GNG		b_e
doublescoop	l	m	1	lGG			GNG	b_e
earmuff	p	p	3	SEZ	SAD|VES|GNG	SCL|SLP		i
eiffel	p	b	1	vGG		SMP	SAD|FLA|GNG	b_i
fluff	l	m	2	GG			GNG	b_e
FMIn	l	b	4	vGG			GNG	i_m
fox	l	m	3	lSEZ			GNG	b_e
foxglove	i	p	4	lGG	PRW|FLA	VES|SAD|CAN|SPS	GNG	b_i
fudog	l	b	3	lSEZ			GNG	b_e
gallinule	p	b	1	vGG	PRW|GNG	SMP|CAN		i
gazebo	p	p	5	lSEZ	GNG|CAN|SAD	PLP|IB|ICL|SCL		b_c
genie	d_c	b	4	lSEZ		T1_Leg	GNG	b_e
gnome	i	m	3	SEZ			GNG|FLA	i_m
good dog	i	p	5	vGG	SAD	IPS	GNG|VES	b_i
gumdrop	d_c	b	5	vGG		Abd	GNG|FLA|PRW	b_e
handle	i	p	4	vGG			GNG	b_i
haystack	l	m	2	lGG			GNG	b_e
homer	i	b	3	lSEZ			GNG|FLA|PRW	i_m
horn	i	m	5	vGG			GNG|VES|SAD	b_e
horntail	i	p	5	vGG		VES|FLA|SAD	GNG	b_e
horseshoe	i	m	1	aSEZ			PRW|FLA	i
horseshoe2	i	p	1	aSEZ			PRW|FLA	b_e
hound	l	m	2	GG			GNG	b_e
hyacinth	i	m	1	lSEZ			PRW|FLA	b_e
hydrangea	p	m	1	lSEZ		ICL|SMP	PRW|FLA|GNG	b_c
indigo	l	m	2	GG			GNG	i_m
justice	i	b	3	vGG			GNG|FLA	b_c
kelp	p	b	1	lSEZ	GNG	SMP	PRW|FLA	b_i
kitty	l	m	2	vGG			GNG	b_c
knees	i	p	6	lSEZ	GNG|SAD|IPS	Neck_Np|Wing_Np		i
kokopelli	i	b	5	vGG	VES|IPS		GNG	b_i
kubo	i	m	5	SEZ			GNG|FLA|SAD	b_e
landslide	p	p	5	vGG	GNG	LOB		i
lion	l	m	6	lSEZ			GNG	b_i
loch ness	l	m	4	vGG			GNG	b_c
mandala	p	p	5	lSEZ	GNG|CAN|SAD	SPS|PLP|IB|ICL|LOB		b_c
marge	l	m	3	lSEZ			GNG	i
mesa	d_c	p	4	lGG		T1_Leg|Int_Tct	GNG	b_i
meteor	p	m	3	vGG			AVLP|PVLP|EPA|VES|FLA|GNG	b_c
mime	i	m	3	vGG			GNG|FLA	i_m
mist	l	m	2	SEZ			GNG	b
moor	l	b	4	vGG			GNG	b_c
mute	d_c	p	5	GG	FLA|PRW	Neck_Np|Halt_Np|Abd	GNG	b_e
nagini	d_c	p	5	GG	FLA|GNG			b_c
nori	l	b	2	lSEZ			GNG	i_m
oink	i	m	1	aSEZ			PRW|GNG	i
oinkT	l	m	2	lGG			GNG	b
oval	d_c	p	5	lSEZ		T1_Leg|T2_Leg|T3_Leg	GNG	b_e
peacock	p	p	3	SEZ	GNG	SMP		i_m
peafowl	p	p	3	SEZ	GNG	LH|SLP|SIP|SMP		i_m
peahen	p	p	3	SEZ	GNG|PRW	LH|SLP		i_m
peep	e	p	1	aSEZ	PRW			i
phantom	i	p	3	lGG			GNG	b_i
planter	i	b	6	lSEZ	IPS		GNG	i
pleco	l	b	4	SEZ			GNG	b_e
pringle	l	m	3	lSEZ			GNG	b_c
puddle	l	m	2	lSEZ			GNG	b_i
rattle	l	b	2	vGG			GNG	i_m
rocket	i	p	6	lSEZ	GNG|IPS		SPS	b_i
rose	i	m	5	vGG			GNG|SAD|AMMC|AVLP|WED	b_e
roundup	i	p	4	GG			GNG	b_i
ruby	i	p	6	lSEZ	IPS|SPS|GNG			i
shark	e	p	6	GG	GNG			b_i
sink	d_i	m	4	vGG		T1_Leg	GNG	i_m
snail	d_c	p	4	lGG		T1_Leg|Neck_Np	GNG	b_e
snake	d_c	p	5	lSEZ		Neck_Np	GNG	b_i
spray	i	m	5	vGG			GNG|FLA|VES|SAD	b_i
sullivan	p	p	3	lGG	GNG	SCL|LH|SLP|AVLP		b_e
sundrop	i	p	5	vGG	VES|FLA|SAD		GNG	b_c
sync	i	p	4	lGG			GNG	b_i
tentacular	l	m	4	GG			GNG	i
tinctoria	l	m	2	SEZ			GNG	b_e
tophat	p	p	3	SEZ	PRW|FLA|GNG	SCL|SLP|PLP		b_i
TPN4	p	p	3	vGG	AL	LH|PLP		b_e
trident	i	b	6	vGG		SPS|CAN	GNG|IPS	b_e
trogon	p	p	1	vGG	PRW|FLA|GNG	SMP		b_i
trumpet	i	m	5	SEZ			GNG|FLA|PRW	b_i
tulip	i	b	1	vGG	FLA	GNG	PRW	b_e
tundra	l	m	4	vGG			GNG	b_i
turner	p	p	3	SEZ	FLA|GNG	ICL|SCL|SLP|PLP		i_m
twirl	i	m	5	vGG			GNG|FLA|VES|SAD	b_e
usnea	l	b	3	lGG			GNG	b_i
vice	i	b	3	SEZ		GNG	VES	i
vixen	l	m	2	lSEZ			GNG	b_e
wafflecone	l	m	2	lSEZ			GNG	i_m
weaver	p	p	6	lSEZ	IPS|CAN	ICL|PLP	SPS	b
web	d_c	b	5	vGG		T1_Leg|T2_Leg|T3_Leg|Abd	GNG	b_e
whisker	l	b	2	vGG			GNG	b_c
