FBbt_ID	parent_ID	cell_type	MF	MT	cell_number	hetero	ascending	Segments	response to MDN	Imaging line (Fig. 3)	2nd Imaging line (Supplementary Fig. 2)	MCFO line (Fig. 3)	SS lines (Fig. 4 and Supplementary Fig. 3)	Additional lines from imaging screen (data not shown)
FBbt:00051089		LBL40	1	MT315	1			T3	s	VT029570-GAL4		VT029570-GAL4	SS47938, SS46243, SS47921, SS51907, SS46253, SS51843	VT021418-LexA, VT006480-GAL4, VT007752-GAL4, 24A02-LexA, 75B10-LexA, 72A04-GAL4, 70E04-LexA, 36B06-GAL4, VT009849-LexA
FBbt:00051090		LUL24	2	MT317	1			T1, T2, T3	0, 0, s	28F07-LexA		28F07-GAL4	SS46730, SS51891, SS48376, SS51877, SS58000, SS57977	VT040713-GAL4, 23G01-LexA, VT004987-LexA, VT062633-GAL4 
FBbt:00051091		LUL55	3	MT316	~10			T1, T2, T3	0, 0, s	VT019902-GAL4		VT019902-GAL4	SS44255, SS44254, SS58006, SS36194	72D01-LexA
FBbt:00051092		LUL89	4		2			T1, T2, T3	0, 0, i	VT046303-GAL4	VT026669-LexA	VT046303-GAL4	SS47847, SS32496, SS47863	VT030345-GAL4 
FBbt:00051093		LBL34	5		1			T1, T2, T3	0, 0, w	VT008473-GAL4		VT008473-GAL4	SS59230, SS59229	75H07-LexA
FBbt:00051094		LBL57	6	MT309	1			T3	w	92G01-GAL4		92G01-GAL4	SS60585, SS66965, SS43697	VT009084-GAL4
FBbt:00051095		LBL60	7		1			T3	s	VT014974-GAL4		VT014974-GAL4		VT031566-GAL4
FBbt:00051096		LBL19	8		~10	1		T1, T2, T3	0, 0, i	VT043924-LexA	VT044964-LexA	VT043924-GAL4	SS33343, SS33542	55B08-GAL4, 67E07-GAL4
FBbt:00051097		LUL130	9	MT107|MT209|MT323	2			T1, T2, T3	n, w, s	VT062245-GAL4		VT062245-GAL4	SS50974, SS50975, SS57941, SS51817	VT024602-GAL4, VT021374-GAL4
FBbt:00051098		LUL173	10	MT105|MT212|MT320	1			T1, T2, T3	s, s, s	VT002075-GAL4		VT002075-GAL4	SS60234, SS60232	VT006555-LexA, VT007752-GAL4
FBbt:00051099		LUL141	11		~5			T1, T2, T3	s, s, s	VT021842-LexA		VT021842-GAL4	SS64190	VT009674-GAL4
FBbt:00051100		LBL9	12	MT104|MT213|MT319	~5			T1, T2, T3	w, w, w	VT038219-LexA		VT038219-GAL4	SS33510, SS50995	
FBbt:00051101		LBL52	13	MT109|MT208|MT325	~5	1		T1, T2, T3	s, s, w	73B05-LexA		SS27416 (73B05-AD; 42H01-DBD)	SS27416, SS35560	VT058873-GAL4, 19H11-GAL4
FBbt:00051102		LUL152	14		1			T1, T2, T3	w, w, i	VT002996-GAL4	70B03-LexA	VT002996-GAL4	SS58005, SS46258, SS58002, SS46229	VT008473-GAL4
FBbt:00051103		LBL22	15		1			T1, T3	i, i	VT019345-GAL4	VT048146-LexA	VT019345-GAL4	SS53903, SS53030, SS53029	
FBbt:00051104		LUI15	16	MT111|MT207	1			T1, T2	s, s	82F02-GAL4	VT030541-GAL4	82F02-GAL4	SS67324, SS67323, SS67423, SS46669, SS67472	81A06-LexA, VT014336-GAL4
FBbt:00051105		LBI32	17	MT307	1			T3	s	VT026669-LexA		VT026669-GAL4	SS64234, SS64172	VT044843-GAL4
FBbt:00051106		LUI14	18	MT208	1			T2	s	VT039419-GAL4		VT039419-GAL4	SS67907	
FBbt:00051107		LBI35	19	MT301	1			T3	s	VT056582-GAL4		VT056582-GAL4	SS38205, SS67878	
FBbt:00051108		LBI70	20	MT303	1			T3	s	VT000353-GAL4		VT000353-GAL4	SS67466	
FBbt:00051109		LBI65	21		~5	1		T1, T2, T3	0, 0, s	29G03-GAL4		29G03-GAL4	SS59225	74B06-LexA, VT031494-LexA 
FBbt:00051110		LBI60	22	MT201	1			T3	w	VT040713-GAL4		VT040713-GAL4	SS65713, SS67354, SS65706	92G01-GAL4
FBbt:00051111		LUI21	23	MT102	1			T1	s	19D12-GAL4		19D12-GAL4	SS64188, SS64225	22C03-GAL4
FBbt:00051112		LUI22	24	MT101|MT204	1			T1, T2	s, s	VT007722-GAL4		VT007722-GAL4	SS57939, SS63843, SS46233, SS57954, SS51895, SS57955	54G08-GAL4, VT029814-GAL4, VT014974-GAL4
FBbt:00051113		LBA22	25		1 or 2		1	T1, T2, T3	s, w, s	VT000254-GAL4		VT000254-GAL4	SS46300, SS44225, SS46225, SS59209, SS48718	59A01-LexA, 71B05-GAL4, 94E11-GAL4, 24A02-LexA, 75B10-LexA, VT027804-GAL4, 36B06-GAL4
FBbt:00051114		LBA23	26		1		1	T1	s	VT010555-GAL4		VT010555-GAL4		
FBbt:00051115		LBA72	27		1		1	T3	s	VT044492-LexA		VT044492-GAL4		
FBbt:00051116		LUA28	28	MTA05	1		1	T3	s	VT001497-GAL4		VT001497-GAL4	SS67463, SS62148	VT044492-LexA, VT049903-GAL4
FBbt:00051117		LBA68	29		1		1	T1, T2, T3	0, 0, s	VT056808-GAL4		VT056808-GAL4	SS64179, SS64214, SS64167	24B11-GAL4, 24A02-LexA, VT060202-LexA, 78A04-GAL4
FBbt:00051118		LUA18	30		1		1	T3	w	22C10-GAL4	VT048580-GAL4	22C10-GAL4		71C03-LexA 
FBbt:00051119		LBA73	31		1		1	T3	s	VT057467-GAL4		VT057467-GAL4	SS39036, 	VT063741-LexA 
FBbt:00051120		LUA27	32	MTA03	1		1	T3	s	VT002223-GAL4		VT002223-GAL4	SS64165, SS62883	VT004419-GAL4, 21E02-GAL4
FBbt:00051121		LUM9	33		~5			T1, T2, T3	w, w, s	SS50996		SS50996 (31H05-AD; VT011123-DBD)	SS53050, SS50996	VT065132-LexA, 31H05-LexA, 81A04-LexA, 81A06-LexA, 30B02-LexA, 73F02-GAL4, VT034804-LexA, VT024634-GAL4, 29E02-LexA 
FBbt:00051122	FBbt:00051090	LUL24			1			T1	0, 0, s	28F07-LexA		28F07-GAL4	SS46730, SS51891, SS48376, SS51877, SS58000, SS57977	VT040713-GAL4, 23G01-LexA, VT004987-LexA, VT062633-GAL4 
FBbt:00051123	FBbt:00051091	LUL55			~10			T1	0, 0, s	VT019902-GAL4		VT019902-GAL4	SS44255, SS44254, SS58006, SS36194	72D01-LexA
FBbt:00051124	FBbt:00051092	LUL89			2			T1	0, 0, i	VT046303-GAL4	VT026669-LexA	VT046303-GAL4	SS47847, SS32496, SS47863	VT030345-GAL4 
FBbt:00051125	FBbt:00051093	LBL34			1			T1	0, 0, w	VT008473-GAL4		VT008473-GAL4	SS59230, SS59229	75H07-LexA
FBbt:00051126	FBbt:00051096	LBL19			~10	1		T1	0, 0, i	VT043924-LexA	VT044964-LexA	VT043924-GAL4	SS33343, SS33542	55B08-GAL4, 67E07-GAL4
FBbt:00051127	FBbt:00051097	LUL130		MT107	2			T1	n, w, s	VT062245-GAL4		VT062245-GAL4	SS50974, SS50975, SS57941, SS51817	VT024602-GAL4, VT021374-GAL4
FBbt:00051128	FBbt:00051098	LUL173		MT105	1			T1	s, s, s	VT002075-GAL4		VT002075-GAL4	SS60234, SS60232	VT006555-LexA, VT007752-GAL4
FBbt:00051129	FBbt:00051099	LUL141			~5			T1	s, s, s	VT021842-LexA		VT021842-GAL4	SS64190	VT009674-GAL4
FBbt:00051130	FBbt:00051100	LBL9		MT104	~5			T1	w, w, w	VT038219-LexA		VT038219-GAL4	SS33510, SS50995	
FBbt:00051131	FBbt:00051101	LBL52		MT109	~5	1		T1	s, s, w	73B05-LexA		SS27416 (73B05-AD; 42H01-DBD)	SS27416, SS35560	VT058873-GAL4, 19H11-GAL4
FBbt:00051132	FBbt:00051102	LUL152			1			T1	w, w, i	VT002996-GAL4	70B03-LexA	VT002996-GAL4	SS58005, SS46258, SS58002, SS46229	VT008473-GAL4
FBbt:00051133	FBbt:00051103	LBL22			1			T1	i, i	VT019345-GAL4	VT048146-LexA	VT019345-GAL4	SS53903, SS53030, SS53029	
FBbt:00051134	FBbt:00051104	LUI15		MT111	1			T1	s, s	82F02-GAL4	VT030541-GAL4	82F02-GAL4	SS67324, SS67323, SS67423, SS46669, SS67472	81A06-LexA, VT014336-GAL4
FBbt:00051135	FBbt:00051109	LBI65			~5	1		T1	0, 0, s	29G03-GAL4		29G03-GAL4	SS59225	74B06-LexA, VT031494-LexA 
FBbt:00051136	FBbt:00051112	LUI22		MT101	1			T1	s, s	VT007722-GAL4		VT007722-GAL4	SS57939, SS63843, SS46233, SS57954, SS51895, SS57955	54G08-GAL4, VT029814-GAL4, VT014974-GAL4
FBbt:00051137	FBbt:00051113	LBA22			1 or 2			T1	s, w, s	VT000254-GAL4		VT000254-GAL4	SS46300, SS44225, SS46225, SS59209, SS48718	59A01-LexA, 71B05-GAL4, 94E11-GAL4, 24A02-LexA, 75B10-LexA, VT027804-GAL4, 36B06-GAL4
FBbt:00051138	FBbt:00051117	LBA68			1			T1	0, 0, s	VT056808-GAL4		VT056808-GAL4	SS64179, SS64214, SS64167	24B11-GAL4, 24A02-LexA, VT060202-LexA, 78A04-GAL4
FBbt:00051139	FBbt:00051121	LUM9			~5			T1	w, w, s	SS50996		SS50996 (31H05-AD; VT011123-DBD)	SS53050, SS50996	VT065132-LexA, 31H05-LexA, 81A04-LexA, 81A06-LexA, 30B02-LexA, 73F02-GAL4, VT034804-LexA, VT024634-GAL4, 29E02-LexA 
FBbt:00051140	FBbt:00051090	LUL24			1			T2	0, 0, s	28F07-LexA		28F07-GAL4	SS46730, SS51891, SS48376, SS51877, SS58000, SS57977	VT040713-GAL4, 23G01-LexA, VT004987-LexA, VT062633-GAL4 
FBbt:00051141	FBbt:00051091	LUL55			~10			T2	0, 0, s	VT019902-GAL4		VT019902-GAL4	SS44255, SS44254, SS58006, SS36194	72D01-LexA
FBbt:00051142	FBbt:00051092	LUL89			2			T2	0, 0, i	VT046303-GAL4	VT026669-LexA	VT046303-GAL4	SS47847, SS32496, SS47863	VT030345-GAL4 
FBbt:00051143	FBbt:00051093	LBL34			1			T2	0, 0, w	VT008473-GAL4		VT008473-GAL4	SS59230, SS59229	75H07-LexA
FBbt:00051144	FBbt:00051096	LBL19			~10	1		T2	0, 0, i	VT043924-LexA	VT044964-LexA	VT043924-GAL4	SS33343, SS33542	55B08-GAL4, 67E07-GAL4
FBbt:00051145	FBbt:00051097	LUL130		MT209	2			T2	n, w, s	VT062245-GAL4		VT062245-GAL4	SS50974, SS50975, SS57941, SS51817	VT024602-GAL4, VT021374-GAL4
FBbt:00051146	FBbt:00051098	LUL173		MT212	1			T2	s, s, s	VT002075-GAL4		VT002075-GAL4	SS60234, SS60232	VT006555-LexA, VT007752-GAL4
FBbt:00051147	FBbt:00051099	LUL141			~5			T2	s, s, s	VT021842-LexA		VT021842-GAL4	SS64190	VT009674-GAL4
FBbt:00051148	FBbt:00051100	LBL9		MT213	~5			T2	w, w, w	VT038219-LexA		VT038219-GAL4	SS33510, SS50995	
FBbt:00051149	FBbt:00051101	LBL52		MT208	~5	1		T2	s, s, w	73B05-LexA		SS27416 (73B05-AD; 42H01-DBD)	SS27416, SS35560	VT058873-GAL4, 19H11-GAL4
