FBbt_ID	cell_type	cell_number	soma_loc	hemilineage	N	iT1	lT1	L1	X	W	iT2	lT2	L2	H	iT3	L3	A	Ext	Seg	Specific lines	Other lines	other names in Drosophila	orthologous cells with visualized morphology	Calliphora erythrocephala, Manduca sexta, Bombyx mori
FBbt:00052878	C2BI001	1	2avm	7B T2		-a		-A		d-	Aa	Ma	D-						+	SS52392	SS49784			
FBbt:00052879	C2BI002	1	2avm	7B T2		-a				d-	Aa	Ma	D-						+		SS49784			
FBbt:00052880	C2BI003	1	2avm	7B T2		-a				-a	dm	mm	M-						+	SS52392	SS41039, SS49784			
FBbt:00052881	C2BI004	2	2avm	7B T2	DA	da		d-		d-	D-	d-		DA					+	SS28361				
FBbt:00052882	C2BI005	1	2avm	7B T2	D-	Da	-a	d-		p-	MA	-A	M-							SS42475, SS60603	SS42499, SS46735			
FBbt:00052883	C2BI006	1	2avm	7B T2		-A				d-	-A	dd	D-		-a	-a			+	SS42464, SS52392	SS31290			
FBbt:00052884	C2BI007	1	2avm	7B T2		-a				-a	-A	d-	D-	-a	-a	-a	-a		+	SS42464				
FBbt:00052885	C2BI008	1	2avm	7B T2		-a				Aa	aA	a-	D-	-a	-a	-a	-a		+	SS31289, SS31290				
FBbt:00052886	C2BI009	1	2avm	7B T2		-A				Aa	AA	a-	D-	aa	-a	-a	-a		+	SS31289, SS42464	SS31290, SS46735, SS49784			
FBbt:00052887	C2BI010	1	2avm	7B T2		-A					AA	a-	D-	-a	-a	-a	-a		+	SS31290, SS52392				
FBbt:00052888	C2BL001	1	2vma	0A T2					mm	mm	MM	MM								SS36094				
FBbt:00052889	C2BL002	1	2vma	0A T2					mm	mm	MM	MM								SS36094				
FBbt:00052890	HBI001	2	3adl	18B T3	a-					AA	AA			DD	-D	DD	dd		+	SS49777				
FBbt:00052891	HBI002	1	3adl	emb						-a	-a		-A	-A	-a	DA			+	SS49777				
FBbt:00052892	HBI003	1	3adm	emb						-a	-A		-A	-A	d-	mA			+		SS42499, SS43979			
FBbt:00052893	HBI004		3avl	8B T3	-A									Ma	d-				+	SS47214		n-cHIN (14)	n-cHIN (Calliphora 15)	
FBbt:00052894	HBI005		3avl	8B T3	-A									DA					+	SS47215		n-cHIN (14)	n-cHIN (Calliphora 15)	
FBbt:00052895	HBI006		3avl	8B T3	-A									D-					+	SS44002, SS47214	SS47215	n-cHIN (14)	n-cHIN (Calliphora 15)	
FBbt:00052896	HBI007		3avm	8B T3	-A									D-					+	SS47214, SS47215	SS47204	n-cHIN (14)	n-cHIN (Calliphora 15)	
FBbt:00052897	HBI008	1	3avl	8B T3						-a	-A			D-					+	SS49853		w-cHIN (14)	w-cHIN (Calliphora 16)	
FBbt:00052898	HBI009	1	3avl	8B T3						-A	-A			D-					+	SS47215		w-cHIN (14)	w-cHIN (Calliphora 16)	
FBbt:00052899	HBI010	1	3avl	8B T3						-A	-a			MA					+	SS49853		w-cHIN (14)	w-cHIN (Calliphora 16)	
FBbt:00052900	HBI011	2	3avm	8B T3						-A				M-					+		SS29535	w-cHIN (14)	w-cHIN (Calliphora 16)	
FBbt:00052901	HBI012	2	3avm	8B T3						-A				D-		d-			+		SS29535	w-cHIN (14)	w-cHIN (Calliphora 16)	
FBbt:00052902	HBI013	3	3pvm	6A T3	-A					da	-A			MA					+	SS44276				
FBbt:00052903	HBI014	3	3adl	19B T3	-A					-M	Da			Da					+	SS31246				
FBbt:00052904	HBI015	2	3adm	abd						-A				D-		da	da		+	SS30816, SS32377	SS37274, SS42050, SS42493			
FBbt:00052905	HBI016	4	3adm	abd						-A				DA		da	da		+	SS42050				
FBbt:00052906	HBI017	1	3pvm	3B T2						-A				D-					+	SS49806		w-cHIN (14)		
FBbt:00052907	HBI018	1	3pvm	3B T2						-A				D-					+	SS29602		w-cHIN (14)		
FBbt:00052908	HBI019	1	3pdl	3B T2						-A				D-					+	SS29602, SS47215	SS48221	w-cHIN (14)		
FBbt:00052909	HBI020	1	3pdl	3B T2						dA	d-			D-					+	SS29602	SS44054	w-cHIN (14)		
FBbt:00052910	HBL001	4	3pvm	6B T3										MM					+	SS45611				
FBbt:00052911	HUI001	1	3adm	17A T3						a-	M-			D-		D-	d-		+	SS51531				
FBbt:00052912	HUI002	1	3adm	17A T3						Aa	M-			D-		D-	d-		+	SS48709	SS46735			
FBbt:00052913	HUI003	2	3adm	17A T3						A-	P-			D-		D-	d-		+	SS51531	SS46260, SS46735			
FBbt:00052914	HUI004	1	3adm	17A T3						a-	M-			D-		D-	d-		+	SS46260, SS48709				
FBbt:00052915	HUI005	1	3adm	17A T3						A-				P-		D-	d-		+	SS46735, SS48709	SS46260			
FBbt:00052916	HUL001	1	3avm	2A T3										P-	D-	M-	M-			SS54506	SS41041			
FBbt:00052917	HUL002	2	3avm	2A T3							D-		d-	P-	P-	a-				SS25502	SS44314			
FBbt:00052918	HUL003	1	3avm	2A T3							d-			P-						SS54506				
FBbt:00052919	HUL004	1	3avm	2A T3										P-						SS54506				
FBbt:00052920	HUL005	1	3avm	2A T3							d-			P-		d-				SS25502, SS54506	SS31472			
FBbt:00052921	HUL006	1	3avm	2A T3										P-		d-				SS25502				
FBbt:00052922	HUL007	1	3avm	2A T3							d-			M-						SS54506				
FBbt:00052923	HUL008	1	3avm	2A T3							m-			P-						SS54506				
FBbt:00052924	HUL009	1	3avm	2A T3							m-			M-						SS54506				
FBbt:00052925	HUL010	1	3pdl	3B T3										M-		d-	d-			SS49125				
FBbt:00052926	HUL011		3avm	16A T3										M-		m-				SS25500, SS31274				
FBbt:00052927	HUL012	3	3pvl	16A T3										M-		m-				SS25500, SS25478	SS31274			
FBbt:00052928	NBI001		2avm	7B T2	d-	Md		d-		m-	MD	da		d-	d-				+	SS60603				
FBbt:00052929	NBI002	2	2avm	7B T2	Da			d-		dA	da			-A					+	SS31899				
FBbt:00052930	NBI003	1	1pvm	6A T1	DA			d-						-A					+	SS30330, SS32400	SS54480			
FBbt:00052931	NBI004	1	1pvm	6A T1	DA			d-						-A					+	SS30330, SS54480	SS32400, SS54474			
FBbt:00052932	NBI005	1	1pvm	6A T1	DA	-a					-a			-a					+	SS49807				
FBbt:00052933	NBI006	1	1pvm	6A T1	DA									-A					+	SS54495	SS54474			
FBbt:00052934	NBI007	1	1pvl	6A T1	DA						-a			-A					+	SS54480	SS31309, SS54474, SS54495			
FBbt:00052935	NBI008	1	1pvm	6B T1	DD	DM				dP	-A			-A					+		SS25553, SS54495			
FBbt:00052936	NBI009	1	1pvm	6B T1	DD						-A			-A					+		SS25553, SS54495			
FBbt:00052937	NBI010	1	1pvm	6A T1	Da	d-				-a	-a			-A					+	SS42079				
FBbt:00052938	NBI011	1	1pvm	6A T1	D-	d-				-a	-a			-A					+	SS42079				
FBbt:00052939	NBI012	1	1pvl	6A T1	D-	d-					-a			-A					+	SS42079				
FBbt:00052940	NUI001	5	1pvm	6B T1	-D	-a				-m	-A			-A					+	SS54480, SS54495				
FBbt:00052941	NUI002	5	1pdl	11B T1	D-	m-		m-		P-	P-			A-					+	SS48619				
FBbt:00052942	NUL001	5	1avm	2A T1	P-																SS44314			
FBbt:00052943	WBI001	1	2pdm	19B T2	da	d-				DA	Da			dA			-a		+	SS25521, SS37984	SS33437, SS40764			
FBbt:00052944	WBI002	1	2pdm	19B T2	ma	d-			d-	MA	Ma			mA			-a		+	SS25521, SS33437	SS40764, SS40782			
FBbt:00052945	WBI003	1	2pvm	6A T2						Ma	MA			-A					+		SS40980, SS45385			
FBbt:00052946	WBI004	1	2avm	6A T2	-a					Ma	Ma			da					+		SS45385			
FBbt:00052947	WBI005	1	2avm	6A T2	-m	-m				Dm	MM	mm		d-					+	SS42446	SS48204			
FBbt:00052948	WBI006	1	2avm	6A T2	-a					Mm	MM	d-		d-					+	SS42446	SS48204			
FBbt:00052949	WBI007	1	2pvm	6A T2	-M	-m				Ma	Mm			M-					+	SS42446	SS45385, SS48204			
FBbt:00052950	WBI008	1	2pvm	6A T2	-a	-a				MA	DA			d-					+		SS48204			
FBbt:00052951	WBI009	1	2avm	6A T2	-a	-a				DA	DA			dA					+	SS42446	SS48311			
FBbt:00052952	WBI010	1	2pvl	6A T2	-A	-a				da	MA			m-					+		SS45385, SS48204			
FBbt:00052953	WBI011	1	2pvl	6A T2	-a					-M	DA			da					+		SS25553, SS45385, SS48204			
FBbt:00052954	WBI012	1	2avm	7B T2						Da	DA			-A					+		SS42499			
FBbt:00052955	WBI013	1	2adl	17A T2				d-	d-	MM	Md										SS42438	dMS2 (12)		
FBbt:00052956	WBI014		2avm	0A T1		DD				MM	DD									SS46295				
FBbt:00052957	WBI015	3	1pvl	3B T1	m-	M-				M-	Mm			m-						SS49779				
FBbt:00052958	WBI016	2	1pvl	3B T1	m-	dd				Pp	d-			aa			aa			SS49779, SS51830				
FBbt:00052959	WBI017	1	1pdl	11B T1	md					MM	D-			AA					+	SS49802				
FBbt:00052960	WBI018	2	2adl	11B T2						D-				AA					+	SS44005, SS44051	SS31259, SS44003, SS47219, SS47222			
FBbt:00052961	WBI019	2	2pdm	11B T2						MD				AA					+	SS31259, SS44051	SS40969, SS44002, SS47222, SS48221			
FBbt:00052962	WBI020		3adl	19B T3						-A				D-			d-		+		SS40969			
FBbt:00052963	WBI021	3	Aadl	abd	a-					Mm				M-					+	SS29600, SS29871				
FBbt:00052964	WBL001	1	2adl	18B T2						-a	m-	Mm	MM						+	SS45607, SS45830	SS40782			
FBbt:00052965	WBL002	1	2adl	18B T2						M-	M-	M-	MM						+	SS45830, SS45843				
FBbt:00052966	WBL003	1	2adl	18B T2						M-	Mm	M-	MM						+	SS45843, SS42465				
