cell_type	laterality	AVLP	PVLP	WED	PLP	SCL	ICL	SAD	GOR	IPS	SLP	SIP	SPS	AMMC	FB	GNG	LH	LAL	EPA	SMP	VES	IB	MB-PED	CRE	MB-VL	MB-ML	ATL	AOTU	AL	MB-CA	BU	CAN	ME	AME	LO	PB	FLA	function
A2	neurites	1	1	1	1			1		1				1		1					1								1									pulse
AVLP_pr01	ipsi	1	1	1																																		sine
AVLP_pr02	axon	1	1	1								1					1																					sine
AVLP_pr03	axon	1	1	1		1						1																										none
AVLP_pr04	neurites	1	1		1		1		1																													pulse
AVLP_pr05	ipsi	1	1	1	1	1											1			1										1								both
AVLP_pr06	ipsi	1		1	1																																	none
AVLP_pr07	ipsi	1																																				infrequent
AVLP_pr08	ipsi	1																																				none
AVLP_pr09	axon	1	1				1								1																							none
AVLP_pr10	axon	1	1			1	1		1		1				1																							infrequent
AVLP_pr11	neurites	1	1	1	1	1	1		1	1	1								1			1																both
AVLP_pr12	axon	1	1			1	1		1		1	1			1				1												1							pulse
AVLP_pr13	ipsi	1																																				none
AVLP_pr14	ipsi	1		1	1																																	infrequent
AVLP_pr15	axon	1	1		1	1									1																							none
AVLP_pr16	axon	1	1		1	1	1		1		1				1																							none
AVLP_pr17	ipsi	1	1																																			none
AVLP_pr18	axon	1	1		1	1	1		1		1				1																							pulse
AVLP_pr19	ipsi	1																																				none
AVLP_pr20	axon	1	1	1	1	1		1		1					1								1															none
AVLP_pr21	ipsi	1																																				infrequent
AVLP_pr22	axon	1	1			1	1				1	1			1		1						1															sine
AVLP_pr23		1	1	1				1						1		1																						both
AVLP_pr24	axon	1	1	1	1	1	1		1			1			1				1																			pulse
AVLP_pr25	axon	1	1	1				1						1		1			1																			none
AVLP_pr26	ipsi	1	1	1																																		infrequent
AVLP_pr27	ipsi	1	1	1							1																											none
AVLP_pr28	ipsi	1	1	1				1																														none
AVLP_pr29	axon	1	1	1		1					1	1																										none
AVLP_pr30	ipsi	1	1		1		1		1			1	1						1	1		1																infrequent
AVLP_pr31	axon	1	1			1					1	1																										sine
AVLP_pr32	axon	1	1			1	1				1	1			1								1															sine
AVLP_pr33	ipsi	1	1		1						1	1						1		1				1	1	1		1										none
AVLP_pr34	ipsi	1	1																																			none
AVLP_pr35	ipsi	1	1	1	1	1	1						1										1															both
AVLP_pr36	axon	1	1		1	1	1		1			1			1			1	1												1							pulse
AVLP_pr37	ipsi	1	1																																			infrequent
AVLP_pr38	ipsi	1	1																																			infrequent
AVLP/PVLP_pr01	axon	1	1	1	1		1		1				1	1			1					1																pulse
B1	axon	1	1	1	1			1		1			1	1							1								1									pulse
B2	axon			1				1		1				1		1					1											1					1	both
GNG_pr01	axon	1	1	1	1					1			1			1																	1	1	1			sine
IB_pr01	axon	1	1		1	1	1		1		1		1		1					1		1					1											infrequent
IC/SPS_pr01	neurites	1	1	1			1	1	1				1			1					1	1										1						none
IPS_pr01	ipsi			1	1			1		1				1			1																					both
IPS_pr02	neurites			1	1			1		1						1																						both
IPS_pr03	ipsi			1	1					1			1					1									1									1		none
IPS/WED_pr01	ipsi			1				1		1								1																				sine
PLP_pr01	axon		1	1	1				1	1			1				1	1			1			1														none
PLP_pr02	ipsi	1	1	1	1		1						1																									none
PVLP_pr01	ipsi	1	1		1	1	1						1																									infrequent
PVLP_pr02	axon	1	1		1	1	1		1				1																									none
PVLP_pr03	axon	1	1	1	1			1	1				1	1					1																			both
PVLP_pr04		1	1	1	1			1		1						1																						none
SAD_pr01	axon			1				1						1		1																						both
SAD_pr02	ipsi	1	1	1				1		1				1		1																						sine
SAD/AMMC_pr01	ipsi			1				1						1																								infrequent
SIP_pr01	ipsi	1	1		1	1	1					1						1	1	1				1	1	1		1										none
SLP_pr01	axon	1	1								1	1					1								1													none
SMP_pr01	ipsi	1	1		1	1	1		1		1	1					1	1		1				1		1												none
WED_pr01	axon	1		1	1	1		1		1							1			1							1			1								sine
WED_pr02	ipsi	1	1	1				1		1				1																								both
WED_pr03	ipsi	1	1	1	1			1		1			1			1		1			1																	none
WED-VLP	ipsi	1	1	1																																		both
