type_name	FBbt_id
AVLP_pr03	FBbt:00053426
AVLP_pr06	FBbt:00053427
AVLP_pr07	FBbt:00053428
AVLP_pr08	FBbt:00053429
AVLP_pr09	FBbt:00053430
AVLP_pr10	FBbt:00053431
AVLP_pr13	FBbt:00053432
AVLP_pr14	FBbt:00053433
AVLP_pr15	FBbt:00053434
AVLP_pr16	FBbt:00053435
AVLP_pr17	FBbt:00053436
AVLP_pr18	FBbt:00053437
AVLP_pr19	FBbt:00053438
AVLP_pr20	FBbt:00053439
AVLP_pr21	FBbt:00053440
AVLP_pr24	FBbt:00053441
AVLP_pr25	FBbt:00053442
AVLP_pr26	FBbt:00053443
AVLP_pr27	FBbt:00053444
AVLP_pr28	FBbt:00053445
AVLP_pr29	FBbt:00053446
AVLP_pr30	FBbt:00053447
AVLP_pr33	FBbt:00053448
AVLP_pr34	FBbt:00053449
AVLP_pr37	FBbt:00053450
AVLP_pr38	FBbt:00053451
IB_pr01	FBbt:00053452
IC/SPS_pr01	FBbt:00053453
IPS_pr03	FBbt:00053454
PLP_pr01	FBbt:00053455
PLP_pr02	FBbt:00053456
PVLP_pr02	FBbt:00053457
PVLP_pr04	FBbt:00053458
SAD/AMMC_pr01	FBbt:00053459
SIP_pr01	FBbt:00053460
SLP_pr01	FBbt:00053461
SMP_pr01	FBbt:00053462
WED_pr03	FBbt:00053463
