region	FBbt_id	FBbt_name
AL	FBbt:00007401	adult antennal lobe
AME	FBbt:00045003	accessory medulla
AMMC	FBbt:00003982	antennal mechanosensory and motor center
AOTU	FBbt:00007059	anterior optic tubercle
ATL	FBbt:00045039	antler
AVLP	FBbt:00040043	anterior ventrolateral protocerebrum
BU	FBbt:00003682	bulb
CAN	FBbt:00045051	cantle
CRE	FBbt:00045037	adult crepine
EPA	FBbt:00040040	epaulette
FB	FBbt:00003679	fan-shaped body
FLA	FBbt:00045050	flange
GNG	FBbt:00014013	adult gnathal ganglion
GOR	FBbt:00040039	gorget
IB	FBbt:00040050	inferior bridge
ICL	FBbt:00040049	inferior clamp
IPS	FBbt:00045046	inferior posterior slope
LAL	FBbt:00003681	adult lateral accessory lobe
LH	FBbt:00007053	adult lateral horn
LO	FBbt:00003852	lobula
MB-CA	FBbt:00007385	calyx of adult mushroom body
MB-ML	FBbt:00007677	medial lobe of adult mushroom body
MB-PED	FBbt:00007453	pedunculus of adult mushroom body
MB-VL	FBbt:00015407	vertical lobe of adult mushroom body
ME	FBbt:00003748	medulla
PB	FBbt:00003668	protocerebral bridge
PLP	FBbt:00040044	posterior lateral protocerebrum
PVLP	FBbt:00040042	posterior ventrolateral protocerebrum
SAD	FBbt:00045048	saddle
SCL	FBbt:00040048	superior clamp
SIP	FBbt:00045032	superior intermediate protocerebrum
SLP	FBbt:00007054	superior lateral protocerebrum
SMP	FBbt:00007055	superior medial protocerebrum
SPS	FBbt:00045040	superior posterior slope
VES	FBbt:00040041	vest
WED	FBbt:00045027	wedge
