root_id,UMAP1,UMAP2,root_626,supervoxel_id,position,side,region,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,super_cluster,cns_network
720575941350890544,-20.94200799961507,5.442002880629642,720575941350890544,75930418192571296,"113735, 77212, 2348",left,neck_connective,descending,LB7,NA,NA,DNge110,DNge110,DNut054,flight steering 1,CNS_01
720575941351919408,22.29751111964763,28.340716946181395,720575941351919408,76212442992290124,"122863, 92500, 2640",right,neck_connective,ascending,08B,NA,NA,AN08B018,AN_AVLP_43,AN08B018,proprioceptive,CNS_05
720575941352057904,-36.624648075298644,9.572756397780521,720575941352057904,76001336826984143,"115532, 92500, 2930",left,neck_connective,descending,PSp2,NA,NA,DNpe054,DNpe054,auto:DNg18,flight steering 1,CNS_01
720575941352918576,19.88085653285563,-21.522190463486574,720575941352918576,76070605657109640,"117219, 60253, 1475",left,neck_connective,descending,MX3,NA,NA,DNg70,DNg70,DNxn180,visceral control,CNS_03
720575941352944432,21.215292949481608,21.98258744483862,720575941352944432,76001336692322290,"116656, 92500, 2523",right,neck_connective,ascending,17B,NA,NA,AN17B007,AN_AVLP_SAD_3,AN17B007,proprioceptive,CNS_05
720575941353080624,-9.687459926800127,-14.403657329026123,720575941353080624,76353180480521113,"125421, 92500, 2757",right,neck_connective,descending,putative_primary,NA,NA,DNge036,DNge036,DNfl042,probing,CNS_06
720575941353112112,-15.992299061016436,18.519763577040774,720575941353112112,76215054802336830,"121307, 171003, 4451",left,neck_connective,ascending,07B,NA,NA,AN07B046,AN_GNG_179,AN07B046,flight steering 2,CNS_01
720575941442616271,22.748682994647623,-18.558639895859613,720575941442616271,76142074247911449,"120314, 92500, 2571",right,neck_connective,ascending,09B,NA,NA,AN09B018_c,AN_GNG_71,AN09B018,feeding,CNS_06
720575941353247536,19.88544942836344,11.540380108412842,720575941353247536,76145098106309278,"120419, 183555, 3359",right,neck_connective,ascending,10B,NA,NA,AN10B046,AN_GNG_165,AN10B046,proprioceptive,CNS_02
720575941484160954,-27.253205280498857,11.049768078383547,720575941484160954,75930968082581389,"114375, 92500, 2854",left,neck_connective,ascending,07B,NA,NA,AN07B085,AN_GNG_175,AN07B085,flight steering 1,CNS_01
