Line	FBbt_ID	Baker_name	Other_name	main_regions	other_regions	neurotransmitter	laterality	Auditory	EM	Song_type	notes
SS16374	FBbt:00052092	AVLP_pr01		AVLP		G	U	A	Y	S	distinct from vpoINs
SS21914	FBbt:00052093	non-dopaminergic AVLP_pr04		AVLP		N	U	A	Y	P	no projection towards midline
SS21914	FBbt:00052094	dopaminergic AVLP_pr04		AVLP		D	U	A	Y	P	projection towards midline
SS29136	FBbt:00052095	AVLP_pr11		AVLP	PVLP,ICL	C	N	A	Y	SP	including only cells depicted in EM - not more ventral seen in light/MCFO
SS29146	FBbt:00052096	AVLP_pr12		AVLP	ICL,SIP	C	B	A	Y	P	not including more ventrally-projecting cell seen in MCFO, not represented in fig 2
SS37007	FBbt:00052097	AVLP_pr22		AVLP		C	B	A	Y	S	no MCFO
SS41728	FBbt:00052098	AVLP_pr31		AVLP		C	B	A	Y	S	similar to pr32, but commisural
SS41730	FBbt:00052099	AVLP_pr32		AVLP		C	U	A	Y	S	similar to pr31, but non-commisural
SS45858	FBbt:00052100	AVLP_pr35		AVLP		G	U	A	Y	SP	
SS47261	FBbt:00052101	AVLP_pr36		AVLP		C	N	A	Y	P	some commissural, some not, similar morphology
SS35996	FBbt:00052102	AVLP/PVLP_pr01		AVLP,PVLP		C	B	A	Y	P	not including medially-arborising cell from MCFO not represented in fig 2
SS36007	FBbt:00052103	GNG_pr01		GNG	PVLP	G	B	A	Y	S	
SS36012	FBbt:00052104	IPS_pr02		IPS		G	B	A	Y	SP	not including dorsally-arborising cell from MCFO, not represented in fig 2
SS40303	FBbt:00052105	IPS/WED_pr01		IPS,WED		G	U	A	Y	S	only including pink cell from MCFO, others not represented in fig 2
SS40316	FBbt:00052106	PVLP_pr03		PVLP	AVLP	G	B	A	Y	SP	appears to have subtypes - some project more medially, some more laterally
SS41739	FBbt:00052107	SAD_pr01		SAD		N	B	A	Y	SP	
SS43299	FBbt:00052108	SAD_pr02		SAD	WED	N	U	A	Y	S	not including dorsal cell from MCFO, not represented in fig 2
SS27936	FBbt:00052109	WED_pr01		WED	PLP	C	B	A	Y	S	
SS35916	FBbt:00052110	WED_pr02		WED	SAD	G	U	A	Y	SP	
SS35473			A2 (Lai et al., 2012)					A	Y	P	
SS27885		AVLP_pr02	aSP8/aSP-k					A	Y	S	
SS38918		AVLP_pr23	AV2 (Clemens et al., 2015)					A	Y	SP	
SS23281		AVLP_pr05	AVLP-PN1 (Dolan et al., 2019)					A	Y	SP	
SS36978			B1 (Kamikouchi et al., 2009; Lai et al., 2012) / aPN1 (Vaughan et al., 2014)					A	Y	P	
SS38981			B2 (Kamikouchi et al., 2009; Tootoonian et al., 2012)					A	Y	SP	
SS27932		IPS_pr01	WED-PN1 (Dolan et al., 2019)					A	Y	SP	
SS27919			WED-VLP (Dorkenwald et al., 2020) / IVLP-VLP (Lai et al., 2012)					A	Y	SP	
SS35502		AVLP_pr18		AVLP		N	N	A	N	P	appears to have subtypes
SS40354		AVLP_pr24		AVLP		N	N	A	N	P	may have subtypes, but similar
SS27880		AVLP_pr07		AVLP				I			
SS28822		AVLP_pr10		AVLP				I			
SS35456		AVLP_pr14		AVLP				I			
SS36960		AVLP_pr21		AVLP				I			
SS40366		AVLP_pr26		AVLP	PVLP			I			
SS41685		AVLP_pr30		AVLP	PVLP,SPS			I			
SS47509		AVLP_pr37		AVLP				I			
SS49115		AVLP_pr38		AVLP	PVLP			I			
SS44510		IB_pr01		IB	AVLP,GOR,SMP			I			
SS36521		PVLP_pr01		PVLP	PLP			I			
SS43321		SAD/AMMC_pr01		AMMC				I			
SS17963		AVLP_pr03		AVLP				N			
SS23627		AVLP_pr06		AVLP				N			
SS27883		AVLP_pr08		AVLP				N			
SS27953		AVLP_pr09		AVLP				N			
SS35318		AVLP_pr13		AVLP				N			
SS35471		AVLP_pr15		AVLP	PVLP			N			
SS35484		AVLP_pr16		AVLP	PVLP			N			
SS35489		AVLP_pr17		AVLP	PVLP			N			
SS35944		AVLP_pr19		AVLP	PVLP,WED			N			
SS36541		AVLP_pr20		AVLP				N			
SS40361		AVLP_pr25		AVLP				N			
SS41342		AVLP_pr27		AVLP				N			
SS41376		AVLP_pr28		AVLP	PVLP			N			
SS41378		AVLP_pr29		AVLP				N			
SS43460		AVLP_pr33		AVLP	PVLP			N			
SS44818		AVLP_pr34		AVLP				N			
SS35920		IC/SPS_pr01		ICL,SPS	AVLP,PVLP,SAD,GOR,GNG			N			
SS38958		IPS_pr03		IPS	SPS,PB			N			
SS35504		PLP_pr01		PLP	LAL			N			
SS41704		PLP_pr02		PLP	PVLP			N			
SS38928		PVLP_pr02		PVLP	AVLP,ICL			N			
SS47537		PVLP_pr04		PVLP	AVLP,WED			N			
SS36971		SIP_pr01		SIP	AVLP,PVLP,SMP,AOTU			N			
SS35488		SLP_pr01		SLP	AVLP			N			
SS43466		SMP_pr01		SMP	AVLP			N			
SS47517		WED_pr03		WED	AVLP,PVLP,SAD			N			
