DNa01	FBbt:00047572
DNa02	FBbt:00047573
DNa03	FBbt:00047574
DNa04	FBbt:00047575
DNa05	FBbt:00047576
DNa06	FBbt:00047577
DNa07	FBbt:00047578
DNa08	FBbt:00047579
DNa09	FBbt:00047580
DNa10	FBbt:00047581
DNb01	FBbt:00047582
DNb02	FBbt:00047583
DNb03	FBbt:00047584
DNb04	FBbt:00047585
DNb05	FBbt:00047586
DNb06	FBbt:00047587
DNc01	FBbt:00047588
DNc02	FBbt:00047589
DNd01	FBbt:00047590
DNd02	FBbt:00047591
DNd03	FBbt:00047592
DNg01	FBbt:00047593
DNg02	FBbt:00047594
DNg03	FBbt:00047595
DNg04	FBbt:00047596
DNg05	FBbt:00047597
DNg06	FBbt:00047598
DNg07	FBbt:00047599
DNg08	FBbt:00047600
DNg09	FBbt:00047601
DNg10	FBbt:00047602
DNg11	FBbt:00047603
DNg12	FBbt:00047604
DNg13	FBbt:00047605
DNg14	FBbt:00047606
DNg15	FBbt:00047607
DNg16	FBbt:00047608
DNg17	FBbt:00047609
DNg18	FBbt:00047610
DNg19	FBbt:00047611
DNg20	FBbt:00047612
DNg21	FBbt:00047613
DNg22	FBbt:00047614
DNg23	FBbt:00047615
DNg24	FBbt:00047616
DNg25	FBbt:00047617
DNg26	FBbt:00047618
DNg27	FBbt:00047619
DNg28	FBbt:00047620
DNg29	FBbt:00047621
DNg30	FBbt:00047622
DNg31	FBbt:00047623
DNg32	FBbt:00047624
DNg33	FBbt:00047625
DNg34	FBbt:00047626
DNg35	FBbt:00047627
DNg36	FBbt:00047628
DNg37	FBbt:00047629
DNg38	FBbt:00047630
DNg39	FBbt:00047631
DNg40	FBbt:00047632
DNg41	FBbt:00047633
DNp01	FBbt:00047634
DNp02	FBbt:00047635
DNp03	FBbt:00047636
DNp04	FBbt:00047637
DNp05	FBbt:00047638
DNp06	FBbt:00047639
DNp07	FBbt:00047640
DNp08	FBbt:00047641
DNp09	FBbt:00047642
DNp10	FBbt:00047643
DNp11	FBbt:00047644
DNp12	FBbt:00047645
DNp13	FBbt:00047646
DNp14	FBbt:00047647
DNp15	FBbt:00047648
DNp16	FBbt:00047649
DNp17	FBbt:00047650
DNp18	FBbt:00047651
DNp19	FBbt:00047652
DNp20	FBbt:00047653
DNp21	FBbt:00047654
DNp22	FBbt:00047655
DNp23	FBbt:00047656
DNp24	FBbt:00047657
DNp25	FBbt:00047658
DNp26	FBbt:00047659
DNp27	FBbt:00047660
DNp28	FBbt:00047661
DNp29	FBbt:00047662
DNp30	FBbt:00047663
DNp31	FBbt:00047664
DNp32	FBbt:00047665
DNp33	FBbt:00047666
DNp34	FBbt:00047667
DNp35	FBbt:00047668
DNx01	FBbt:00047669
