short,Group,max_cells,crossing_midline,Descending_side,antennal lobe,medulla,accessory medulla,lobula plate,lobula,calyx,pedunclus,medial lobe,vertical lobe,MB_ACA,elliipsoid body,fan-shaped body,nodulus,protocerebral bridge,antler,inferior clamp,superior clamp,crepine,inferior bridge,bulb,lateral accessory lobe,lateral horn,cantle,flange,prow,saddle,AMMC,superior medial protocerebrum,superior intermediate protocerebrum,superior lateral protocerbrum,optic tubercle,posterior lateral protocerebrum,anterior ventrolateral protocerebrum,wedge,posterior ventrolateral protocerebrum,inferior posterior slope,superior posterior slope,epaulette ,gorget,vest,GNG,Neck neuropil,Wing neuropil,Haltere neuropil,Tectulum,Ovoid,Abdomenal segment,T1 leg neuropil,T2 leg neuropil,T3 leg neuropil,T1 Ventral association center,T2 Ventral association center,T3 Ventral association center,Wing sensory neuropil,T1 median ventral association center,T2 median ventral association center,T3 median ventral association center,DLT,MDA,MTD,ITD,VLT,DLV,VTV,ventral route
DNa01,DNa,2,N,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DNa02,DNa,1,N,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,3,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DNa03,DNa,1,N,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DNa04,DNa,1,N,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DNa05,DNa,1,N,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DNa06,DNa,1,N,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DNa07,DNa,1,N,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DNa08,DNa,1,N,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DNa09,DNa,1,Y,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DNa10,DNa,1,Y,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,3,1,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
