FBbt_id	cell_type	synonym	creation_date	asserted_parents	notes
FBbt:20003865	CB0004		2024-02-05T12:00:00Z		
FBbt:20003866	CB0005		2024-02-05T12:00:00Z		
FBbt:20003867	CB0007		2024-02-05T12:00:00Z		
FBbt:20003869	CB0009		2024-02-05T12:00:00Z		
FBbt:20003870	CB0010		2024-02-05T12:00:00Z		
FBbt:20003871	CB0011		2024-02-05T12:00:00Z		
FBbt:20003872	CB0013		2024-02-05T12:00:00Z		
FBbt:20003873	CB0014		2024-02-05T12:00:00Z		
FBbt:20003874	CB0015		2024-02-05T12:00:00Z		
FBbt:20003875	CB0016		2024-02-05T12:00:00Z		
FBbt:20003876	CB0017		2024-02-05T12:00:00Z	FBbt:00051898	Shiu et al. (2024) - FBrf0260565
FBbt:20003877	CB0018		2024-02-05T12:00:00Z		
FBbt:20003878	CB0019		2024-02-05T12:00:00Z		
FBbt:20003879	CB0020		2024-02-05T12:00:00Z		
FBbt:20003880	CB0021		2024-02-05T12:00:00Z		
FBbt:20003881	CB0022		2024-02-05T12:00:00Z		
FBbt:20003882	CB0023		2024-02-05T12:00:00Z		
FBbt:20003883	CB0024		2024-02-05T12:00:00Z		
FBbt:20003884	CB0025		2024-02-05T12:00:00Z		
FBbt:20003885	CB0026		2024-02-05T12:00:00Z		
FBbt:20003886	CB0027		2024-02-05T12:00:00Z		
FBbt:20003887	CB0029		2024-02-05T12:00:00Z		
FBbt:20003888	CB0030		2024-02-05T12:00:00Z		
FBbt:20003889	CB0031		2024-02-05T12:00:00Z		
FBbt:20003890	CB0032		2024-02-05T12:00:00Z		
FBbt:20003891	CB0033		2024-02-05T12:00:00Z		
FBbt:20003892	CB0034		2024-02-05T12:00:00Z		
FBbt:20003893	CB0035		2024-02-05T12:00:00Z		
FBbt:20003894	CB0036		2024-02-05T12:00:00Z		
FBbt:20003896	CB0039		2024-02-05T12:00:00Z		
FBbt:20003897	CB0040		2024-02-05T12:00:00Z		
FBbt:20003898	CB0041		2024-02-05T12:00:00Z	FBbt:00051898	Shiu et al. (2024) - FBrf0260565
FBbt:20003900	CB0046		2024-02-05T12:00:00Z		
FBbt:20003901	CB0047		2024-02-05T12:00:00Z		
FBbt:20003902	CB0048		2024-02-05T12:00:00Z		
FBbt:20003903	CB0049		2024-02-05T12:00:00Z		
FBbt:20003904	CB0050		2024-02-05T12:00:00Z		
FBbt:20003905	CB0051	sternum	2024-02-05T12:00:00Z		Shiu et al. (2024) - FBrf0260565
FBbt:20003906	CB0053		2024-02-05T12:00:00Z		
FBbt:20003907	CB0055		2024-02-05T12:00:00Z		
FBbt:20003908	CB0056		2024-02-05T12:00:00Z		
FBbt:20003909	CB0057		2024-02-05T12:00:00Z		
FBbt:20003910	CB0058		2024-02-05T12:00:00Z		
FBbt:20003911	CB0059		2024-02-05T12:00:00Z		
FBbt:20003912	CB0060		2024-02-05T12:00:00Z		
FBbt:20003913	CB0061		2024-02-05T12:00:00Z		
FBbt:20003915	CB0064		2024-02-05T12:00:00Z		
FBbt:20003916	CB0065		2024-02-05T12:00:00Z		
FBbt:20003917	CB0066		2024-02-05T12:00:00Z		
