ito_lee_hemilineage	hartenstein_hemilineage	NB_id	NB_name	notes
LHp1	BLP3_or_4	FBbt:00100628	neuroblast BLP4	check - currently LHp1 merged to BLP4
SMPad1	DAMv1_or_2	FBbt:00049463	neuroblast SMPad1	check - no current merge
SMPad2	DAMd2_or_3	FBbt:00050201	neuroblast SMPad2	check - no current merge
CLp1	DPLc4	FBbt:00100598	neuroblast DPLc4	
CLp2	CP4	FBbt:00100611	neuroblast CP4	
CREa1_dorsal	BAmd1_dorsal	FBbt:00100551	neuroblast BAmd1	
CREa1_ventral	BAmd1_ventral	FBbt:00100551	neuroblast BAmd1	
FLAa1	BAla4	FBbt:00100560	neuroblast BAla4	
LHa3	BLVa2	FBbt:00100631	neuroblast BLVa2	
LHd2	DPLm2	FBbt:00100606	neuroblast DPLm2	
PSp2	CM5	FBbt:00100571	neuroblast CM5	
SLPa&l1_anterior	BLAvm_medial	FBbt:00100619	neuroblast BLAvm	
SLPa&l1_lateral	BLAvm_posterior	FBbt:00100619	neuroblast BLAvm	
SLPav1_lateral	BLAl1_lateral	FBbt:00100618	neuroblast BLAl	
SLPav1_medial	BLAl1_medial	FBbt:00100618	neuroblast BLAl	
SLPav2	BLD2	FBbt:00100621	neuroblast BLD2	
SLPp&v1_posterior	DPLp2_anterior	FBbt:00100604	neuroblast DPLp2	
SLPp&v1_ventral	DPLp2_medial_ventral	FBbt:00100604	neuroblast DPLp2	
SLPpm2	DPLc2	FBbt:00100596	neuroblast DPLc2	
SMPad3	DAMd1	FBbt:00100540	neuroblast DAMd1	
SMPp&v1_posterior	DPLc5_anterior	FBbt:00100599	neuroblast DPLc5	
SMPp&v1_ventral	DPLc5_posterior	FBbt:00100599	neuroblast DPLc5	
VLPa1_lateral	DALl2_lateral	FBbt:00049159	neuroblast DALl2	
VLPa1_medial	DALl2_medial	FBbt:00049159	neuroblast DALl2	
VLPa2	DALv1	FBbt:00100543	neuroblast DALv1	
VLPd1	DPLam	FBbt:00100590	neuroblast DPLam	
VLPl4_anterior	BLD3_anterior	FBbt:00100622	neuroblast BLD3	
VLPl4_dorsal	BLD3_dorsal	FBbt:00100622	neuroblast BLD3	
VLPp2	DPMpl3	FBbt:00100579	neuroblast DPMpl3	
VPNp&v1_posterior	BLP1_posterior	FBbt:00100625	neuroblast BLP1	
VPNp&v1_ventral	BLP1_ventral	FBbt:00100625	neuroblast BLP1	
WEDd2	BAmd2	FBbt:00100735	neuroblast BAmd2	
CREl1	DALv3	FBbt:00100645	neuroblast DALv3	
LALa1_anterior	BAlp2_anterior	FBbt:00100564	neuroblast BAlp2	
LALa1_posterior	BAlp2_posterior	FBbt:00100564	neuroblast BAlp2	
LHl3	BLVa2b	FBbt:00050255	neuroblast LHl3	
PSp1	DPMl2	FBbt:00050213	neuroblast PSp1	
SLPal5	BLAd5	FBbt:00050175	neuroblast SLPal5	
SLPpl2	CP6	FBbt:00050068	neuroblast SLPpl2	
SLPpl3	BLVa2c	FBbt:00050006	neuroblast SLPpl3	
SMPpd2	DPLc6	FBbt:00110374	neuroblast SMPpd2	
SMPpm1	DPMm2	FBbt:00100584	neuroblast DPMm2	
PBp1	CM6	FBbt:00050169	neuroblast PBp1	
LHp3	CP5	FBbt:00052820	neuroblast CP5	
DM5_central	CM1_central	FBbt:00050059	neuroblast DM5	
DM5_ventral	CM1_ventral	FBbt:00050059	neuroblast DM5	
DM6__prim	CM3__prim	FBbt:00050142	neuroblast DM6	
DM6_central1	CM3_central1	FBbt:00050142	neuroblast DM6	
DM6_central2	CM3_central2	FBbt:00050142	neuroblast DM6	
DM6_dorso_lateral	CM3_dorso_lateral	FBbt:00050142	neuroblast DM6	
DM6_dorso_medial	CM3_dorso_medial	FBbt:00050142	neuroblast DM6	
DM6_IbSpsP	CM3_IbSpsP	FBbt:00050142	neuroblast DM6	
DM6_posterior	CM3_posterior	FBbt:00050142	neuroblast DM6	
DM6_ventral	CM3_ventral	FBbt:00050142	neuroblast DM6	
PSa1	BAmv2	FBbt:00100553	neuroblast BAmv2	
VESa2	BAlp1	FBbt:00100563	neuroblast BAlp1	
VPNl&d1_dorsal	BLAl2_dorsal	FBbt:00050012	neuroblast VPNl&d1	
VPNl&d1_lateral	BLAl2_lateral	FBbt:00050012	neuroblast VPNl&d1	
VPNl&d1_medial_Lee	BLAl2_medial_Lee	FBbt:00050012	neuroblast VPNl&d1	
ALad1	BAmv3	FBbt:00067346	neuroblast ALad1	
ALad1__prim	BAmv3__prim	FBbt:00067346	neuroblast ALad1	
ALl1_dorsal	BAlc_dorsal	FBbt:00067347	neuroblast ALl1	
ALl1_ventral	BAlc_ventral	FBbt:00067347	neuroblast ALl1	
ALlv1	BAlp4	FBbt:00050038	neuroblast ALlv1	
ALv1	BAla1	FBbt:00067348	neuroblast ALv1	
ALv2	BAla2	FBbt:00050035	neuroblast ALv2	
AOTUv1_medial	DALcm2_medial	FBbt:00100549	neuroblast DALcm2	
AOTUv1_ventral	DALcm2_ventral	FBbt:00100549	neuroblast DALcm2	
AOTUv2	DALl1	FBbt:00100547	neuroblast DALl1	
AOTUv3_dorsal	DALcl1_dorsal	FBbt:00100545	neuroblast DALcl1	
AOTUv3_ventral	DALcl1_ventral	FBbt:00100545	neuroblast DALcl1	
AOTUv4_dorsal	DALcl2_dorsal	FBbt:00100546	neuroblast DALcl2	
AOTUv4_ventral	DALcl2_ventral	FBbt:00100546	neuroblast DALcl2	
CLp1_or_SLPpm2	DPLc4_or_DPLc2			
CREa2_medial	DALcm1_medial	FBbt:00100548	neuroblast DALcm1	
CREa2_ventral	DALcm1_ventral	FBbt:00100548	neuroblast DALcm1	
DILP__prim	DILP__prim			
