neuropil_short	neuropil_full	NP_id	NP_name	CBR_id	CBR_name
AB	asymmetrical body	FBbt:00110172	asymmetrical body	FBbt:00003625	adult brain cell body rind
AL	antennal lobe	FBbt:00007401	adult antennal lobe	FBbt:00100211	cell body rind of adult antennal lobe
AME	accessory medulla	FBbt:00045003	accessory medulla	FBbt:00003625	adult brain cell body rind
AMMC	antennal mechanosensory and motor center	FBbt:00003982	antennal mechanosensory and motor center	FBbt:00003625	adult brain cell body rind
AOT	anterior optic tract	FBbt:00100337	adult anterior optic tract	FBbt:00003625	adult brain cell body rind
AOTU	anterior optic tubercle	FBbt:00007059	anterior optic tubercle	FBbt:00048470	cell body rind of adult anterior optic tubercle
ATL	antler	FBbt:00045039	antler	FBbt:00048542	cell body rind of adult antler
AVLP	anterior ventrolateral protocerebrum	FBbt:00040043	anterior ventrolateral protocerebrum	FBbt:00110123	cell body rind of adult ventrolateral protocerebrum
BU	bulb	FBbt:00003682	bulb	FBbt:00003625	adult brain cell body rind
CA	mushroom body calyx	FBbt:00007385	calyx of adult mushroom body	FBbt:00007112	cell body rind of adult mushroom body calyx
CAN	cantle	FBbt:00045051	cantle	FBbt:00003625	adult brain cell body rind
CRE	crepine	FBbt:00045037	adult crepine	FBbt:00100288	cell body rind of adult crepine
CX	central complex	FBbt:00003632	adult central complex	FBbt:00003625	adult brain cell body rind
EB	ellipsoid body	FBbt:00003678	ellipsoid body	FBbt:00003625	adult brain cell body rind
EPA	epaulette	FBbt:00040040	epaulette	FBbt:00003625	adult brain cell body rind
FB	fan-shaped body	FBbt:00003679	fan-shaped body	FBbt:00003625	adult brain cell body rind
FLA	flange	FBbt:00045050	flange	FBbt:00003625	adult brain cell body rind
GA	gall	FBbt:00040060	gall	FBbt:00003625	adult brain cell body rind
GNG	gnathal ganglia	FBbt:00014013	adult gnathal ganglion	FBbt:00100210	cell body rind of adult gnathal ganglion
GOR	gorget	FBbt:00040039	gorget	FBbt:00100210	cell body rind of adult gnathal ganglion
IB	inferior bridge	FBbt:00040050	inferior bridge	FBbt:00048329	cell body rind of adult inferior bridge
ICL	inferior clamp	FBbt:00040049	inferior clamp	FBbt:00003625	adult brain cell body rind
INP	inferior neuropils	FBbt:00040037	inferior neuropils	FBbt:00100213	cell body rind of adult inferior neuropils
IPS	inferior posterior slope	FBbt:00045046	inferior posterior slope	FBbt:00048404	cell body rind of adult inferior posterior slope
LA	lamina	FBbt:00003708	lamina	FBbt:00100206	cell body rind of adult lamina
lACA	mushroom body lateral accessory calyx	FBbt:00048332	adult mushroom body lateral accessory calyx	FBbt:00003625	adult brain cell body rind
LAL	lateral accessory lobe	FBbt:00003681	adult lateral accessory lobe	FBbt:00003625	adult brain cell body rind
LH	lateral horn	FBbt:00007053	adult lateral horn	FBbt:00007647	cell body rind of adult lateral horn
LO	lobula	FBbt:00003852	lobula	FBbt:00100207	cell body rind of adult lobula
LOP	lobula plate	FBbt:00003885	lobula plate	FBbt:00001948	cell body rind of adult lobula plate
mALT	medial antennal lobe tract	FBbt:00003985	adult medial antennal lobe tract	FBbt:00003625	adult brain cell body rind
MB	mushroom body	FBbt:00003684	adult mushroom body	FBbt:00003625	adult brain cell body rind
MB_CA	mushroom body calyx	FBbt:00007385	calyx of adult mushroom body	FBbt:00007112	cell body rind of adult mushroom body calyx
MB_ML	mushroom body medial lobe	FBbt:00007677	medial lobe of adult mushroom body	FBbt:00003625	adult brain cell body rind
MB_PED	mushroom body pedunculus	FBbt:00007453	pedunculus of adult mushroom body	FBbt:00003625	adult brain cell body rind
MB_VL	mushroom body vertical lobe	FBbt:00015407	vertical lobe of adult mushroom body	FBbt:00003625	adult brain cell body rind
ME	medulla	FBbt:00003748	medulla	FBbt:00100205	cell body rind of adult medulla
NO	noduli	FBbt:00003680	nodulus	FBbt:00003625	adult brain cell body rind
