flow	super_class	cell_class	cell_sub_class	FBbt_id	FBbt_name
afferent	sensory	gustatory	accessory_pharyngeal_nerve_sensory_group1	FBbt:00058249	adult gustatory receptor neuron
afferent	sensory	gustatory	accessory_pharyngeal_nerve_sensory_group2	FBbt:00058249	adult gustatory receptor neuron
afferent	sensory	unknown_sensory	accessory_pharyngeal_nerve_sensory_group2	FBbt:00058244	adult sensory neuron
intrinsic	central	CX	columnar	FBbt:00049819	adult central complex neuron
intrinsic	optic	ME	columnar	FBbt:00111640	medulla columnar neuron
intrinsic	central	ALPN	multiglomerular	FBbt:00007441	adult multiglomerular antennal lobe projection neuron
afferent	sensory	unknown_sensory	pharyngeal_nerve_sensory_group1	FBbt:00058244	adult sensory neuron
afferent	sensory	gustatory	pharyngeal_nerve_sensory_group2	FBbt:00058249	adult gustatory receptor neuron
afferent	sensory	unknown_sensory	pharyngeal_nerve_sensory_group2	FBbt:00058244	adult sensory neuron
intrinsic	optic	LO	tangential	FBbt:00003859	lobula tangential neuron
intrinsic	optic	LO.LOP	tangential	FBbt:00007579	optic lobe tangential neuron
intrinsic	optic	LOP	tangential	FBbt:00003907	lobula plate tangential neuron
intrinsic	optic	ME	tangential	FBbt:00003836	medullary tangential neuron
intrinsic	optic	ME.LO	tangential	FBbt:00007579	optic lobe tangential neuron
afferent	sensory	gustatory	taste peg	FBbt:00048028	labellar taste peg chemosensory neuron
afferent	sensory	mechanosensory	unknown	FBbt:00051420	adult mechanosensory neuron
intrinsic	central	ALLN		FBbt:00007390	adult antennal lobe local neuron
afferent	ascending	AN		FBbt:00048301	adult ascending neuron
intrinsic	optic	bilateral		FBbt:00052046	adult interneuron
intrinsic	central	CX		FBbt:00049819	adult central complex neuron
afferent	sensory	gustatory		FBbt:00058249	adult gustatory receptor neuron
intrinsic	optic	LO		FBbt:00052046	adult interneuron
intrinsic	optic	LO>LOP		FBbt:00052046	adult interneuron
intrinsic	optic	LO>ME		FBbt:00052046	adult interneuron
intrinsic	optic	LOP		FBbt:00052046	adult interneuron
intrinsic	optic	LOP>LO		FBbt:00052046	adult interneuron
intrinsic	optic	LOP>LO.ME		FBbt:00052046	adult interneuron
intrinsic	optic	LOP>ME		FBbt:00052046	adult interneuron
intrinsic	optic	LOP>ME.LO		FBbt:00052046	adult interneuron
intrinsic	optic	ME		FBbt:00052046	adult interneuron
intrinsic	optic	ME.LO		FBbt:00052046	adult interneuron
intrinsic	optic	ME.LO.LOP		FBbt:00052046	adult interneuron
intrinsic	optic	ME.LOP		FBbt:00052046	adult interneuron
intrinsic	optic	ME>LA		FBbt:00052046	adult interneuron
intrinsic	optic	ME>LO		FBbt:00052046	adult interneuron
intrinsic	optic	ME>LO.LOP		FBbt:00052046	adult interneuron
intrinsic	optic	ME>LOP		FBbt:00052046	adult interneuron
afferent	sensory	mechanosensory		FBbt:00051420	adult mechanosensory neuron
intrinsic	optic	ocellar		FBbt:00052046	adult interneuron
afferent	sensory	olfactory		FBbt:00007386	adult olfactory receptor neuron
intrinsic	optic	optic_lobes		FBbt:00052046	adult interneuron
afferent	sensory	unknown_sensory		FBbt:00058244	adult sensory neuron
intrinsic	central			FBbt:00052046	adult interneuron
efferent	motor			FBbt:00048235	adult motor neuron
intrinsic	optic			FBbt:00052046	adult interneuron
afferent	sensory			FBbt:00058244	adult sensory neuron
intrinsic	visual_centrifugal			FBbt:00059244	adult visual centrifugal neuron
intrinsic	visual_projection			FBbt:00048286	adult visual projection neuron
efferent	descending			FBbt:00047511	adult descending neuron
