ID	Neuron	Comment	Deprecated
ID	AI oboInOwl:consider	A rdfs:comment	AT owl:deprecated^^boolean
FBbt:00049715	FBbt:00049909	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00051306	FBbt:00051305	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110414	FBbt:00110415	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110416	FBbt:00110417	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110420	FBbt:00110421	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110422	FBbt:00110423	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110424	FBbt:00110425	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110426	FBbt:00110427	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110428	FBbt:00110429	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110430	FBbt:00110431	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110432	FBbt:00110433	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110434	FBbt:00110435	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110438	FBbt:00110439	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110440	FBbt:00110441	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110442	FBbt:00110443	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110444	FBbt:00110445	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110446	FBbt:00110447	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110448	FBbt:00110449	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110450	FBbt:00110451	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110452	FBbt:00110453	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110454	FBbt:00110455	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110458	FBbt:00110459	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110460	FBbt:00110461	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110462	FBbt:00110463	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110464	FBbt:00110465	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110466	FBbt:00110467	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110468	FBbt:00110469	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110470	FBbt:00110471	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110472	FBbt:00110473	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110474	FBbt:00110475	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110476	FBbt:00110477	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110478	FBbt:00110479	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110480	FBbt:00110481	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110482	FBbt:00110483	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110484	FBbt:00110485	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
FBbt:00110486	FBbt:00110487	Obsoleted as we do not maintain terms for groups of cells. Consider using the appropriate neuron term instead.	true
