FBbt_ID	name
FBbt:00003960	D
FBbt:00003932	DA1
FBbt:00003933	DA2
FBbt:00003934	DA3
FBbt:00003935	DA4
FBbt:00007360	DA4l
FBbt:00007361	DA4m
FBbt:00003961	DC1
FBbt:00003962	DC2
FBbt:00003963	DC3
FBbt:00100531	DC4
FBbt:00003968	DL1
FBbt:00100375	DL1l
FBbt:00003969	DL2
FBbt:00100377	DL2d
FBbt:00100376	DL2v
FBbt:00003964	DL3
FBbt:00003965	DL4
FBbt:00003970	DL5
FBbt:00007442	DL6
FBbt:00003975	DM1
FBbt:00003971	DM2
FBbt:00003972	DM3
FBbt:00003976	DM4
FBbt:00003940	DM5
FBbt:00003941	DM6
FBbt:00003977	DP1
FBbt:00007098	DP1l
FBbt:00007097	DP1m
FBbt:00003951	V
FBbt:00003936	VA1
FBbt:00007101	VA1d
FBbt:00007363	VA1v
FBbt:00003942	VA2
FBbt:00003943	VA3
FBbt:00003944	VA4
FBbt:00003937	VA5
FBbt:00003938	VA6
FBbt:00003945	VA7
FBbt:00007103	VA7l
FBbt:00007102	VA7m
FBbt:00003952	VC1
FBbt:00003946	VC2
FBbt:00007105	VC3
FBbt:00007104	VC5
FBbt:00007366	VC4
FBbt:00110029	VM6
FBbt:00003954	VL1
FBbt:00003955	VL2
FBbt:00007106	VL2a
FBbt:00007107	VL2p
FBbt:00003956	VM1
FBbt:00003947	VM2
FBbt:00003948	VM3
FBbt:00003957	VM4
FBbt:00003949	VM5
FBbt:00007391	VM5d
FBbt:00007365	VM5v
FBbt:00003973	VM7
FBbt:00110028	VM7d
FBbt:00007092	VM7v
FBbt:00003926	VP
FBbt:00003927	VP1
FBbt:00049639	VP1d
FBbt:00049640	VP1l
FBbt:00049641	VP1m
FBbt:00003928	VP2
FBbt:00003929	VP3
FBbt:00110865	VP4
FBbt:00047223	VP5
