ROI	FBbt_id	FBbt_name	notes
'NO'	FBbt:00003680	nodulus	
a'1(R)	FBbt:00100282	mushroom body alpha' lobe slice 1	
a'2(R)	FBbt:00100283	mushroom body alpha' lobe slice 2	
a'3(R)	FBbt:00100284	mushroom body alpha' lobe slice 3	
a'L(L)	FBbt:00013691	adult mushroom body alpha'-lobe	
a'L(R)	FBbt:00013691	adult mushroom body alpha'-lobe	
a1(R)	FBbt:00100285	mushroom body alpha lobe slice 1	
a2(R)	FBbt:00100286	mushroom body alpha lobe slice 2	
a3(R)	FBbt:00100287	mushroom body alpha lobe slice 3	
AB(L)	FBbt:00110172	asymmetrical body	
AB(R)	FBbt:00110172	asymmetrical body	
AL-D(L)	FBbt:00003960	antennal lobe glomerulus D	
AL-D(R)	FBbt:00003960	antennal lobe glomerulus D	
AL-DA1(R)	FBbt:00003932	antennal lobe glomerulus DA1	
AL-DA2(L)	FBbt:00003933	antennal lobe glomerulus DA2	
AL-DA2(R)	FBbt:00003933	antennal lobe glomerulus DA2	
AL-DA3(L)	FBbt:00003934	antennal lobe glomerulus DA3	
AL-DA3(R)	FBbt:00003934	antennal lobe glomerulus DA3	
AL-DA4l(R)	FBbt:00007360	antennal lobe glomerulus DA4l	
AL-DA4m(L)	FBbt:00007361	antennal lobe glomerulus DA4m	
AL-DA4m(R)	FBbt:00007361	antennal lobe glomerulus DA4m	
AL-DC1(L)	FBbt:00003961	antennal lobe glomerulus DC1	
AL-DC1(R)	FBbt:00003961	antennal lobe glomerulus DC1	
AL-DC2(L)	FBbt:00003962	antennal lobe glomerulus DC2	
AL-DC2(R)	FBbt:00003962	antennal lobe glomerulus DC2	
AL-DC3(R)	FBbt:00003963	antennal lobe glomerulus DC3	
AL-DC4(L)	FBbt:00100531	antennal lobe glomerulus DC4	
AL-DC4(R)	FBbt:00100531	antennal lobe glomerulus DC4	
AL-DL1(R)	FBbt:00003968	antennal lobe glomerulus DL1	
AL-DL2d(R)	FBbt:00100377	antennal lobe glomerulus DL2d	
AL-DL2v(R)	FBbt:00100376	antennal lobe glomerulus DL2v	
AL-DL3(R)	FBbt:00003964	antennal lobe glomerulus DL3	
AL-DL4(L)	FBbt:00003965	antennal lobe glomerulus DL4	
AL-DL4(R)	FBbt:00003965	antennal lobe glomerulus DL4	
AL-DL5(L)	FBbt:00003970	antennal lobe glomerulus DL5	
AL-DL5(R)	FBbt:00003970	antennal lobe glomerulus DL5	
AL-DM1(L)	FBbt:00003975	antennal lobe glomerulus DM1	
AL-DM1(R)	FBbt:00003975	antennal lobe glomerulus DM1	
AL-DM2(L)	FBbt:00003971	antennal lobe glomerulus DM2	
AL-DM2(R)	FBbt:00003971	antennal lobe glomerulus DM2	
AL-DM3(L)	FBbt:00003972	antennal lobe glomerulus DM3	
AL-DM3(R)	FBbt:00003972	antennal lobe glomerulus DM3	
AL-DM4(L)	FBbt:00003976	antennal lobe glomerulus DM4	
AL-DM4(R)	FBbt:00003976	antennal lobe glomerulus DM4	
AL-DM5(L)	FBbt:00003940	antennal lobe glomerulus DM5	
AL-DM5(R)	FBbt:00003940	antennal lobe glomerulus DM5	
AL-DM6(L)	FBbt:00003941	antennal lobe glomerulus DM6	
AL-DM6(R)	FBbt:00003941	antennal lobe glomerulus DM6	
AL-DP1l(R)	FBbt:00007098	antennal lobe glomerulus DP1l	
AL-DP1m(L)	FBbt:00007097	antennal lobe glomerulus DP1m	
AL-DP1m(R)	FBbt:00007097	antennal lobe glomerulus DP1m	
AL-V(R)	FBbt:00003951	antennal lobe glomerulus V	
AL-VA1d(R)	FBbt:00007101	antennal lobe glomerulus VA1d	
AL-VA1v(R)	FBbt:00007363	antennal lobe glomerulus VA1v	
AL-VA2(R)	FBbt:00003942	antennal lobe glomerulus VA2	
AL-VA3(R)	FBbt:00003943	antennal lobe glomerulus VA3	
AL-VA4(R)	FBbt:00003944	antennal lobe glomerulus VA4	
AL-VA5(R)	FBbt:00003937	antennal lobe glomerulus VA5	
AL-VA6(L)	FBbt:00003938	antennal lobe glomerulus VA6	
AL-VA6(R)	FBbt:00003938	antennal lobe glomerulus VA6	
AL-VA7l(R)	FBbt:00007103	antennal lobe glomerulus VA7l	
AL-VA7m(R)	FBbt:00007102	antennal lobe glomerulus VA7m	
AL-VC1(R)	FBbt:00003952	antennal lobe glomerulus VC1	
AL-VC2(R)	FBbt:00003946	antennal lobe glomerulus VC2	
AL-VC3l(R)	FBbt:00007105	antennal lobe glomerulus VC3l	
AL-VC3m(R)	FBbt:00007104	antennal lobe glomerulus VC3m	
AL-VC4(R)	FBbt:00007366	antennal lobe glomerulus VC4	
AL-VC5(R)	FBbt:00110029	antennal lobe glomerulus VC5	
AL-VL1(R)	FBbt:00003954	antennal lobe glomerulus VL1	
AL-VL2a(R)	FBbt:00007106	antennal lobe glomerulus VL2a	
AL-VL2p(R)	FBbt:00007107	antennal lobe glomerulus VL2p	
