np_type	FBbt_id	ref	date	laterality	pattern	glomeruli
l2LN18	FBbt:20003734	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	broad	
l2LN19	FBbt:20003735	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	V|VM7|DC4
l2LN20	FBbt:20003736	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	
l2LN21	FBbt:20003737	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	VP2|VP3|VP5
l2LN22	FBbt:20003738	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	VP3
l2LN23	FBbt:20003739	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	V|VP
lLN7	FBbt:20003741	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	regional	
lLN8	FBbt:20003742	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	DL2|DP1
lLN9	FBbt:20003743	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	VA1
lLN10	FBbt:20003744	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	regional	
lLN11	FBbt:20003745	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	regional or sparse	
lLN12A	FBbt:20003746	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	regional	
lLN12B	FBbt:20003747	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	regional	
lLN13	FBbt:20003748	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	regional or sparse	
lLN14	FBbt:20003749	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	
lLN15	FBbt:20003750	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	regional	
lLN16A	FBbt:20003751	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	
lLN16B	FBbt:20003752	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	
lLN17	FBbt:20003753	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	VA1
v2LN3A	FBbt:20003754	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	regional	
v2LN3B	FBbt:20003755	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	regional	
v2LN30	FBbt:20003756	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	regional	
v2LN31	FBbt:20003757	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	
v2LN32	FBbt:20003758	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	
v2LN33	FBbt:20003759	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	VL1
v2LN34A	FBbt:20003760	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	regional or sparse	
v2LN34B	FBbt:20003761	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	regional or sparse	
v2LN34C	FBbt:20003762	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	regional or sparse	
v2LN34D	FBbt:20003763	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	regional or sparse	
v2LN34E	FBbt:20003764	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	regional or sparse	
v2LN34F	FBbt:20003765	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	regional or sparse	
v2LN35	FBbt:20003766	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	regional	
v2LN37	FBbt:20003768	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	regional	
v2LN38	FBbt:20003769	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	VP5
v2LN39A	FBbt:20003770	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	VP
v2LN39B	FBbt:20003771	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	VP
v2LN40	FBbt:20003772	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	VL1
v2LN41	FBbt:20003773	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	VP1
v2LN42	FBbt:20003774	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	VL1|VL2p
v2LN43	FBbt:20003775	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	
v2LN44	FBbt:20003776	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	VP|VL1
v2LN45	FBbt:20003777	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	VP|VC2|VL1
v2LN46	FBbt:20003778	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	DP1l
v2LN47	FBbt:20003779	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	VL2p
v2LN48	FBbt:20003780	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	
v2LN49	FBbt:20003781	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	VP
v2LN50	FBbt:20003782	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	
vLN24	FBbt:20003783	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	regional	V
vLN25	FBbt:20003784	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	regional	VL2|DP1l
vLN26	FBbt:20003785	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	bi	sparse	
vLN27	FBbt:20003786	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	VM6
vLN28	FBbt:20003787	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	VM6
vLN29	FBbt:20003788	FlyBase:FBrf0246888|FlyBase:FBrf0249560	2021-03-10T12:00:00Z	uni	sparse	VM6
