np_type	FBbt_id	FBbt_name	ref	date	synonym	synonym_ref
AOTU001	FBbt:20000000	adult anterior optic tubercle neuron 001	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU002	FBbt:20000001	adult anterior optic tubercle neuron 002	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU003	FBbt:20000002	adult anterior optic tubercle neuron 003	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU004	FBbt:20000003	adult anterior optic tubercle neuron 004	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU005	FBbt:20000004	adult anterior optic tubercle neuron 005	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU006	FBbt:20000005	adult anterior optic tubercle neuron 006	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU007	FBbt:20000006	adult anterior optic tubercle neuron 007	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU008	FBbt:20000007	adult anterior optic tubercle neuron 008	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU009	FBbt:20000008	adult anterior optic tubercle neuron 009	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU010	FBbt:20000009	adult anterior optic tubercle neuron 010	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU011	FBbt:20000010	adult anterior optic tubercle neuron 011	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU012	FBbt:20000011	adult anterior optic tubercle neuron 012	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU013	FBbt:20000012	adult anterior optic tubercle neuron 013	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU014	FBbt:20000013	adult anterior optic tubercle neuron 014	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU015	FBbt:20000014	adult anterior optic tubercle neuron 015	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU016	FBbt:20000015	adult anterior optic tubercle neuron 016	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU017	FBbt:20000016	adult anterior optic tubercle neuron 017	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU018	FBbt:20000017	adult anterior optic tubercle neuron 018	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU019	FBbt:20000018	adult anterior optic tubercle neuron 019	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU020	FBbt:20000019	adult anterior optic tubercle neuron 020	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU021	FBbt:20000020	adult anterior optic tubercle neuron 021	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU022	FBbt:20000021	adult anterior optic tubercle neuron 022	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU023	FBbt:20000022	adult anterior optic tubercle neuron 023	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU024	FBbt:20000023	adult anterior optic tubercle neuron 024	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU025	FBbt:20000024	adult anterior optic tubercle neuron 025	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU026	FBbt:20000025	adult anterior optic tubercle neuron 026	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU027	FBbt:20000026	adult anterior optic tubercle neuron 027	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU028	FBbt:20000027	adult anterior optic tubercle neuron 028	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU029	FBbt:20000028	adult anterior optic tubercle neuron 029	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
AOTU030	FBbt:20000029	adult anterior optic tubercle neuron 030	FlyBase:FBrf0246888	2020-07-30T12:00:00Z		
