broad_type	text	FBbt_id	FBbt_name
DNa	descending neuron of the anterior dorsal brain	FBbt:00047512	descending neuron of the anterior dorsal brain
DNae	descending neuron of the anterior dorsal brain	FBbt:00047512	descending neuron of the anterior dorsal brain
DNb	descending neuron of the anterior ventral brain	FBbt:00047513	descending neuron of the anterior ventral brain
DNbe	descending neuron of the anterior ventral brain	FBbt:00047513	descending neuron of the anterior ventral brain
DNc	descending neuron of the pars intercerebralis	FBbt:00047514	descending neuron of the pars intercerebralis
DNce	descending neuron of the pars intercerebralis	FBbt:00047514	descending neuron of the pars intercerebralis
DNd	descending neuron of the outside anterior cluster	FBbt:00047515	descending neuron of the outside anterior cluster
DNde	descending neuron of the outside anterior cluster	FBbt:00047515	descending neuron of the outside anterior cluster
DNg	descending neuron of the gnathal ganglion	FBbt:00047516	descending neuron of the gnathal ganglion
DNge	descending neuron of the gnathal ganglion	FBbt:00047516	descending neuron of the gnathal ganglion
DNp	descending neuron of the posterior brain	FBbt:00047517	descending neuron of the posterior brain
DNpe	descending neuron of the posterior brain	FBbt:00047517	descending neuron of the posterior brain
LC	lobula columnar	FBbt:00003870	lobula columnar neuron
LoVP	lobula visual projection	FBbt:00048286	adult visual projection neuron
