FBbt_id	mcns_type	hemibrain_type	flywire_type	manc_type	additional_parents	transmitter_pred	creation_date
FBbt:20000608	DNp66	AVLP499	X	DNxn160		acetylcholine	2020-07-30T12:00:00Z
FBbt:20000673	DNpe052	AVLP564	X	DNxl076		acetylcholine	2020-07-30T12:00:00Z
FBbt:20000907	DNpe026	CL202	X	DNxn155		acetylcholine	2020-07-30T12:00:00Z
FBbt:20000912	DNpe043	CL207	X	DNxn159		acetylcholine	2020-07-30T12:00:00Z
FBbt:20000967	DNpe042	CL262	X	DNlt011		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001011	DNpe039	CL306	X	DNxn131		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001012	DNpe021	CL307	X	DNxn163		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001025	DNpe040	CL320	X	DNxn130		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001029	DNp104	CL324	X	DNxn134		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001030	DNpe024	CL325	X	DNxn153		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001035	DNpe006	CL330	X	DNxl102		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001039	DNp101	CL334	X	DNxn137		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001043	DNpe037	CL338	X	DNxn113		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001046	DNpe050	CL341	X	DNxn183		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001223	DNpe028	IB046	X	DNxn171		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001288	DNpe001	IB111	X	DNxn135		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001402	DNde003	LAL106|LAL107	X	DNxl067		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001497	DNpe023	LAL201	X	DNit011|DNit013		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001652	LoVP17	PLP152	LTe38a			acetylcholine	2020-07-30T12:00:00Z
FBbt:20001764	DNae009	PS009	X	DNxn124		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001767	DNae008	PS012	X	DNxl056		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001771	DNae010	PS016	X	DNxn122		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001795	DNae003	PS040	X	DNxn123		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001800	DNae006	PS045	X	DNxn118		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001821	DNbe004	PS066	X	DNb07		glutamate	2020-07-30T12:00:00Z
FBbt:20001824	DNbe005	PS069	X	DNxn007			2020-07-30T12:00:00Z
FBbt:20001858	DNbe001	PS103	X	DNut040		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001888	DNpe020	PS133	X	DNxl077		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001921	DNpe027	PS166	X	DNxn167		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001922	DNpe055	PS167	X	DNxn102		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001923	DNpe013	PS168	X	DNxn149		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001966	DNpe016	PS211	X	DNxn174		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001967	DNp102	PS212	X	DNxn176		acetylcholine	2020-07-30T12:00:00Z
FBbt:20001971	DNpe032	PS216	X	DNxn175		acetylcholine	2020-07-30T12:00:00Z
FBbt:20002030	DNpe010	PS275	X	DNut039		glutamate	2020-07-30T12:00:00Z
FBbt:20002174	DNpe031	PVLP116	X	DNxn186,DNxn187		glutamate	2020-07-30T12:00:00Z
FBbt:20002203	DNpe025	PVLP145	X	DNxl121		acetylcholine	2020-07-30T12:00:00Z
FBbt:20002204	DNpe056	PVLP146	X	DNxn168		acetylcholine	2020-07-30T12:00:00Z
FBbt:20002250	DNde001	SAD041	X	DNxl096		glutamate	2020-07-30T12:00:00Z
FBbt:20003151	DNpe033	SMP289	X	DNit004	FBbt:00052708	gaba	2020-07-30T12:00:00Z
FBbt:20003152	DNpe041	SMP290	X	DNxl074	FBbt:00052708	gaba	2020-07-30T12:00:00Z
FBbt:20003463	DNpe035	SMP601	X	DNxn138		acetylcholine	2020-07-30T12:00:00Z
FBbt:20003474	DNa11	VES008	X	X		acetylcholine	2020-07-30T12:00:00Z
FBbt:20003494	DNde005	VES028	X	DNxl098		acetylcholine	2020-07-30T12:00:00Z
FBbt:20003495	DNde002	VES029	X	DNxl117		acetylcholine	2020-07-30T12:00:00Z
FBbt:20003508	DNbe007	VES042	X	DNxl082		acetylcholine	2020-07-30T12:00:00Z
FBbt:20003534	DNpe002	VES068	X	DNxl113		acetylcholine	2020-07-30T12:00:00Z
FBbt:20003547	DNpe003	VES069,VES081	X	DNxl075		acetylcholine	2020-07-30T12:00:00Z
FBbt:20003673	DNpe005	WED123	X	DNxn101		acetylcholine	2020-07-30T12:00:00Z
