term	FBbt_id	FBbt_name
00A	FBbt:00001419	neuroblast MNB
00B	FBbt:00001419	neuroblast MNB
01A	FBbt:00001384	neuroblast NB1-2
01B	FBbt:00001384	neuroblast NB1-2
02A	FBbt:00001410	neuroblast NB2-1
03A	FBbt:00001380	neuroblast NB7-1
03B	FBbt:00001380	neuroblast NB7-1
04A	FBbt:00001394	neuroblast NB3-1
04B	FBbt:00001394	neuroblast NB3-1
05B	FBbt:00001390	neuroblast NB5-3
06A	FBbt:00001376	neuroblast NB5-2
06B	FBbt:00001376	neuroblast NB5-2
07B	FBbt:00001388	neuroblast NB3-2
08A	FBbt:00001422	neuroblast NB3-3
08B	FBbt:00001422	neuroblast NB3-3
09A	FBbt:00001375	neuroblast NB3-5
09B	FBbt:00001375	neuroblast NB3-5
10B	FBbt:00001385	neuroblast NB2-2
11A	FBbt:00001392	neuroblast NB7-2
11B	FBbt:00001392	neuroblast NB7-2
12A	FBbt:00001398	neuroblast NB6-1
12B	FBbt:00001398	neuroblast NB6-1
13A	FBbt:00001389	neuroblast NB4-2
13B	FBbt:00001389	neuroblast NB4-2
14A	FBbt:00001397	neuroblast NB4-1
14B	FBbt:00001397	neuroblast NB4-1
15B	FBbt:00001421	neuroblast NB2-3
16B	FBbt:00001371	neuroblast NB1-1
17A	FBbt:00001374	neuroblast NB2-5
17B	FBbt:00001374	neuroblast NB2-5
17X	FBbt:00001374	neuroblast NB2-5
18B	FBbt:00001411	neuroblast NB2-4
18X	FBbt:00001411	neuroblast NB2-4
19A	FBbt:00001391	neuroblast NB6-2
19B	FBbt:00001391	neuroblast NB6-2
20A.22A		
20B.21B.22B		
21A	FBbt:00001423	neuroblast NB4-3
21X	FBbt:00001423	neuroblast NB4-3
23B	FBbt:00001381	neuroblast NB7-4
24B.25B		
26X	FBbt:00001424	neuroblast NB5-1
27X		
