term	FBbt_id	FBbt_name
00A	FBbt:00049539	Notch ON hemilineage neuron
00B	FBbt:00049540	Notch OFF hemilineage neuron
01A	FBbt:00049539	Notch ON hemilineage neuron
01B	FBbt:00049540	Notch OFF hemilineage neuron
02A	FBbt:00049539	Notch ON hemilineage neuron
03A	FBbt:00049539	Notch ON hemilineage neuron
03B	FBbt:00049540	Notch OFF hemilineage neuron
04A	FBbt:00049539	Notch ON hemilineage neuron
04B	FBbt:00049540	Notch OFF hemilineage neuron
05B	FBbt:00049540	Notch OFF hemilineage neuron
06A	FBbt:00049539	Notch ON hemilineage neuron
06B	FBbt:00049540	Notch OFF hemilineage neuron
07B	FBbt:00049540	Notch OFF hemilineage neuron
08A	FBbt:00049539	Notch ON hemilineage neuron
08B	FBbt:00049540	Notch OFF hemilineage neuron
09A	FBbt:00049539	Notch ON hemilineage neuron
09B	FBbt:00049540	Notch OFF hemilineage neuron
10B	FBbt:00049540	Notch OFF hemilineage neuron
11A	FBbt:00049539	Notch ON hemilineage neuron
11B	FBbt:00049540	Notch OFF hemilineage neuron
12A	FBbt:00049539	Notch ON hemilineage neuron
12B	FBbt:00049540	Notch OFF hemilineage neuron
13A	FBbt:00049539	Notch ON hemilineage neuron
13B	FBbt:00049540	Notch OFF hemilineage neuron
14A	FBbt:00049539	Notch ON hemilineage neuron
14B	FBbt:00049540	Notch OFF hemilineage neuron
15B	FBbt:00049540	Notch OFF hemilineage neuron
16B	FBbt:00049540	Notch OFF hemilineage neuron
17A	FBbt:00049539	Notch ON hemilineage neuron
17B	FBbt:00049540	Notch OFF hemilineage neuron
17X		
18B	FBbt:00049540	Notch OFF hemilineage neuron
18X		
19A	FBbt:00049539	Notch ON hemilineage neuron
19B	FBbt:00049540	Notch OFF hemilineage neuron
20A.22A	FBbt:00049539	Notch ON hemilineage neuron
20B.21B.22B	FBbt:00049540	Notch OFF hemilineage neuron
21A	FBbt:00049539	Notch ON hemilineage neuron
21X		
23B	FBbt:00049540	Notch OFF hemilineage neuron
24B.25B	FBbt:00049540	Notch OFF hemilineage neuron
26X		
27X		
