term	FBbt_id	FBbt_name
AbN	FBbt:00002179	abdominal nerve
AbN1	FBbt:00004105	adult first abdominal nerve
AbN2	FBbt:00004106	adult second abdominal nerve
AbN3	FBbt:00004107	adult third abdominal nerve
AbN4	FBbt:00004108	adult fourth abdominal nerve
AbNT	FBbt:00004099	adult abdominal nerve trunk
AbNTBD	FBbt:00047357	adult abdominal nerve
ADMN	FBbt:00004060	adult anterior dorsal mesothoracic nerve
CvC	FBbt:00004019	adult cervical connective
CVC	FBbt:00004019	adult cervical connective
CvN	FBbt:00004053	adult cervical nerve
DMetaN	FBbt:00004094	adult dorsal metathoracic nerve
DProN	FBbt:00004055	adult dorsal prothoracic nerve
MesoAN	FBbt:00004062	adult mesothoracic accessory nerve
MesoLN	FBbt:00004063	adult mesothoracic leg nerve
MetaLN	FBbt:00004096	adult metathoracic leg nerve
PDMN	FBbt:00004061	adult posterior dorsal mesothoracic nerve
PDMNa	FBbt:00004061	adult posterior dorsal mesothoracic nerve
PDMNp	FBbt:00004061	adult posterior dorsal mesothoracic nerve
PrN	FBbt:00007654	adult prosternal nerve
ProAN	FBbt:00004056	adult prothoracic accessory nerve
ProCN	FBbt:00049893	adult prothoracic chordotonal nerve
ProLN	FBbt:00007657	adult prothoracic leg nerve
VProN	FBbt:00004057	adult ventral prothoracic nerve
