term	FBbt_id	FBbt_name
T3	FBbt:00110176	adult metathoracic neuromere
T1	FBbt:00110174	adult prothoracic neuromere
T2	FBbt:00110175	adult mesothoracic neuromere
A7	FBbt:00110173	adult abdominal neuromere
A3	FBbt:00110173	adult abdominal neuromere
A9	FBbt:00110173	adult abdominal neuromere
A8	FBbt:00110173	adult abdominal neuromere
A2	FBbt:00110173	adult abdominal neuromere
A4	FBbt:00110173	adult abdominal neuromere
A6	FBbt:00110173	adult abdominal neuromere
A5	FBbt:00110173	adult abdominal neuromere
A1	FBbt:00110173	adult abdominal neuromere
A10	FBbt:00110173	adult abdominal neuromere
ANm_TBD	FBbt:00110173	adult abdominal neuromere
