type	FBbt_id
AN00A002	FBbt:20007683
AN00A006	FBbt:20007684
AN00A009	FBbt:20007685
AN01A001	FBbt:20007686
AN01A006	FBbt:20007687
AN01A014	FBbt:20007688
AN01A021	FBbt:20007689
AN01A033	FBbt:20007690
AN01A049	FBbt:20007691
AN01A055	FBbt:20007692
AN01A086	FBbt:20007693
AN01B002	FBbt:20007694
AN01B004	FBbt:20007695
AN01B005	FBbt:20007696
AN01B011	FBbt:20007697
AN01B014	FBbt:20007698
AN01B018	FBbt:20007699
AN02A001	FBbt:20007700
AN02A002	FBbt:20007701
AN02A005	FBbt:20007702
AN02A009	FBbt:20007703
AN02A016	FBbt:20007704
AN02A017	FBbt:20007705
AN02A022	FBbt:20007706
AN02A025	FBbt:20007707
AN02A046	FBbt:20007708
AN03A002	FBbt:20007709
AN03A008	FBbt:20007710
AN03B009	FBbt:20007711
AN03B011	FBbt:20007712
AN03B039	FBbt:20007713
AN03B050	FBbt:20007714
AN03B094	FBbt:20007715
AN03B095	FBbt:20007716
AN04A001	FBbt:20007717
AN04B001	FBbt:20007718
AN04B003	FBbt:20007719
AN04B004	FBbt:20007720
AN04B023	FBbt:20007721
AN04B051	FBbt:20007722
AN05B004	FBbt:20007723
AN05B005	FBbt:20007724
AN05B006	FBbt:20007725
AN05B007	FBbt:20007726
AN05B009	FBbt:20007727
AN05B010	FBbt:20007728
AN05B015	FBbt:20007729
AN05B017	FBbt:20007730
AN05B021	FBbt:20007731
AN05B024	FBbt:20007732
AN05B025	FBbt:20007733
AN05B026	FBbt:20007734
AN05B027	FBbt:20007735
AN05B029	FBbt:20007736
AN05B035	FBbt:20007737
AN05B036	FBbt:20007738
AN05B040	FBbt:20007739
AN05B044	FBbt:20007740
AN05B045	FBbt:20007741
AN05B046	FBbt:20007742
AN05B047	FBbt:20007743
AN05B048	FBbt:20007744
AN05B049	FBbt:20007745
AN05B050	FBbt:20007746
AN05B052	FBbt:20007747
AN05B053	FBbt:20007748
AN05B054	FBbt:20007749
AN05B056	FBbt:20007750
AN05B058	FBbt:20007751
AN05B059	FBbt:20007752
AN05B060	FBbt:20007753
AN05B062	FBbt:20007754
AN05B063	FBbt:20007755
AN05B067	FBbt:20007756
AN05B068	FBbt:20007757
AN05B069	FBbt:20007758
AN05B071	FBbt:20007759
AN05B076	FBbt:20007760
AN05B078	FBbt:20007761
AN05B081	FBbt:20007762
AN05B083	FBbt:20007763
AN05B094	FBbt:20007764
AN05B095	FBbt:20007765
AN05B096	FBbt:20007766
AN05B097	FBbt:20007767
AN05B098	FBbt:20007768
AN05B099	FBbt:20007769
AN05B100	FBbt:20007770
AN05B101	FBbt:20007771
AN05B102	FBbt:20007772
AN05B103	FBbt:20007773
AN05B104	FBbt:20007774
AN05B105	FBbt:20007775
AN05B106	FBbt:20007776
AN06A010	FBbt:20007777
AN06A015	FBbt:20007778
AN06A016	FBbt:20007779
AN06A017	FBbt:20007780
AN06A018	FBbt:20007781
AN06A026	FBbt:20007782
AN06A027	FBbt:20007783
AN06A030	FBbt:20007784
AN06A041	FBbt:20007785
AN06A060	FBbt:20007786
AN06A062	FBbt:20007787
AN06A080	FBbt:20007788
AN06A092	FBbt:20007789
AN06A095	FBbt:20007790
AN06A112	FBbt:20007791
AN06B002	FBbt:20007792
AN06B004	FBbt:20007793
AN06B005	FBbt:20007794
AN06B007	FBbt:20007795
AN06B009	FBbt:20007796
AN06B011	FBbt:20007797
AN06B012	FBbt:20007798
AN06B014	FBbt:20007799
AN06B015	FBbt:20007800
AN06B023	FBbt:20007801
AN06B026	FBbt:20007803
AN06B031	FBbt:20007804
AN06B034	FBbt:20007805
AN06B037	FBbt:20007806
AN06B039	FBbt:20007807
AN06B040	FBbt:20007808
AN06B042	FBbt:20007809
AN06B044	FBbt:20007810
AN06B045	FBbt:20007811
AN06B046	FBbt:20007812
AN06B048	FBbt:20007813
AN06B051	FBbt:20007814
AN06B057	FBbt:20007815
AN06B068	FBbt:20007816
AN06B075	FBbt:20007817
AN07B003	FBbt:20007818
AN07B004	FBbt:20007819
AN07B005	FBbt:20007820
AN07B011	FBbt:20007821
AN07B013	FBbt:20007822
AN07B015	FBbt:20007823
AN07B017	FBbt:20007824
AN07B018	FBbt:20007825
AN07B021	FBbt:20007826
AN07B024	FBbt:20007827
AN07B025	FBbt:20007828
AN07B032	FBbt:20007829
AN07B035	FBbt:20007830
AN07B036	FBbt:20007831
AN07B037	FBbt:20007832
AN07B040	FBbt:20007833
AN07B041	FBbt:20007834
AN07B042	FBbt:20007835
AN07B043	FBbt:20007836
AN07B045	FBbt:20007837
AN07B046	FBbt:20007838
AN07B049	FBbt:20007839
AN07B050	FBbt:20007840
AN07B051	FBbt:20007841
AN07B052	FBbt:20007842
AN07B056	FBbt:20007843
AN07B057	FBbt:20007844
AN07B060	FBbt:20007845
AN07B062	FBbt:20007846
AN07B063	FBbt:20007847
AN07B069	FBbt:20007848
AN07B070	FBbt:20007849
AN07B071	FBbt:20007850
AN07B072	FBbt:20007851
AN07B076	FBbt:20007852
AN07B078	FBbt:20007853
AN07B082	FBbt:20007854
AN07B085	FBbt:20007855
AN07B088	FBbt:20007856
AN07B089	FBbt:20007857
AN07B091	FBbt:20007858
AN07B095	FBbt:20007859
AN07B097	FBbt:20007860
AN07B100	FBbt:20007861
AN07B101	FBbt:20007862
AN08B005	FBbt:20007863
AN08B007	FBbt:20007864
AN08B009	FBbt:20007865
AN08B010	FBbt:20007866
AN08B012	FBbt:20007867
AN08B013	FBbt:20007868
AN08B014	FBbt:20007869
AN08B015	FBbt:20007870
AN08B016	FBbt:20007871
AN08B018	FBbt:20007872
AN08B020	FBbt:20007873
AN08B022	FBbt:20007874
AN08B023	FBbt:20007875
AN08B024	FBbt:20007876
AN08B025	FBbt:20007877
AN08B026	FBbt:20007878
AN08B027	FBbt:20007879
AN08B028	FBbt:20007880
AN08B032	FBbt:20007881
AN08B034	FBbt:20007882
AN08B035	FBbt:20007883
AN08B041	FBbt:20007884
AN08B047	FBbt:20007885
AN08B048	FBbt:20007886
AN08B049	FBbt:20007887
AN08B050	FBbt:20007888
AN08B053	FBbt:20007889
AN08B057	FBbt:20007890
AN08B061	FBbt:20007891
AN08B066	FBbt:20007892
AN08B071	FBbt:20007893
AN08B074	FBbt:20007894
AN08B079	FBbt:20007895
AN08B081	FBbt:20007896
AN08B084	FBbt:20007897
AN08B086	FBbt:20007898
AN08B089	FBbt:20007899
AN08B094	FBbt:20007900
AN08B095	FBbt:20007901
AN08B096	FBbt:20007902
AN08B097	FBbt:20007903
AN08B098	FBbt:20007904
AN08B099	FBbt:20007905
AN08B100	FBbt:20007906
AN08B101	FBbt:20007907
AN08B102	FBbt:20007908
AN08B103	FBbt:20007909
AN08B106	FBbt:20007910
AN08B107	FBbt:20007911
AN08B109	FBbt:20007912
AN08B110	FBbt:20007913
AN08B111	FBbt:20007914
AN08B112	FBbt:20007915
AN08B113	FBbt:20007916
AN09A005	FBbt:20007917
AN09A007	FBbt:20007918
AN09B001	FBbt:20007919
AN09B002	FBbt:20007920
AN09B003	FBbt:20007921
AN09B004	FBbt:20007922
AN09B006	FBbt:20007923
AN09B007	FBbt:20007924
AN09B009	FBbt:20007925
AN09B011	FBbt:20007926
AN09B012	FBbt:20007927
AN09B013	FBbt:20007928
AN09B014	FBbt:20007929
AN09B015	FBbt:20007930
AN09B016	FBbt:20007931
AN09B018	FBbt:20007932
AN09B019	FBbt:20007933
AN09B020	FBbt:20007934
AN09B021	FBbt:20007935
AN09B023	FBbt:20007936
AN09B024	FBbt:20007937
AN09B026	FBbt:20007938
AN09B027	FBbt:20007939
AN09B028	FBbt:20007940
AN09B029	FBbt:20007941
AN09B030	FBbt:20007942
AN09B031	FBbt:20007943
AN09B032	FBbt:20007944
AN09B033	FBbt:20007945
AN09B034	FBbt:20007946
AN09B035	FBbt:20007947
AN09B036	FBbt:20007948
AN09B037	FBbt:20007949
AN09B040	FBbt:20007950
AN09B042	FBbt:20007951
AN09B044	FBbt:20007952
AN10B005	FBbt:20007953
AN10B008	FBbt:20007954
AN10B009	FBbt:20007955
AN10B015	FBbt:20007956
AN10B017	FBbt:20007957
AN10B018	FBbt:20007958
AN10B019	FBbt:20007959
AN10B020	FBbt:20007960
AN10B021	FBbt:20007961
AN10B022	FBbt:20007962
AN10B024	FBbt:20007963
AN10B026	FBbt:20007964
AN10B027	FBbt:20007965
AN10B029	FBbt:20007966
AN10B031	FBbt:20007967
AN10B033	FBbt:20007968
AN10B034	FBbt:20007969
AN10B035	FBbt:20007970
AN10B037	FBbt:20007971
AN10B039	FBbt:20007972
AN10B045	FBbt:20007973
AN10B046	FBbt:20007974
AN10B047	FBbt:20007975
AN10B048	FBbt:20007976
AN10B049	FBbt:20007977
AN10B051	FBbt:20007978
AN10B053	FBbt:20007979
AN10B056	FBbt:20007980
AN10B060	FBbt:20007981
AN10B061	FBbt:20007982
