term	FBbt_id	FBbt_name
abdomen	FBbt:00003023	adult abdomen
abdomen A1	FBbt:00003025	adult abdominal segment 1
abdomen A2	FBbt:00003026	adult abdominal segment 2
ANm	FBbt:00110173	adult abdominal neuromere
brain	FBbt:00003624	adult brain
CV		
front leg	FBbt:00004663	prothoracic leg
haltere	FBbt:00004783	haltere
hind leg	FBbt:00004707	metathoracic leg
HTct	FBbt:00047138	haltere neuropil
IntTct	FBbt:00047519	intermediate tectulum
leg	FBbt:00004640	leg
LegNp	FBbt:00047139	adult leg neuropil
LegNpT1	FBbt:00047140	adult T1 leg neuropil
LegNpT2	FBbt:00047141	adult T2 leg neuropil
LegNpT3	FBbt:00047142	adult T3 leg neuropil
LTct	FBbt:00047174	lower tectulum
mesothoracic leg	FBbt:00004685	mesothoracic leg
metathoracic leg	FBbt:00004707	metathoracic leg
middle leg	FBbt:00004685	mesothoracic leg
multi		
mVAC	FBbt:00047176	medial ventral association center
mVACT1	FBbt:00047523	T1 medial ventral association center
mVACT2	FBbt:00047524	T2 medial ventral association center
mVACT3	FBbt:00047525	T3 medial ventral association center
notum	FBbt:00004552	thoracic tergum
NTct	FBbt:00047173	neck neuropil
Ov		
prothoracic leg	FBbt:00004663	prothoracic leg
Tct	FBbt:00007727	tectulum
UTct	FBbt:00049994	upper tectulum
wing	FBbt:00004729	wing
WTct	FBbt:00047137	wing neuropil
